eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,N,best_nrounds,test_auc_mean,test_auc_std,val_auc,time_secs
0.02,5,15,0.9,0.6,2000,66,1558,0.964282,0.000318,0.965423831,763
0.02,5,15,0.9,0.7,2000,67,1473,0.964227,0.000241,0.965272632,815
0.02,5,15,0.9,0.8,2000,68,1722,0.964279,0.000246,0.965380401,914
0.02,5,15,0.9,0.9,2000,69,1501,0.964228,0.000264,0.965264329,955
0.02,5,15,0.9,1,2000,70,1653,0.9642,0.000243,0.965351101,1048
0.02,5,15,1,0.6,2000,71,1747,0.96416,0.000293,0.965346185,750
0.02,5,15,1,0.7,2000,72,1716,0.964148,0.000321,0.965221743,817
0.02,5,15,1,0.8,2000,73,1571,0.964055,0.000243,0.96509258,871
0.02,5,15,1,0.9,2000,74,1801,0.963961,0.000225,0.965221275,972
0.02,5,15,1,1,2000,75,1842,0.963874,0.000216,0.965087874,1036
0.02,6,5,0.6,0.6,1500,76,1139,0.964091,0.000388,0.965230841,626
0.02,6,5,0.6,0.7,1500,77,1245,0.96405,0.000426,0.96513451,705
0.02,6,5,0.6,0.8,1500,78,1357,0.964032,0.000419,0.965130146,792
0.02,6,5,0.6,0.9,1500,79,1197,0.964114,0.000384,0.965191544,839
0.02,6,5,0.6,1,1500,80,1147,0.964136,0.00023,0.965205425,896
0.02,6,5,0.7,0.6,1500,81,1145,0.964257,0.000298,0.965350683,625
0.02,6,5,0.7,0.7,1500,82,1213,0.964254,0.000306,0.965217562,697
0.02,6,5,0.7,0.8,1500,83,1089,0.964205,0.000342,0.965206431,747
0.02,6,5,0.7,0.9,1500,84,1128,0.964191,0.000417,0.965249528,819
0.02,6,5,0.7,1,1500,85,1145,0.964175,0.000377,0.96527786,891
0.02,6,5,0.8,0.6,1500,86,1172,0.964249,0.000303,0.965322897,622
0.02,6,5,0.8,0.7,1500,87,1132,0.964274,0.000335,0.965232233,682
0.02,6,5,0.8,0.8,1500,88,1323,0.964267,0.000305,0.965347451,777
0.02,6,5,0.8,0.9,1500,89,1270,0.964225,0.000265,0.965462017,833
0.02,6,5,0.8,1,1500,90,1294,0.96429,0.000322,0.965453674,908
0.02,6,5,0.9,0.6,1500,91,1383,0.964388,0.000306,0.965646681,647
0.02,6,5,0.9,0.7,1500,92,1157,0.964357,0.00032,0.965320136,683
0.02,6,5,0.9,0.8,1500,93,1202,0.96431,0.000207,0.965374809,755
0.02,6,5,0.9,0.9,1500,94,1408,0.964331,0.000258,0.965481659,848
0.02,6,5,0.9,1,1500,95,1295,0.964393,0.000203,0.965443556,904
0.02,6,5,1,0.6,1500,96,1258,0.964202,0.000183,0.965237947,616
0.02,6,5,1,0.7,1500,97,1500,0.963986,0.000294,0.965344346,708
0.02,6,5,1,0.8,1500,98,1225,0.964011,0.000349,0.965303533,737
0.02,6,5,1,0.9,1500,99,1237,0.963916,0.000156,0.965219931,806
0.02,6,5,1,1,1500,100,1062,0.963806,0.000211,0.964987735,838
0.02,6,10,0.6,0.6,1500,101,1234,0.964054,0.000379,0.965257786,668
0.02,6,10,0.6,0.7,1500,102,1146,0.964068,0.000363,0.965062652,731
0.02,6,10,0.6,0.8,1500,103,1026,0.964027,0.000295,0.965068625,774
0.02,6,10,0.6,0.9,1500,104,1200,0.964074,0.000375,0.965046209,874
0.02,6,10,0.6,1,1500,105,1192,0.964078,0.000301,0.96518741,951
0.02,6,10,0.7,0.6,1500,106,1185,0.964216,0.00032,0.965299141,663
