"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"PersonalField12",47,0.95641,0.000678,112,0.956793473345258,25,0.956601736672629,0,0,5
"PersonalField9",44,0.956262,0.000614,149,0.956634312875475,26,0.956448156437737,0.000153580234891759,0,3
"PersonalField84",116,0.955192,0.000349,140,0.955340210094581,26,0.95526610504729,0.00133563162533867,124208,7
"SalesField10",32,0.955091,0.000208,146,0.95531345630288,26,0.95520222815144,0.00139950852118931,0,19
"SalesField6",28,0.954956,0.000304,140,0.955322132791445,26,0.955139066395722,0.00146267027690672,0,24
"SalesField4",27,0.955012,0.000415,104,0.955227810006388,26,0.955119905003194,0.00148183166943494,0,5
"CoverageField9",20,0.954881,0.00019,145,0.955198045547959,27,0.955039522773979,0.00156221389864974,0,12
"CoverageField8",19,0.954785,0.000315,145,0.955241416230369,27,0.955013208115184,0.00158852855744485,0,7
"PersonalField13",48,0.954875,0.000455,146,0.955088261670544,26,0.954981630835272,0.00162010583735717,0,4
"GeographicField13A",185,0.954744,0.000209,121,0.955216107427597,26,0.954980053713799,0.00162168295883047,2,24
"GeographicField11A",181,0.954766,0.000254,109,0.95516843918038,26,0.95496721959019,0.00163451708243922,2,25
"GeographicField11B",182,0.954764,0.000212,112,0.955161382544648,26,0.954962691272324,0.00163904540030524,2,24
"CoverageField6A",17,0.954655,0.000152,128,0.955090313959691,26,0.954872656979846,0.00172907969278357,0,3
"CoverageField6B",18,0.954655,0.000152,128,0.955090313959691,26,0.954872656979846,0.00172907969278357,0,4
"PropertyField34",156,0.954752,0.000589,149,0.954959338774978,27,0.954855669387489,0.00174606728514004,0,3
"GeographicField12A",183,0.954708,0.000287,103,0.955000995714013,26,0.954854497857006,0.00174723881562278,2,25
"SalesField11",33,0.954699,0.000177,128,0.954998756800545,26,0.954848878400272,0.00175285827235672,0,20
"GeographicField8A",176,0.954731,0.000308,103,0.954950871853186,26,0.954840935926593,0.00176080074603602,2,25
"GeographicField13B",186,0.954649,0.000369,103,0.955032084086916,26,0.954840542043458,0.00176119462917113,2,24
"GeographicField7B",175,0.954655,0.000562,111,0.95499082719485,26,0.954822913597425,0.00177882307520405,2,23
"GeographicField8B",177,0.95467,0.000399,116,0.954945620152259,27,0.95480781007613,0.00179392659649946,2,24
"GeographicField16A",191,0.954698,0.000458,148,0.954917403249019,27,0.954807701624509,0.00179403504811981,2,25
"GeographicField24B",208,0.954525,0.000392,111,0.955073700732063,26,0.954799350366032,0.00180238630659746,2,24
"GeographicField6A",172,0.954688,0.000305,116,0.954899273313197,26,0.954793636656599,0.0018081000160306,2,25
"CoverageField5A",15,0.954649,0.000309,134,0.954934232983994,26,0.954791616491997,0.00181012018063231,0,3
"CoverageField5B",16,0.954649,0.000309,134,0.954934232983994,26,0.954791616491997,0.00181012018063231,0,4
"GeographicField16B",192,0.954603,0.000293,112,0.954974674744212,27,0.954788837372106,0.00181289930052286,2,25
"PropertyField35",157,0.954594,0.000406,145,0.954983036400633,27,0.954788518200317,0.00181321847231242,0,3
"GeographicField6B",173,0.954526,0.000225,132,0.955046150509506,27,0.954786075254753,0.00181566141787637,2,25
"SalesField3",26,0.954606,0.000377,113,0.954962284084635,26,0.954784142042318,0.00181759463031139,0,2
"GeographicField26B",212,0.954493,0.000381,110,0.955043628767651,27,0.954768314383825,0.00183342228880379,2,24
"GeographicField23B",206,0.954571,0.000292,116,0.954924996044085,26,0.954747998022042,0.00185373865058669,2,25
"GeographicField27B",214,0.954541,0.000258,112,0.954954950211535,28,0.954747975105767,0.0018537615668619,2,23
"GeographicField12B",184,0.95461,0.000295,115,0.954874248881162,26,0.954742124440581,0.001859612232048,2,23
"GeographicField14B",188,0.954438,0.000342,113,0.95500705078637,26,0.954722525393185,0.00187921127944402,2,19
"GeographicField45B",250,0.954526,0.000361,113,0.954907328042016,26,0.954716664021008,0.00188507265162108,19,25
"GeographicField19A",197,0.954465,0.000307,116,0.954959396227507,26,0.954712198113753,0.00188953855887575,2,25
"SalesField12",34,0.954507,0.000226,106,0.954910800449703,25,0.954708900224852,0.00189283644777749,0,22
"GeographicField5B",171,0.954498,0.00038,118,0.954916807516424,26,0.954707403758212,0.00189433291441699,2,13
"GeographicField19B",198,0.954396,0.000347,109,0.954951817120794,26,0.954673908560397,0.00192782811223191,2,25
"GeographicField15A",189,0.9545,0.000443,135,0.954827058955164,27,0.954663529477582,0.00193820719504734,2,25
"GeographicField21B",202,0.954434,0.000263,113,0.95488891797692,26,0.95466145898846,0.00194027768416927,2,22
"PropertyField32",154,0.954458,0.000278,132,0.954856564877215,26,0.954657282438607,0.00194445423402179,0,3
"GeographicField25B",210,0.954412,0.000327,114,0.954896795142723,26,0.954654397571362,0.00194733910126765,2,24
"GeographicField47A",253,0.95438,0.00031,133,0.954916789586608,26,0.954648394793304,0.00195334187932494,65,25
"GeographicField15B",190,0.954358,0.000256,147,0.954923592698599,27,0.954640796349299,0.00196094032332983,2,23
"GeographicField25A",209,0.954372,0.000232,140,0.954906737707646,27,0.954639368853823,0.0019623678188061,2,24
"GeographicField41B",242,0.954441,0.000356,110,0.954821707579883,26,0.954631353789942,0.00197038288268747,24,25
"GeographicField7A",174,0.954411,0.000439,112,0.954845193903622,26,0.954628096951811,0.00197363972081832,2,24
"GeographicField26A",211,0.954476,0.00023,96,0.954764903802254,26,0.954620451901127,0.00198128477150239,2,25
"PersonalField11",46,0.954448,0.000484,116,0.954788924357389,25,0.954618462178695,0.00198327449393443,0,5
"PersonalField10B",45,0.954453,0.000391,99,0.954773994218935,26,0.954613497109468,0.00198823956316152,54785,25
"GeographicField17B",194,0.954441,0.000271,118,0.954781136647872,26,0.954611068323936,0.00199066834869299,2,25
"PropertyField24A",144,0.954363,0.000323,109,0.95482510325567,26,0.954594051627835,0.00200768504479421,48,25
"GeographicField47B",254,0.954414,0.000281,132,0.954772814899751,27,0.954593407449876,0.00200832922275351,65,24
"GeographicField45A",249,0.954392,0.000334,115,0.954769483617067,26,0.954580741808534,0.00202099486409557,19,25
"GeographicField9A",178,0.954376,0.00048,112,0.954774411810132,26,0.954575205905066,0.00202653076756287,2,25
"GeographicField27A",213,0.954353,0.000225,112,0.954779867872402,28,0.954566433936201,0.00203530273642794,2,24
"Field6",1,0.954442,0.000312,109,0.95469019854936,26,0.95456609927468,0.00203563739794899,0,8
"PropertyField33",155,0.954194,0.000459,118,0.95493270278024,26,0.95456335139012,0.00203838528250921,0,4
"GeographicField43B",246,0.954355,0.000312,112,0.954762293760875,26,0.954558646880437,0.0020430897921917,2,25
"GeographicField24A",207,0.954296,0.000385,143,0.954815660797656,27,0.954555830398828,0.00204590627380119,2,24
"GeographicField43A",245,0.954346,0.000243,114,0.954712852389817,26,0.954529426194908,0.00207231047772083,2,25
"PropertyField24B",145,0.954285,0.000284,127,0.954760818117744,27,0.954522909058872,0.00207882761375722,48,25
"GeographicField9B",179,0.954406,0.000308,103,0.954637854090469,26,0.954521927045235,0.00207980962739451,2,25
"GeographicField64",286,0.954353,0.000355,111,0.954654539037361,26,0.95450376951868,0.00209796715394872,0,4
"Field11",5,0.954349,0.000253,112,0.954632927439754,26,0.954490963719877,0.0021107729527523,0,11
"PersonalField15",50,0.954405,5.8e-05,116,0.954550005704111,26,0.954477502852055,0.00212423382057381,0,22
"PropertyField16A",134,0.95419,0.000411,97,0.954759094927476,26,0.954474547463738,0.00212718920889099,21,25
"CoverageField11B",22,0.9542,0.000446,120,0.954738616956942,27,0.954469308478471,0.00213242819415838,765,25
"Field10",4,0.954335,0.000248,102,0.954583070598229,26,0.954459035299115,0.00214270137351447,0,8
"GeographicField40A",239,0.954335,0.000175,118,0.954574220016935,26,0.954454610008467,0.00214712666416172,2,25
"GeographicField41A",241,0.954218,0.000352,112,0.954671185039921,26,0.95444459251996,0.00215714415266866,24,25
"GeographicField20B",200,0.954196,0.000291,113,0.954689840531423,26,0.954442920265711,0.00215881640691773,2,25
"PersonalField45",77,0.954356,0.000274,113,0.95452075118507,25,0.954438375592535,0.00216336108009418,0,12
"SalesField2A",24,0.954167,0.00032,119,0.954695719775908,26,0.954431359887954,0.00217037678467535,362,25
"PropertyField31",153,0.954157,0.000292,109,0.954700436474262,26,0.954428718237131,0.002173018435498,0,4
"GeographicField20A",199,0.954248,0.000349,119,0.954585415162656,26,0.954416707581328,0.00218502909130136,2,25
"PersonalField31",63,0.954257,0.000303,127,0.95457359208779,26,0.954415296043895,0.00218644062873441,0,12
"PropertyField25",146,0.954267,0.000443,146,0.954557105140048,27,0.954412052570024,0.00218968410260512,0,11
"PersonalField16",51,0.95418,0.00041,109,0.954642159367026,26,0.954411079683513,0.00219065698911614,0,50
"GeographicField40B",240,0.954259,0.000262,112,0.954559484021757,26,0.954409242010878,0.00219249466175087,2,25
"GeographicField1B",163,0.954201,0.000419,109,0.95459971197374,26,0.95440035598687,0.00220138068575904,2,25
"PropertyField16B",135,0.954076,0.00049,148,0.954717587210781,27,0.954396793605391,0.00220494306723862,21,25
"SalesField2B",25,0.954143,0.000205,110,0.954647797812155,26,0.954395398906077,0.00220633776655177,362,25
"PersonalField75",107,0.954191,0.000304,132,0.954591274934975,26,0.954391137467487,0.00221059920514177,0,9
"Field8",2,0.954145,0.000202,109,0.954626383056936,27,0.954385691528468,0.00221604514416129,0,38
"GeographicField50A",259,0.954067,0.000342,97,0.954688931509034,26,0.954377965754517,0.00222377091811221,1248,25
"PersonalField19",54,0.954252,0.000356,113,0.954503419415249,26,0.954377709707624,0.0022240269650049,0,57
"year",287,0.954208,0.000264,103,0.954542460721887,25,0.954375230360943,0.00222650631168575,0,3
"GeographicField48B",256,0.953977,0.000625,109,0.954772951783292,26,0.954374975891646,0.00222676078098294,1248,25
"GeographicField53B",266,0.954022,0.000464,113,0.954712734592854,26,0.954367367296427,0.00223436937620214,1248,25
"PropertyField27",149,0.954113,0.000468,135,0.954619918876305,26,0.954366459438152,0.0022352772344767,0,17
"PropertyField18",137,0.954119,0.000452,138,0.954604643251505,27,0.954361821625752,0.00223991504687671,0,10
"GeographicField44A",247,0.954156,0.000404,112,0.954566194978349,26,0.954361097489174,0.00224063918345485,2,25
"PropertyField8",125,0.954137,0.000322,113,0.954584349977354,25,0.954360674988677,0.00224106168395233,0,2
"Field9",3,0.954119,0.000361,115,0.95460055004804,27,0.95435977502402,0.00224196164860913,0,5
"GeographicField44B",248,0.954298,0.000367,103,0.954419481271115,26,0.954358740635557,0.00224299603707179,2,25
"PropertyField14",132,0.954159,0.000384,113,0.954558337477505,26,0.954358668738753,0.00224306793387663,0,4
"PersonalField5",40,0.954164,0.000369,114,0.954552746459631,25,0.954358373229816,0.00224336344281362,0,9
"PropertyField3",121,0.95417,0.000325,113,0.954546442683375,26,0.954358221341688,0.00224351533094147,0,3
"PropertyField28",150,0.954194,0.000217,113,0.954522270206788,26,0.954358135103394,0.00224360156923509,0,4
"CoverageField2B",10,0.954202,0.000323,111,0.954502538347949,26,0.954352269173975,0.00224946749865462,0,25
"PersonalField38",70,0.954231,0.000476,116,0.954470183898688,25,0.954350591949344,0.00225114472328514,0,6
"CoverageField3B",12,0.954132,0.000321,128,0.95456742288155,27,0.954349711440775,0.00225202523185408,0,25
"GeographicField5A",170,0.954158,0.000471,138,0.954536594972962,26,0.954347297486481,0.00225443918614809,254208,1
"CoverageField11A",21,0.954128,0.000564,99,0.954566481277023,26,0.954347240638511,0.00225449603411787,765,25
"CoverageField4A",13,0.954153,0.000257,113,0.954539570936821,27,0.95434628546841,0.00225545120421877,0,25
"CoverageField3A",11,0.954195,0.000304,112,0.954496356031737,27,0.954345678015868,0.00225605865676082,0,25
"GeographicField55B",270,0.954033,0.000595,112,0.954656011788586,27,0.954344505894293,0.00225723077833595,1553,25
"GeographicField53A",265,0.954045,0.000458,110,0.954638842158283,26,0.954341921079142,0.00225981559348754,1248,25
"PropertyField4",122,0.954119,0.000431,150,0.954558095906974,26,0.954338547953487,0.002263188719142,0,3
"CoverageField1A",7,0.954133,0.000305,140,0.954537725515335,27,0.954335362757668,0.00226637391496165,362,25
"PropertyField7",124,0.954153,0.000385,112,0.954517195876083,26,0.954335097938042,0.00226663873458743,0,19
"PersonalField36",68,0.954209,0.000327,113,0.954452112379364,25,0.954330556189682,0.00227118048294739,0,6
"GeographicField22B",204,0.954193,0.000402,109,0.954457978706669,26,0.954325489353335,0.00227624731929454,2,11
"PropertyField1B",118,0.954046,0.000345,111,0.954591850424228,26,0.954318925212114,0.00228281146051501,27,25
"GeographicField49B",258,0.953959,0.000417,113,0.954677490744114,26,0.954318245372057,0.00228349130057204,1248,25
"PersonalField28",60,0.954185,0.000251,109,0.954448959816458,25,0.954316979908229,0.00228475676440043,0,7
"PersonalField46",78,0.954125,0.000402,115,0.954504308001503,26,0.954314654000751,0.00228708267187772,0,12
"PropertyField15",133,0.954151,0.000387,109,0.954475637069052,26,0.954313318534526,0.0022884181381031,0,15
"Field12",6,0.95412,0.000524,112,0.954506053941429,25,0.954313026970715,0.00228870970191442,0,2
"GeographicField62A",283,0.954135,0.000285,127,0.954490285921469,26,0.954312642960734,0.00228909371189467,254144,1
"GeographicField38B",236,0.954061,0.000547,109,0.954562695965128,26,0.954311847982564,0.00228988869006497,22,25
"PersonalField55",87,0.954182,0.000386,132,0.954438326086049,26,0.954310163043025,0.00229157362960464,0,11
"GeographicField38A",235,0.954093,0.000351,112,0.954524356620424,26,0.954308678310212,0.00229305836241722,22,25
"PropertyField12",130,0.954106,0.000416,113,0.95450491530172,26,0.95430545765086,0.00229627902176899,0,7
"PersonalField6",41,0.954149,0.000472,148,0.954451165376612,26,0.954300082688306,0.00230165398432314,0,2
"PersonalField50",82,0.954131,0.000402,113,0.954468988192038,25,0.954299994096019,0.00230174257661031,0,7
"PropertyField21A",140,0.954101,0.000288,150,0.954496678382836,27,0.954298839191418,0.00230289748121115,5,25
"GeographicField48A",255,0.954058,0.000413,99,0.954533849590392,26,0.954295924795196,0.00230581187743295,1248,25
"GeographicField61A",281,0.954151,0.000364,110,0.954432147240124,25,0.954291573620062,0.00231016305256737,254170,1
"PersonalField79",111,0.954179,0.000313,109,0.954401504799094,25,0.954290252399547,0.00231148427308203,0,13
"PersonalField35",67,0.954121,0.000323,137,0.95445610301657,25,0.954288551508285,0.00231318516434431,0,6
