"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"Field6",1,0.934162,0.000572,75,0.934633776109997,23
"Field8",2,0.933855,0.000317,99,0.934545395420178,24
"Field9",3,0.93381,0.000541,150,0.9345850941534,24
"Field10",4,0.934125,0.000568,60,0.934523154351075,22
"Field11",5,0.934005,0.000324,75,0.93451392068866,22
"Field12",6,0.933973,0.000424,115,0.934535688834767,23
"CoverageField1A",7,0.936075,0.000147,96,0.936843179221589,24
"CoverageField1B",8,0.936033,0.000259,113,0.936855400801073,25
"CoverageField2A",9,0.935997,0.000204,96,0.936700290348961,24
"CoverageField2B",10,0.936093,0.000149,90,0.93676072520351,24
"CoverageField3A",11,0.935416,0.000212,95,0.935895448480904,24
"CoverageField3B",12,0.935247,0.000163,93,0.935920571430529,24
"CoverageField4A",13,0.936027,0.000174,99,0.936756415299904,25
"CoverageField4B",14,0.936025,0.000131,86,0.936719240814854,24
"CoverageField5A",15,0.934389,0.000261,141,0.934965614588433,24
"CoverageField5B",16,0.934389,0.000261,141,0.935003532100479,24
"CoverageField6A",17,0.93484,5e-04,144,0.93537651237313,24
"CoverageField6B",18,0.93484,5e-04,144,0.935346077763731,24
"CoverageField8",19,0.935635,0.000447,139,0.936232807607506,24
"CoverageField9",20,0.935905,0.000218,105,0.936706765518834,23
"CoverageField11A",21,0.936973,0.000296,94,0.937886776253851,24
"CoverageField11B",22,0.93712,0.000388,94,0.937982880067291,24
"SalesField1A",23,0.94168,0.000142,112,0.941970476337842,24
"SalesField1B",24,0.941712,0.000295,68,0.942118817802452,24
"SalesField2A",25,0.936409,0.000315,91,0.937212978976245,24
"SalesField2B",26,0.936409,0.00042,64,0.93707180885963,24
"SalesField3",27,0.936151,4.1e-05,132,0.936795634747939,23
"SalesField4",28,0.936112,0.000303,97,0.936365786111762,22
"SalesField6",29,0.934911,0.000462,99,0.935540866705725,23
"SalesField7",30,0.933761,0.000339,99,0.934282074672992,24
"SalesField8",31,0.933018,0.00014,58,0.933601789693921,25
"SalesField9",32,0.933933,0.000451,125,0.93442140862222,23
"SalesField10",33,0.935594,0.000303,127,0.935901126255952,23
"SalesField11",34,0.934914,0.000538,106,0.93533102963552,23
"SalesField12",35,0.934718,0.000495,119,0.935424471353277,23
"SalesField13",36,0.933834,0.000243,97,0.934561504685022,22
"SalesField14",37,0.933727,0.000367,125,0.934419265334437,23
"SalesField15",38,0.933763,0.000257,102,0.934452161341257,22
"PersonalField1",39,0.942026,4.1e-05,121,0.942021045359367,23
"PersonalField2",40,0.934921,0.000429,104,0.934951383520007,23
"PersonalField4A",41,0.933711,0.000463,115,0.934287405419344,25
"PersonalField4B",42,0.933469,0.000273,97,0.934278976285121,25
"PersonalField5",43,0.934234,0.000287,98,0.934580864451982,23
