"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"PersonalField6",44,0.934169,0.00037,100,0.934626368589695,23
"PersonalField7",45,0.934026,0.000413,113,0.93440220694611,23
"PersonalField8",46,0.933966,0.00041,106,0.934447114194466,23
"PersonalField9",47,0.937819,0.000398,94,0.938494039840376,23
"PersonalField10B",48,0.934536,0.000274,88,0.935524995733918,23
"PersonalField11",49,0.934742,0.00049,113,0.935349358341667,22
"PersonalField12",50,0.937928,0.000466,95,0.938546964029983,23
"PersonalField13",51,0.935616,0.000583,106,0.936065248272114,23
"PersonalField14",52,0.93371,0.000127,129,0.93437411343085,25
"PersonalField15",53,0.935188,0.000319,94,0.935532602602926,24
"PersonalField16",54,0.934578,0.000512,100,0.935249304570496,24
"PersonalField17",55,0.934331,0.000502,87,0.934786605041229,24
"PersonalField18",56,0.934367,0.000475,94,0.93467746470925,24
"PersonalField19",57,0.934364,0.000539,103,0.935021515705867,24
"PersonalField22",58,0.936293,0.000481,113,0.936550987229277,23
"PersonalField23",59,0.935638,0.000536,130,0.935927040623797,23
"PersonalField24",60,0.93589,0.000548,123,0.936329170342912,23
"PersonalField25",61,0.936191,0.000265,142,0.936660174602923,23
"PersonalField26",62,0.936605,0.000444,130,0.93711393100991,23
"PersonalField27",63,0.937616,0.000257,115,0.938350475418555,23
"PersonalField28",64,0.936146,0.000528,137,0.936526499727752,24
"PersonalField29",65,0.934296,0.000312,140,0.935052163930708,24
"PersonalField30",66,0.934256,0.000464,110,0.934919712524482,23
"PersonalField31",67,0.934415,0.000407,106,0.935168783695045,23
"PersonalField32",68,0.934547,0.000173,112,0.935229977385674,23
"PersonalField33",69,0.934756,0.000246,144,0.935545326217258,24
"PersonalField34",70,0.934023,0.000522,114,0.934483899043408,23
"PersonalField35",71,0.933927,0.000404,148,0.934451137606605,23
"PersonalField36",72,0.933802,0.000436,106,0.934467221615472,22
"PersonalField37",73,0.933875,0.000483,129,0.934369923444938,23
"PersonalField38",74,0.933965,0.000477,94,0.934474348620911,22
"PersonalField39",75,0.934067,0.000483,121,0.934617196814063,23
"PersonalField40",76,0.93405,0.000369,112,0.93459615916336,23
"PersonalField41",77,0.934108,0.000396,121,0.934633982784864,23
"PersonalField42",78,0.933953,0.000396,142,0.934736202786271,23
"PersonalField43",79,0.934123,0.000486,124,0.934745606492747,23
"PersonalField44",80,0.934391,0.000454,118,0.934967893410201,23
"PersonalField45",81,0.934421,0.000372,116,0.935209877869212,23
"PersonalField46",82,0.934648,0.000259,106,0.935283799608428,23
"PersonalField47",83,0.934973,0.000349,115,0.935687618007734,23
"PersonalField48",84,0.93433,0.000344,150,0.935159764033659,24
"PersonalField49",85,0.933952,0.000423,125,0.934489087893583,23
"PersonalField50",86,0.934074,0.000449,113,0.934632137556172,23
"PersonalField51",87,0.933981,0.000359,144,0.934574993304833,23
"PersonalField52",88,0.934024,0.000454,99,0.934553899743951,22
"PersonalField53",89,0.933989,0.000377,109,0.934501067709743,23
"PersonalField54",90,0.934317,0.000335,132,0.934732550502043,23
"PersonalField55",91,0.934402,0.000351,102,0.934774789485318,22
"PersonalField56",92,0.934556,0.000219,131,0.934927870590735,23
"PersonalField57",93,0.934784,0.000221,113,0.93506175349033,22
"PersonalField58",94,0.93464,0.000255,119,0.934871083586159,23
"PersonalField59",95,0.934247,0.000549,99,0.934595053684171,22
"PersonalField60",96,0.93408,0.000644,102,0.934780090348643,23
"PersonalField61",97,0.934114,0.000546,135,0.934667823866499,23
"PersonalField62",98,0.934203,0.000596,133,0.934732845669228,23
"PersonalField63",99,0.93428,0.00056,99,0.934749018363206,23
"PersonalField64",100,0.933966,0.00041,106,0.934447114194466,22
"PersonalField65",101,0.933966,0.00041,106,0.934475606021552,22
"PersonalField66",102,0.933975,0.000355,102,0.934494219676816,22
"PersonalField67",103,0.933967,0.000427,100,0.934498974933915,22
"PersonalField68",104,0.933991,0.000395,101,0.934440270981382,22
"PersonalField69",105,0.933966,0.00041,106,0.934447114194466,22
"PersonalField70",106,0.933966,0.00041,106,0.934447114194466,22
"PersonalField71",107,0.933966,0.00041,106,0.934510303685683,22
"PersonalField72",108,0.933953,0.000459,144,0.934569762425628,23
"PersonalField73",109,0.933966,0.00041,106,0.934572562947202,22
"PersonalField74",110,0.9342,0.000365,142,0.934800663173688,23
"PersonalField75",111,0.934558,0.000458,112,0.935061379663307,23
"PersonalField76",112,0.934561,0.00024,115,0.935208425746914,23
"PersonalField77",113,0.934767,0.000299,118,0.935434210906414,23
"PersonalField78",114,0.934382,0.000469,127,0.935078499360037,23
"PersonalField79",115,0.935607,0.000383,123,0.93593669708284,23
"PersonalField80",116,0.935942,0.000296,142,0.936422037149797,23
"PersonalField81",117,0.936198,0.000259,127,0.936778870562829,23
"PersonalField82",118,0.936697,0.000389,100,0.937364555712267,22
"PersonalField83",119,0.936275,0.000153,121,0.936640603919633,23
"PersonalField84",120,0.936101,0.000504,140,0.936788468219787,24
"PropertyField1A",121,0.934604,0.000568,110,0.935119979507231,25
"PropertyField1B",122,0.934692,0.000558,96,0.935163168192369,25
"PropertyField2A",123,0.934032,0.000447,102,0.934498494491965,23
"PropertyField2B",124,0.933707,0.000299,95,0.934359955045656,25
"PropertyField3",125,0.934119,0.000466,110,0.934413036554938,23
"PropertyField4",126,0.934101,0.000512,107,0.934504167254376,23
"PropertyField5",127,0.933966,0.00041,106,0.934447114194466,23
"PropertyField7",128,0.934314,0.000282,102,0.934900403462271,24
"PropertyField8",129,0.934206,0.000223,111,0.934793213238768,23
"PropertyField9",130,0.933966,0.00041,106,0.934447114194466,23
"PropertyField10",131,0.933953,0.000457,98,0.934502849509301,23
"PropertyField11A",132,0.934284,0.000409,115,0.934781734493486,23
"PropertyField11B",133,0.934195,0.000158,97,0.934996276694422,23
"PropertyField12",134,0.933786,0.00028,99,0.93429789185535,23
"PropertyField13",135,0.934667,0.000187,94,0.934751636309127,23
"PropertyField14",136,0.934288,0.000336,106,0.934916892337949,23
"PropertyField15",137,0.933959,0.000208,107,0.934665155215829,24
"PropertyField16A",138,0.934526,0.00042,94,0.935290340328165,25
"PropertyField16B",139,0.934462,0.000339,100,0.935052082957345,25
"PropertyField17",140,0.934558,1e-04,90,0.935177203960757,23
"PropertyField18",141,0.934372,0.000122,113,0.934981190007467,24
"PropertyField19",142,0.934145,0.000401,112,0.934616544592909,23
"PropertyField20",143,0.933966,0.00041,106,0.934447114194466,22
"PropertyField21A",144,0.93598,0.000276,115,0.93663669117109,25
"PropertyField21B",145,0.935888,0.000125,97,0.936552031592857,25
"PropertyField22",146,0.933997,0.000392,116,0.934469614378328,23
"PropertyField23",147,0.934051,0.000411,98,0.934860535841749,23
"PropertyField24A",148,0.934728,1e-04,100,0.935385524515562,25
"PropertyField24B",149,0.934686,0.000174,88,0.935436236397234,24
"PropertyField25",150,0.933972,0.000287,115,0.934754687076949,24
"PropertyField26A",151,0.934032,0.000509,94,0.934692386557574,24
"PropertyField26B",152,0.933909,0.000447,95,0.934670287963031,25
"PropertyField27",153,0.934233,0.000316,94,0.934693652826726,23
"PropertyField28",154,0.933969,0.000709,103,0.934475013759244,23
"PropertyField29",155,0.933966,0.00041,106,0.934447114194466,22
"PropertyField30",156,0.934042,0.000289,119,0.934440658689553,23
"PropertyField31",157,0.934139,0.000501,97,0.93481219165975,24
"PropertyField32",158,0.934374,0.000437,112,0.934868022793064,23
"PropertyField33",159,0.934305,0.000509,111,0.935062706855274,24
"PropertyField34",160,0.936203,0.00035,94,0.9362269873579,23
"PropertyField35",161,0.934768,0.000537,127,0.935178702353547,24
"PropertyField36",162,0.934021,0.000503,118,0.934529138860931,23
"PropertyField38",163,0.934028,0.000301,108,0.934424034087096,23
"PropertyField39A",164,0.934762,0.000252,92,0.935578157638181,25
"PropertyField39B",165,0.934667,0.000367,96,0.935596064126082,25
"GeographicField1A",166,0.933766,0.000333,92,0.934620169886016,24
"GeographicField1B",167,0.933907,0.000269,116,0.934404146643725,25
"GeographicField2A",168,0.933838,0.000167,98,0.934603503640115,25
"GeographicField2B",169,0.933637,0.00024,107,0.934635341595001,25
"GeographicField3A",170,0.934113,0.00031,77,0.934763416583787,24
"GeographicField3B",171,0.934206,0.000371,99,0.93476059774681,25
"GeographicField4A",172,0.93339,0.000454,94,0.934297962996233,25
"GeographicField4B",173,0.93372,0.000385,91,0.934431603939709,25
"GeographicField5A",174,0.933989,0.000436,114,0.934364127680133,23
"GeographicField5B",175,0.934207,0.00074,93,0.934962410164016,24
"GeographicField6A",176,0.934196,0.00063,95,0.934943666372991,24
"GeographicField6B",177,0.934877,0.000298,94,0.935486933626583,24
"GeographicField7A",178,0.934408,0.000378,94,0.935190379869155,24
"GeographicField7B",179,0.934608,0.000447,100,0.935377984738768,24
"GeographicField8A",180,0.934394,0.00076,94,0.934730260883827,24
"GeographicField8B",181,0.934487,0.000583,100,0.9350366214794,24
"GeographicField9A",182,0.934027,0.000378,87,0.93489923571071,24
"GeographicField9B",183,0.934426,0.000424,92,0.935311512741679,24
"GeographicField10B",184,0.933966,0.00041,106,0.934447114194466,23
"GeographicField11A",185,0.934434,0.000527,95,0.93496943267526,23
"GeographicField11B",186,0.934933,0.000308,99,0.935662953328781,24
"GeographicField12A",187,0.934667,0.000553,63,0.93520615695042,23
"GeographicField12B",188,0.934536,0.000637,82,0.935256761253196,24
"GeographicField13A",189,0.934438,0.000668,107,0.935075990728155,24
"GeographicField13B",190,0.934544,0.000506,82,0.935637073085424,24
"GeographicField14A",191,0.93396,0.000387,101,0.934525661440608,23
"GeographicField14B",192,0.934254,0.000393,114,0.935167330415985,24
"GeographicField15A",193,0.934515,0.000336,93,0.935201467243186,24
"GeographicField15B",194,0.934636,0.000381,135,0.935174097089963,25
"GeographicField16A",195,0.934606,0.000767,124,0.935339808304757,25
"GeographicField16B",196,0.934574,0.00042,107,0.93546514292361,25
"GeographicField17A",197,0.933948,0.000135,92,0.934661665456707,24
"GeographicField17B",198,0.934068,0.000406,100,0.934896890567902,25
"GeographicField18A",199,0.934037,0.000276,98,0.934587370276056,23
"GeographicField18B",200,0.933852,0.000581,95,0.934681836114053,25
"GeographicField19A",201,0.934004,0.000274,134,0.934721183577118,25
"GeographicField19B",202,0.933878,0.000465,100,0.934737291877994,25
"GeographicField20A",203,0.934229,0.000488,100,0.934978575917421,24
"GeographicField20B",204,0.934062,0.000489,74,0.93485088786563,24
"GeographicField21A",205,0.933859,0.000291,100,0.934417223070563,23
"GeographicField21B",206,0.934765,0.00028,93,0.935348900070995,24
"GeographicField22A",207,0.933999,0.000361,95,0.934458320715017,23
"GeographicField22B",208,0.934174,0.000423,94,0.934621488209472,23
"GeographicField23A",209,0.933853,0.000414,101,0.934534322120088,23
"GeographicField23B",210,0.934578,0.000312,140,0.935132345296418,25
"GeographicField24A",211,0.934467,0.000138,118,0.935489434161129,25
"GeographicField24B",212,0.935062,0.000127,98,0.935705218724795,25
"GeographicField25A",213,0.934371,0.000331,123,0.93510160395221,25
"GeographicField25B",214,0.934296,0.000303,94,0.9352712539427,25
"GeographicField26A",215,0.934627,0.000369,142,0.935410914484489,25
"GeographicField26B",216,0.934726,0.000271,129,0.935673595542113,25
"GeographicField27A",217,0.934686,0.000148,96,0.935184272164112,24
"GeographicField27B",218,0.934677,0.000129,145,0.935429173784897,26
"GeographicField28A",219,0.933464,0.000261,86,0.934482686949292,24
"GeographicField28B",220,0.933654,4.7e-05,93,0.934489978793362,25
"GeographicField29A",221,0.933565,0.000509,92,0.934395998795539,25
"GeographicField29B",222,0.933275,0.000462,96,0.934592546401845,25
"GeographicField30A",223,0.933955,0.000225,71,0.934383189966384,24
"GeographicField30B",224,0.933938,0.000299,88,0.934378041410097,25
"GeographicField31A",225,0.933577,0.000307,106,0.934044850098129,25
"GeographicField31B",226,0.933578,0.000364,95,0.934066052394669,25
"GeographicField32A",227,0.933691,0.000251,92,0.93436889219133,24
"GeographicField32B",228,0.93359,0.000283,97,0.934306200300705,25
"GeographicField33A",229,0.933942,0.000178,99,0.93468719924975,24
"GeographicField33B",230,0.933931,0.000207,66,0.934549639581125,24
"GeographicField34A",231,0.933922,0.000211,116,0.934360042766799,25
"GeographicField34B",232,0.933796,0.000338,65,0.934432999766241,24
"GeographicField35A",233,0.933696,0.000187,91,0.934421166858895,24
"GeographicField35B",234,0.933751,0.000323,66,0.9343502989722,24
"GeographicField36A",235,0.933965,0.000155,94,0.934559904304354,24
"GeographicField36B",236,0.933944,8.5e-05,65,0.934379239815859,24
"GeographicField37A",237,0.933612,0.000431,96,0.934335721260666,24
"GeographicField37B",238,0.933539,0.000547,95,0.934418127080315,25
"GeographicField38A",239,0.934177,0.000219,93,0.934522033062801,24
"GeographicField38B",240,0.933885,0.000418,95,0.934600317723896,25
"GeographicField39A",241,0.933536,0.000445,98,0.934507956614938,25
"GeographicField39B",242,0.93348,0.00041,95,0.934429176859571,25
"GeographicField40A",243,0.933916,0.000145,94,0.934789243616078,24
"GeographicField40B",244,0.933992,2e-05,118,0.934864486377862,25
"GeographicField41A",245,0.934421,0.000345,92,0.935074649076659,24
"GeographicField41B",246,0.934508,0.000467,92,0.935202996482971,25
"GeographicField42A",247,0.933755,0.00036,113,0.934440043484793,25
"GeographicField42B",248,0.933702,0.000315,92,0.934359446070236,25
"GeographicField43A",249,0.933853,0.000258,116,0.934600888778894,25
"GeographicField43B",250,0.933866,0.000313,100,0.934680496583288,25
"GeographicField44A",251,0.934098,0.000406,96,0.9345393900886,25
"GeographicField44B",252,0.934281,0.000455,100,0.934545790647303,25
"GeographicField45A",253,0.93425,0.000501,100,0.935012283778595,24
"GeographicField45B",254,0.934315,0.000465,114,0.934877851224105,25
"GeographicField46A",255,0.933957,0.000164,101,0.934603011823336,24
"GeographicField46B",256,0.93397,0.000148,94,0.934758180113564,25
"GeographicField47A",257,0.934435,0.000538,144,0.93502674234361,25
"GeographicField47B",258,0.934536,0.000578,127,0.934914324903983,25
"GeographicField48A",259,0.933965,0.000134,95,0.934746282041941,25
"GeographicField48B",260,0.934028,0.000371,95,0.934791189097504,25
"GeographicField49A",261,0.933704,0.000311,113,0.934826696880846,25
"GeographicField49B",262,0.933657,0.000363,88,0.934799633848018,25
"GeographicField50A",263,0.933802,0.000565,95,0.934614670830747,25
"GeographicField50B",264,0.933826,0.000497,100,0.934717784816632,25
"GeographicField51A",265,0.933901,9.9e-05,64,0.934398503957134,24
"GeographicField51B",266,0.933919,0.000137,92,0.934719003851322,25
"GeographicField52A",267,0.933937,5e-06,84,0.934577554376607,24
"GeographicField52B",268,0.933984,0.000177,96,0.934712003896944,25
"GeographicField53A",269,0.933889,0.000393,90,0.934631160670394,25
"GeographicField53B",270,0.933763,0.000384,75,0.934609721623166,24
"GeographicField54A",271,0.933443,0.000275,68,0.934127117106299,24
"GeographicField54B",272,0.933547,3e-04,86,0.934234848694567,24
"GeographicField55A",273,0.933611,0.00023,88,0.934596766270784,24
"GeographicField55B",274,0.933668,9.5e-05,64,0.934471315782905,24
"GeographicField56A",275,0.933967,0.000414,80,0.934369740483698,22
"GeographicField56B",276,0.933593,0.000193,74,0.934429586931813,24
"GeographicField57A",277,0.933446,0.000296,66,0.934097832318645,24
"GeographicField57B",278,0.933442,0.000255,64,0.933901995542784,24
"GeographicField58A",279,0.933353,0.000292,73,0.934219753910276,24
"GeographicField58B",280,0.933399,0.000424,93,0.934345048428036,25
"GeographicField59A",281,0.933644,9.4e-05,96,0.934334845977178,25
"GeographicField59B",282,0.933484,0.000184,90,0.934144531006246,25
"GeographicField60A",283,0.933934,0.000323,99,0.93451146449667,23
"GeographicField60B",284,0.934105,0.000393,100,0.934735282196259,25
"GeographicField61A",285,0.934027,0.000423,96,0.934489127416295,23
"GeographicField61B",286,0.933649,0.000332,94,0.934192645185337,25
"GeographicField62A",287,0.933936,0.000411,100,0.93451409381742,23
"GeographicField62B",288,0.933981,0.000647,96,0.93420300187117,24
"GeographicField63",289,0.933941,0.000387,106,0.934371896110278,23
"GeographicField64",290,0.934099,0.000432,75,0.934581248497072,23
"year",291,0.93407,0.000425,113,0.934526312119412,24
"month",292,0.933849,0.000446,102,0.934421095718012,23
"day",293,0.933445,0.000527,73,0.934237524864192,21
