"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"GeographicField36B",238,0.827669,0.001613,150,0.828426153755334,19
"GeographicField37A",239,0.816975,0.002209,150,0.81956175358557,19
"GeographicField37B",240,0.816562,0.002272,150,0.81922329167889,19
"GeographicField38A",241,0.835176,0.001887,150,0.835580551133654,19
"GeographicField38B",242,0.835301,0.002071,150,0.835614538352928,19
"GeographicField39A",243,0.824636,0.00302,150,0.827930939179637,19
"GeographicField39B",244,0.824688,0.003063,149,0.828033846490655,19
"GeographicField40A",245,0.844728,0.001344,149,0.844828830976224,18
"GeographicField40B",246,0.846622,0.001476,150,0.847135627498448,19
"GeographicField41A",247,0.856038,0.000966,150,0.856820021773089,18
"GeographicField41B",248,0.855822,0.001529,149,0.856965885260019,19
"GeographicField42A",249,0.824307,0.000357,150,0.82548011784419,18
"GeographicField42B",250,0.82363,0.000619,150,0.825245082827602,18
"GeographicField43A",251,0.829425,0.00063,149,0.830890575145364,18
"GeographicField43B",252,0.829621,0.000867,150,0.83086810388056,18
"GeographicField44A",253,0.83993,0.000502,150,0.83834411665753,18
"GeographicField44B",254,0.840995,0.000687,150,0.839195735294645,18
"GeographicField45A",255,0.825412,0.002508,150,0.828144667212695,18
"GeographicField45B",256,0.830891,0.002126,150,0.831187090151254,18
"GeographicField46A",257,0.834232,0.00082,149,0.837249079947304,18
"GeographicField46B",258,0.834139,0.000542,149,0.836768360374636,18
"GeographicField47A",259,0.845999,0.002472,149,0.847709558785966,18
"GeographicField47B",260,0.848426,0.002645,150,0.849481799246033,18
"GeographicField48A",261,0.818636,0.002265,150,0.821222031791982,18
"GeographicField48B",262,0.818817,0.002657,150,0.821231550789103,18
"GeographicField49A",263,0.820882,0.001209,149,0.82382329469403,18
"GeographicField49B",264,0.821065,0.001542,149,0.824010673802198,18
"GeographicField50A",265,0.814424,0.00258,148,0.818119232222578,18
"GeographicField50B",266,0.814379,0.002284,149,0.817781024610815,18
"GeographicField51A",267,0.820207,0.000756,149,0.822091128914939,18
"GeographicField51B",268,0.820175,0.000599,150,0.822069283265756,18
"GeographicField52A",269,0.819765,0.001474,149,0.82156427245557,18
"GeographicField52B",270,0.819327,0.001516,150,0.822049127260734,18
"GeographicField53A",271,0.816341,0.001766,150,0.818900930746925,18
"GeographicField53B",272,0.816075,0.00172,149,0.819205763452268,18
"GeographicField54A",273,0.817492,0.00157,150,0.819476952496746,18
"GeographicField54B",274,0.817939,0.002274,150,0.81947562742551,18
"GeographicField55A",275,0.816424,0.001551,149,0.8188530724051,18
"GeographicField55B",276,0.816616,0.0015,150,0.819174199650052,18
"GeographicField56A",277,0.81221,0.002182,148,0.814848009794711,15
"GeographicField56B",278,0.817064,0.001667,150,0.818836226861039,18
"GeographicField57A",279,0.813188,0.001783,150,0.815739513018194,18
"GeographicField57B",280,0.813269,0.001895,150,0.815841050144245,18
"GeographicField58A",281,0.811767,0.002625,102,0.815457786061786,18
"GeographicField58B",282,0.812221,0.002493,114,0.815892912811631,18
"GeographicField59A",283,0.820186,0.003327,150,0.822869429642769,18
"GeographicField59B",284,0.820247,0.003622,150,0.823291645189993,18
"GeographicField60A",285,0.812346,0.002145,149,0.815198449011232,15
"GeographicField60B",286,0.812607,0.003149,105,0.81556394908035,18
"GeographicField61A",287,0.812521,0.001964,147,0.815110171658847,15
"GeographicField61B",288,0.816898,0.001592,149,0.819209139077508,18
"GeographicField62A",289,0.812229,0.002149,147,0.814934817287776,15
"GeographicField62B",290,0.813201,0.002008,149,0.816246717820912,18
"GeographicField63",291,0.81267,0.001947,149,0.815106637171582,15
"GeographicField64",292,0.865227,0.001594,150,0.864811853568972,16
"year",293,0.815971,0.002491,149,0.817981048095095,16
"month",294,0.812422,0.002225,139,0.815751241624138,17
"day",295,0.812571,0.00269,105,0.81519754500148,16
