"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"PersonalField2",38,0.954073,0.000351,144,0.954273887695392,25,0.954173443847696,0,0,2
"PersonalField9",45,0.953349,0.000619,121,0.95366107338488,25,0.95350503669244,0.000668407155255957,0,3
"PersonalField12",48,0.953335,0.000503,121,0.953586965599725,25,0.953460982799862,0.000712461047833846,0,5
"PersonalField84",117,0.952239,0.000172,121,0.952260258316115,25,0.952249629158058,0.00192381468963865,124208,7
"PersonalField13",49,0.952227,0.000321,121,0.952180704108376,25,0.952203852054188,0.00196959179350842,0,4
"SalesField6",28,0.95204,0.000161,133,0.952304192534568,26,0.952172096267284,0.00200134758041226,0,24
"CoverageField8",19,0.951849,0.000154,133,0.952162521925456,26,0.952005760962728,0.00216768288496816,0,7
"CoverageField9",20,0.951877,3.1e-05,148,0.952129726364164,26,0.952003363182082,0.00217008066561408,0,12
"SalesField10",32,0.952011,0.000324,121,0.951981741182348,25,0.951996370591174,0.00217707325652217,0,19
"GeographicField13A",186,0.951866,0.000143,125,0.952056006479973,26,0.951961003239986,0.00221244060770986,2,24
"GeographicField11B",183,0.951855,0.00016,127,0.952014769252866,26,0.951934884626433,0.00223855922126315,2,24
"GeographicField11A",182,0.951766,0.000195,121,0.951957699419903,25,0.951861849709952,0.00231159413774462,2,25
"GeographicField13B",187,0.951695,0.00041,120,0.951976453236202,26,0.951835726618101,0.00233771722959542,2,24
"GeographicField12A",184,0.951714,0.000247,127,0.951946558834805,26,0.951830279417403,0.0023431644302937,2,25
"GeographicField8B",178,0.95167,0.000235,125,0.951911372438594,26,0.951790686219297,0.00238275762839912,2,24
"GeographicField8A",177,0.95173,0.000144,125,0.951849027576664,26,0.951789513788332,0.00238393005936433,2,25
"GeographicField7B",176,0.951639,0.000326,137,0.951928236876439,26,0.951783618438219,0.00238982540947685,2,23
"GeographicField16A",192,0.951782,0.000159,93,0.951783290509234,25,0.951782645254617,0.00239079859307922,2,25
"GeographicField27B",215,0.951676,0.000197,121,0.951849582822577,26,0.951762791411288,0.00241065243640781,2,23
"GeographicField6A",173,0.951657,0.000264,132,0.951866549248299,26,0.95176177462415,0.00241166922354652,2,25
"GeographicField6B",174,0.951691,0.000142,138,0.951827155900329,26,0.951759077950164,0.00241436589753186,2,25
"CoverageField6B",18,0.951596,0.000132,133,0.951862721521787,26,0.951729360760893,0.00244408308680288,0,4
"GeographicField16B",193,0.951617,0.000232,131,0.951830164831914,26,0.951723582415957,0.00244986143173942,2,25
"GeographicField41B",243,0.951591,0.000172,121,0.951849214586572,26,0.951720107293286,0.00245333655441027,24,25
"GeographicField19A",198,0.951543,0.000163,121,0.951860899428341,26,0.951701949714171,0.00247149413352565,2,25
"GeographicField12B",185,0.951578,0.000115,124,0.951799623993174,26,0.951688811996587,0.00248463185110903,2,23
"SalesField3",26,0.95154,0.000387,148,0.951836742375252,26,0.951688371187626,0.00248507266007036,0,2
"GeographicField15B",191,0.951587,0.000212,121,0.951785767522946,26,0.951686383761473,0.00248706008622335,2,23
"GeographicField5B",172,0.951632,0.000288,124,0.951738103709984,26,0.951685051854992,0.00248839199270423,2,13
"GeographicField26B",213,0.951553,0.000241,134,0.951812407759146,26,0.951682703879573,0.00249073996812321,2,24
"GeographicField25B",211,0.951502,0.000186,121,0.951858365154894,26,0.951680182577447,0.00249326127024907,2,24
"SalesField11",33,0.951678,0.000114,122,0.951681353336214,25,0.951679676668107,0.00249376717958893,0,20
"CoverageField6A",17,0.951596,0.000132,133,0.95176213467598,26,0.95167906733799,0.00249437650970596,0,3
"GeographicField45B",251,0.951565,0.000125,121,0.951788266707935,26,0.951676633353968,0.00249681049372852,19,25
"GeographicField23B",207,0.951605,0.000223,120,0.951743415176964,26,0.951674207588482,0.00249923625921422,2,25
"GeographicField25A",210,0.951591,0.000168,124,0.951751153724082,26,0.951671076862041,0.00250236698565498,2,24
"SalesField12",34,0.951569,0.000122,129,0.951762539928379,26,0.95166576996419,0.00250767388350648,0,22
"GeographicField24B",209,0.951448,9.3e-05,137,0.951877880120799,26,0.951662940060399,0.00251050378729689,2,24
"PersonalField11",47,0.951608,0.000215,121,0.951710609783192,25,0.951659304891596,0.00251413895610009,0,5
"GeographicField14B",189,0.951597,0.00016,137,0.951720344709279,26,0.95165867235464,0.00251477149305657,2,19
"GeographicField26A",212,0.951634,0.000261,120,0.951665103139161,26,0.95164955156958,0.00252389227811578,2,25
