SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs
PropertyField22,149,0.574721,0.002621,9,0.574994382,10
PropertyField23,150,0.587356,0.001187,56,0.588810432,12
PropertyField24A,151,0.594908,0.001661,23,0.594917266,13
PropertyField24B,152,0.595851,0.002258,22,0.594494493,13
PropertyField25,153,0.654441,0.003576,54,0.65389705,12
PropertyField26A,154,0.602424,0.003105,52,0.602482342,13
PropertyField26B,155,0.601743,0.003876,31,0.602452917,13
PropertyField27,156,0.604492,0.002659,33,0.603976399,12
PropertyField28,157,0.576588,0.002931,11,0.578112935,10
PropertyField29,158,0.574076,0.002946,2,0.574698461,10
PropertyField30,159,0.584542,0.001576,14,0.582258166,10
PropertyField31,160,0.591695,0.0035,19,0.594609666,11
PropertyField32,161,0.651368,0.001039,7,0.634834725,10
PropertyField33,162,0.628486,0.002261,13,0.62172203,11
PropertyField34,163,0.67309,0.001197,7,0.647823931,10
PropertyField35,164,0.652139,0.000207,7,0.64809658,10
PropertyField36,165,0.575999,0.00227,5,0.576523541,10
PropertyField38,166,0.576483,0.002647,6,0.576480709,10
PropertyField39A,167,0.597439,0.000913,25,0.598379784,13
PropertyField39B,168,0.595832,0.00045,15,0.598652575,12
GeographicField1A,169,0.58489,0.002268,10,0.583964647,12
GeographicField1B,170,0.584409,0.00258,42,0.58490886,13
GeographicField2A,171,0.61506,0.004971,42,0.614520585,13
GeographicField2B,172,0.614993,0.004905,31,0.615019355,13
GeographicField3A,173,0.580395,0.004592,29,0.583339786,13
GeographicField3B,174,0.581053,0.005904,13,0.580852503,13
GeographicField4A,175,0.591996,0.002811,7,0.595435474,12
GeographicField4B,176,0.593493,0.002991,29,0.595164742,13
GeographicField5A,177,0.581006,0.003429,8,0.579222509,10
GeographicField5B,178,0.653595,0.002226,47,0.653817549,12
GeographicField6A,179,0.683502,0.001889,15,0.684197382,12
GeographicField6B,180,0.68564,0.001505,64,0.686554366,13
GeographicField7A,181,0.684708,0.001653,51,0.685502836,13
GeographicField7B,182,0.683521,0.002312,63,0.684548233,13
GeographicField8A,183,0.682894,0.00236,16,0.68295407,12
GeographicField8B,184,0.68257,0.001724,86,0.684399426,13
GeographicField9A,185,0.682103,0.001954,60,0.683692463,13
GeographicField9B,186,0.682907,0.001483,15,0.683428964,13
GeographicField10B,187,0.574076,0.002946,2,0.574698461,10
GeographicField11A,188,0.684387,0.001643,16,0.684601674,12
GeographicField11B,189,0.685661,0.001871,50,0.686013838,13
GeographicField12A,190,0.687997,0.001591,28,0.68911649,13
GeographicField12B,191,0.68638,0.0015,14,0.68144337,13
GeographicField13A,192,0.683872,0.00175,22,0.68520558,12
GeographicField13B,193,0.684363,0.002723,26,0.686077892,13
GeographicField14A,194,0.583227,0.002458,7,0.581816619,10
GeographicField14B,195,0.667248,0.002113,15,0.667966058,12
GeographicField15A,196,0.666621,0.003104,15,0.668299219,12
GeographicField15B,197,0.675503,0.002832,62,0.677529438,13
GeographicField16A,198,0.67884,0.003027,20,0.680769338,12
GeographicField16B,199,0.678868,0.002391,12,0.6700847,13
GeographicField17A,200,0.588666,0.002454,86,0.58831934,12
GeographicField17B,201,0.673668,0.002198,52,0.675014582,13
GeographicField18A,202,0.574429,0.003306,60,0.575341403,10
GeographicField18B,203,0.618442,0.001685,81,0.621257422,13
GeographicField19A,204,0.667744,0.001197,43,0.668023577,13
GeographicField19B,205,0.666954,0.000978,53,0.66861782,13
GeographicField20A,206,0.64724,0.001639,52,0.649419896,13
GeographicField20B,207,0.648969,0.00159,41,0.650541481,13
GeographicField21A,208,0.576118,0.003806,5,0.577044899,10
GeographicField21B,209,0.654956,0.002246,14,0.649596059,13
GeographicField22A,210,0.576321,0.003469,5,0.576399324,10
GeographicField22B,211,0.631078,0.002357,53,0.630289556,12
GeographicField23A,212,0.58093,0.003762,7,0.580884014,10
GeographicField23B,213,0.667759,0.003366,28,0.66783264,13
GeographicField24A,214,0.6485,0.001157,57,0.64855106,13
GeographicField24B,215,0.650013,0.000889,48,0.650618169,13
GeographicField25A,216,0.634431,0.002846,49,0.633399021,13
GeographicField25B,217,0.65552,0.00232,70,0.654861598,14
GeographicField26A,218,0.629564,0.002286,31,0.630116924,12
GeographicField26B,219,0.642077,0.000877,58,0.640670242,13
GeographicField27A,220,0.631318,0.000986,75,0.631918742,13
GeographicField27B,221,0.633597,0.002136,81,0.633930566,13
GeographicField28A,222,0.585465,0.002838,7,0.588210809,12
GeographicField28B,223,0.585403,0.0034,45,0.587960988,12
GeographicField29A,224,0.588631,0.003298,31,0.590833338,12
GeographicField29B,225,0.588872,0.003629,26,0.591826846,13
GeographicField30A,226,0.60762,0.002577,60,0.606335892,13
GeographicField30B,227,0.608306,0.001222,20,0.606867475,12
GeographicField31A,228,0.586237,0.001466,8,0.58626445,12
GeographicField31B,229,0.587343,0.001329,19,0.586429404,12
GeographicField32A,230,0.595598,0.002013,26,0.595457339,13
GeographicField32B,231,0.595357,0.003115,19,0.594981325,13
GeographicField33A,232,0.587272,0.003301,10,0.587056314,12
