"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"SalesField4",27,0.958166,0.000587,118,0.95853104602422,35,0.95834852301211,0,0,5
"SalesField10",32,0.958221,5e-04,146,0.958456296621565,35,0.958338648310783,9.87470132751689e-06,0,19
"SalesField6",28,0.958141,0.000471,149,0.958495051436736,35,0.958318025718368,3.04972937421599e-05,0,24
"GeographicField11B",180,0.958055,0.00056,117,0.958492446793582,35,0.958273723396791,7.47996153193098e-05,2,24
"GeographicField13A",183,0.957961,0.000466,135,0.958475459353344,35,0.958218229676672,0.000130293335438347,2,24
"CoverageField9",20,0.957969,0.000397,139,0.958414320030543,36,0.958191660015272,0.000156862996838592,0,12
"GeographicField11A",179,0.957963,0.000462,127,0.958402828560875,35,0.958182914280438,0.000165608731672484,2,25
"PersonalField13",47,0.958013,0.000452,128,0.95832361251332,34,0.95816830625666,0.000180216755449991,0,4
"GeographicField13B",184,0.957801,0.000493,120,0.958460592258436,35,0.958130796129218,0.000217726882892122,2,24
"GeographicField16B",190,0.957828,0.000493,139,0.95841062340376,36,0.95811931170188,0.000229211310230126,2,25
"GeographicField7B",173,0.957877,0.000516,141,0.958353906576098,36,0.958115453288049,0.00023306972406123,2,23
"GeographicField12A",181,0.957831,0.000562,131,0.958392384732281,35,0.95811169236614,0.000236830645969799,2,25
"SalesField3",26,0.9578,0.000495,143,0.958416413577546,35,0.958108206788773,0.000240316223336978,0,2
"CoverageField8",19,0.957806,0.000482,180,0.958390191703718,36,0.958098095851859,0.000250427160251143,0,7
"GeographicField8B",175,0.95785,0.000573,119,0.958308103415326,35,0.958079051707663,0.000269471304447433,2,24
"GeographicField6A",170,0.957802,0.000568,120,0.958349898587457,35,0.958075949293729,0.000272573718381519,2,25
"GeographicField8A",174,0.957827,0.000531,139,0.958314079827845,35,0.958070539913923,0.000277983098187495,2,25
"GeographicField16A",189,0.957863,0.000572,135,0.958273416162055,35,0.958068208081027,0.000280314931082715,2,25
"GeographicField27B",212,0.957725,0.000504,139,0.958387007522642,35,0.958056003761321,0.000292519250789103,2,23
"GeographicField23B",204,0.957827,0.000528,114,0.95827628724613,35,0.958051643623065,0.000296879389045102,2,25
"GeographicField26B",210,0.957747,0.000563,117,0.958334695260302,35,0.958040847630151,0.000307675381958972,2,24
"GeographicField19A",195,0.957767,0.000542,121,0.958300866517466,35,0.958033933258733,0.000314589753377281,2,25
"GeographicField6B",171,0.957754,0.00051,118,0.958301687625918,35,0.958027843812959,0.000320679199150908,2,25
"GeographicField5B",169,0.957815,0.000507,156,0.958238500062639,36,0.95802675003132,0.000321772980790613,2,13
"GeographicField24B",206,0.95767,0.00049,116,0.958379805134858,35,0.958024902567429,0.000323620444681039,2,24
"CoverageField6A",17,0.957796,0.000409,162,0.958237694956065,35,0.958016847478033,0.000331675534077536,0,3
"CoverageField6B",18,0.957796,0.000409,162,0.958237694956065,36,0.958016847478033,0.000331675534077536,0,4
"GeographicField12B",182,0.957775,0.000531,125,0.958228201022128,35,0.958001600511064,0.000346922501046065,2,23
"GeographicField45A",247,0.95775,0.000573,122,0.958233359796482,35,0.957991679898241,0.000356843113869076,19,25
"PropertyField35",155,0.95773,0.000532,129,0.958248057040123,35,0.957989028520061,0.000359494492048751,0,3
"PropertyField34",154,0.957859,0.000615,167,0.958111092525711,35,0.957985046262855,0.000363476749254743,0,3
"GeographicField15B",188,0.957729,0.000548,129,0.958234087014393,35,0.957981543507197,0.0003669795049136,2,23
