SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs,Avg_AUC,Max_Diff,MissingValues,UniqueCount
PropertyField24B,148,0.942655,5.30E-05,107,0.942555134,25,0.942605,0.005090,48,25
GeographicField12A,186,0.942536,7.10E-05,112,0.942659063,25,0.942598,0.005098,2,25
GeographicField27A,216,0.942463,9.90E-05,144,0.942731814,25,0.942597,0.005098,2,24
PersonalField11,48,0.942653,8.30E-05,128,0.942536432,23,0.942595,0.005100,0,5
GeographicField25B,213,0.942432,0.000108,118,0.942756912,25,0.942594,0.005101,2,24
GeographicField15B,193,0.942506,0.000176,127,0.942661773,24,0.942584,0.005111,2,23
PersonalField48,83,0.942495,6.00E-05,115,0.942668692,23,0.942582,0.005113,0,7
PersonalField76,111,0.94256,7.60E-05,136,0.942599384,23,0.942580,0.005116,0,10
GeographicField8B,180,0.942444,0.000275,112,0.942702893,25,0.942573,0.005122,2,24
PropertyField1B,121,0.942638,0.000207,111,0.942505444,25,0.942572,0.005123,27,25
GeographicField12B,187,0.942489,0.000117,112,0.942640393,24,0.942565,0.005130,2,23
PropertyField1A,120,0.942654,0.000322,115,0.942471764,25,0.942563,0.005132,27,25
GeographicField14B,191,0.942416,0.000121,113,0.942694211,25,0.942555,0.005140,2,19
GeographicField24A,210,0.942336,1.50E-05,127,0.942736741,25,0.942536,0.005159,2,24
GeographicField41B,245,0.942462,9.00E-05,116,0.942602174,25,0.942532,0.005163,24,25
PersonalField19,56,0.942398,8.60E-05,126,0.942647646,24,0.942523,0.005172,0,57
CoverageField6A,17,0.942498,0.000196,123,0.942543959,23,0.942521,0.005174,0,3
CoverageField6B,18,0.942498,0.000196,123,0.942543959,24,0.942521,0.005174,0,4
GeographicField25A,212,0.942351,0.000147,127,0.942678896,25,0.942515,0.005180,2,24
PersonalField78,113,0.942473,7.10E-05,120,0.942552374,23,0.942513,0.005183,0,7
PropertyField35,160,0.94256,8.00E-05,126,0.942452774,23,0.942506,0.005189,0,3
PersonalField29,64,0.942452,3.60E-05,127,0.942559307,23,0.942506,0.005190,0,7
PersonalField58,93,0.942602,9.10E-05,135,0.942399193,23,0.942501,0.005195,0,7
PersonalField56,91,0.94253,0.000111,143,0.9424696,23,0.942500,0.005195,0,12
PropertyField14,135,0.942405,3.00E-05,112,0.942568189,23,0.942487,0.005209,0,4
PropertyField17,139,0.942375,9.50E-05,148,0.942592504,24,0.942484,0.005211,0,8
GeographicField47A,256,0.942395,0.000111,115,0.942565235,24,0.942480,0.005215,65,25
GeographicField13A,188,0.94239,0.000308,115,0.942569961,24,0.942480,0.005215,2,24
CoverageField5A,15,0.9425,0.000141,144,0.942455764,24,0.942478,0.005217,0,3
CoverageField5B,16,0.9425,0.000141,144,0.942455764,24,0.942478,0.005217,0,4
PropertyField13,134,0.942549,6.80E-05,114,0.942387481,24,0.942468,0.005227,0,4
PersonalField10B,47,0.942305,0.000125,115,0.942600045,24,0.942453,0.005243,54785,25
PropertyField18,140,0.942516,0.000156,112,0.942382338,24,0.942449,0.005246,0,10
GeographicField9B,182,0.942224,5.60E-05,104,0.942671981,25,0.942448,0.005247,2,25
PersonalField17,54,0.942385,8.30E-05,103,0.942494106,24,0.942440,0.005256,0,66
GeographicField47B,257,0.942423,0.000185,140,0.942434649,25,0.942429,0.005266,65,24
PropertyField32,157,0.942389,0.000205,137,0.942457156,23,0.942423,0.005272,0,3
GeographicField8A,179,0.942386,0.000377,110,0.942459182,24,0.942423,0.005273,2,25
PersonalField44,79,0.942397,0.000104,128,0.942445584,23,0.942421,0.005274,0,12
GeographicField15A,192,0.942406,0.000132,97,0.942432234,24,0.942419,0.005276,2,25
GeographicField7A,177,0.942334,4.70E-05,105,0.942503173,25,0.942419,0.005277,2,24
GeographicField11A,184,0.942342,0.000168,95,0.942489368,23,0.942416,0.005280,2,25
PersonalField55,90,0.942439,3.40E-05,143,0.94239122,23,0.942415,0.005280,0,11
PersonalField74,109,0.942406,0.000121,128,0.942417574,23,0.942412,0.005283,0,8
GeographicField3A,169,0.94225,1.80E-05,115,0.942518123,24,0.942384,0.005311,0,25
GeographicField45B,253,0.942204,2.60E-05,108,0.942534548,25,0.942369,0.005326,19,25
GeographicField45A,252,0.942281,0.000141,131,0.942449163,25,0.942365,0.005330,19,25
GeographicField6A,175,0.942287,0.000281,87,0.942434389,23,0.942361,0.005334,2,25
PersonalField30,65,0.942308,5.00E-06,143,0.942407232,23,0.942358,0.005338,0,12
PersonalField18,55,0.942365,3.70E-05,123,0.94233174,24,0.942348,0.005347,0,61
GeographicField3B,170,0.942285,9.80E-05,113,0.942402051,25,0.942344,0.005352,0,25
PersonalField62,97,0.94229,7.70E-05,123,0.942359814,23,0.942325,0.005370,0,7
PropertyField25,149,0.942299,0.00011,129,0.942350768,24,0.942325,0.005370,0,11
GeographicField5B,174,0.942242,0.000242,126,0.942394748,25,0.942318,0.005377,2,13
GeographicField17B,197,0.942151,0.000109,115,0.942481668,25,0.942316,0.005379,2,25
GeographicField48B,259,0.942097,0.000211,129,0.942519631,25,0.942308,0.005387,1248,25
PropertyField11B,132,0.942262,7.90E-05,128,0.9423516,23,0.942307,0.005388,0,5
GeographicField60B,283,0.942259,4.30E-05,112,0.942353825,26,0.942306,0.005389,12,25
GeographicField50A,262,0.942116,8.10E-05,107,0.942491634,25,0.942304,0.005391,1248,25
PropertyField27,152,0.942365,5.50E-05,112,0.942241101,24,0.942303,0.005392,0,17
PersonalField54,89,0.942405,4.00E-06,144,0.942200603,23,0.942303,0.005392,0,11
GeographicField50B,263,0.942169,0.000109,90,0.942424553,24,0.942297,0.005398,1248,25
GeographicField53B,269,0.942154,6.30E-05,114,0.942422157,25,0.942288,0.005407,1248,25
PropertyField8,128,0.942218,4.70E-05,134,0.942349682,23,0.942284,0.005411,0,2
GeographicField20A,202,0.942167,0.000111,132,0.942395835,24,0.942281,0.005414,2,25
GeographicField49A,260,0.942116,8.90E-05,112,0.942442165,25,0.942279,0.005416,1248,25
GeographicField53A,268,0.942124,5.20E-05,115,0.942429967,25,0.942277,0.005418,1248,25
GeographicField41A,244,0.942197,2.10E-05,102,0.94234125,24,0.942269,0.005426,24,25
PropertyField23,146,0.942198,1.80E-05,125,0.942333866,24,0.942266,0.005429,0,13
PersonalField63,98,0.942184,6.20E-05,127,0.942342307,23,0.942263,0.005432,0,7
