SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs
Field6,1,0.914452,0.000635,111,0.914256373,20
Field7,2,0.934029,0.000481,125,0.934409771,21
Field8,3,0.914211,0.000303,96,0.91403927,21
Field9,4,0.909812,0.006494,107,0.91343859,19
Field10,5,0.914247,0.000448,80,0.913796775,20
Field11,6,0.914222,0.000101,79,0.913882698,19
Field12,7,0.902701,0.000911,82,0.902204269,18
CoverageField1A,8,0.90579,0.000779,84,0.906510568,20
CoverageField1B,9,0.905776,0.000658,87,0.906430527,21
CoverageField2A,10,0.905468,0.000661,78,0.906005953,20
CoverageField2B,11,0.905489,0.000606,81,0.905894916,21
CoverageField3A,12,0.904104,0.000658,95,0.904657578,21
CoverageField3B,13,0.903843,0.000613,112,0.904532517,21
CoverageField4A,14,0.905899,0.000764,77,0.906337077,20
CoverageField4B,15,0.905915,0.000473,84,0.906243598,21
CoverageField5A,16,0.905095,0.000713,117,0.905209527,19
CoverageField5B,17,0.905137,0.000571,141,0.905358963,19
CoverageField6A,18,0.906472,0.000752,96,0.906118838,19
CoverageField6B,19,0.90648,0.000739,145,0.906220847,20
CoverageField8,20,0.907593,0.000918,74,0.90850792,19
CoverageField9,21,0.914009,0.000446,87,0.914307389,20
CoverageField11A,22,0.909754,0.000408,84,0.910458836,20
CoverageField11B,23,0.909867,0.000341,74,0.910600007,20
SalesField1A,24,0.922192,0.000341,118,0.922224283,21
SalesField1B,25,0.922254,0.000652,101,0.922394149,21
SalesField2A,26,0.914771,0.000602,84,0.914928021,20
SalesField2B,27,0.914673,0.000584,81,0.915014611,21
SalesField3,28,0.906054,0.00058,121,0.905893956,19
SalesField4,29,0.905665,0.000621,120,0.905950746,19
SalesField6,30,0.906487,0.000719,104,0.906571074,20
SalesField7,31,0.902396,0.000452,124,0.902469484,20
SalesField8,32,0.901353,0.000374,74,0.90185447,22
SalesField9,33,0.902556,0.000952,144,0.902441985,19
SalesField10,34,0.906185,0.000585,124,0.905584181,19
SalesField11,35,0.905648,0.000786,77,0.905231787,19
SalesField12,36,0.905546,0.000616,76,0.905277173,19
SalesField13,37,0.902431,0.000978,88,0.902206109,18
SalesField14,38,0.902386,0.001067,91,0.902405508,18
SalesField15,39,0.902435,0.000987,92,0.90232697,18
PersonalField1,40,0.92077,0.000293,124,0.920453517,18
PersonalField2,41,0.908839,0.000615,150,0.907928678,19
PersonalField4A,42,0.905739,0.001205,113,0.906144103,21
PersonalField4B,43,0.905839,0.001305,145,0.906171069,22
PersonalField5,44,0.903292,0.001037,104,0.903101062,19
PersonalField6,45,0.902699,0.001102,114,0.902690459,19
PersonalField7,46,0.902529,0.001025,109,0.902255758,18
PersonalField8,47,0.90249,0.001018,132,0.902307524,18
PersonalField9,48,0.908257,0.000738,109,0.908517247,18
PersonalField10B,49,0.90389,0.000377,70,0.904032285,19
PersonalField11,50,0.903905,0.001107,118,0.903791953,18
PersonalField12,51,0.908471,0.000806,96,0.908555694,19
PersonalField13,52,0.905228,0.001132,127,0.904853882,18
PersonalField14,53,0.902899,0.000646,135,0.902475995,20
PersonalField15,54,0.907142,0.001256,101,0.906593724,20
PersonalField16,55,0.907087,0.001132,129,0.90706905,21
PersonalField17,56,0.906157,0.001303,110,0.905813325,20
PersonalField18,57,0.905989,0.001141,112,0.905675152,20
PersonalField19,58,0.905824,0.001185,120,0.905734772,20
PersonalField22,59,0.905815,0.000777,102,0.905075869,18
PersonalField23,60,0.904554,0.000965,113,0.904113456,18
PersonalField24,61,0.905178,0.001123,135,0.904861807,19
PersonalField25,62,0.905739,0.000781,107,0.905281101,18
PersonalField26,63,0.906868,0.000976,110,0.906369207,18
PersonalField27,64,0.907866,0.001189,135,0.907548486,19
PersonalField28,65,0.905541,0.001243,135,0.905386992,20
PersonalField29,66,0.90378,0.001023,135,0.9039346,20
PersonalField30,67,0.902654,0.000888,140,0.90269276,19
PersonalField31,68,0.903012,0.000863,110,0.903049731,19
PersonalField32,69,0.903886,0.001062,107,0.903891287,19
PersonalField33,70,0.9044,0.001181,109,0.904208549,19
PersonalField34,71,0.90257,0.001063,136,0.902409438,19
PersonalField35,72,0.902498,0.001019,98,0.902328967,18
PersonalField36,73,0.902486,0.000907,110,0.9023848,18
PersonalField37,74,0.90261,0.001003,99,0.902280509,18
PersonalField38,75,0.902667,0.00105,124,0.902445607,18
PersonalField39,76,0.902581,0.001018,107,0.902349555,18
PersonalField40,77,0.902484,0.001016,124,0.902409325,18
PersonalField41,78,0.902625,0.001084,120,0.902472321,18
PersonalField42,79,0.902589,0.001161,118,0.902470669,18
PersonalField43,80,0.902559,0.001031,107,0.902394719,18
PersonalField44,81,0.902677,0.000728,109,0.902623894,18
PersonalField45,82,0.903061,0.000915,120,0.9030507,19
PersonalField46,83,0.903895,0.001098,134,0.904029269,19
PersonalField47,84,0.904398,0.001184,121,0.904396419,19
PersonalField48,85,0.903706,0.000978,113,0.903949479,19
PersonalField49,86,0.902612,0.001064,100,0.902397577,18
PersonalField50,87,0.902584,0.001118,125,0.902387816,18
PersonalField51,88,0.902645,0.001083,112,0.902398728,18
PersonalField52,89,0.902667,0.000968,149,0.902445861,18
PersonalField53,90,0.902617,0.001086,112,0.902413124,18
PersonalField54,91,0.902906,0.001058,140,0.902528606,18
PersonalField55,92,0.903055,0.000854,146,0.902668055,18
PersonalField56,93,0.903284,0.000954,140,0.902811555,18
PersonalField57,94,0.903659,0.000981,120,0.903126322,18
PersonalField58,95,0.903507,0.000984,110,0.902700853,18
PersonalField59,96,0.902697,0.001006,149,0.902357229,18
PersonalField60,97,0.902606,0.000978,96,0.902484945,18
PersonalField61,98,0.902578,0.000866,111,0.902482061,18
PersonalField62,99,0.902787,0.001024,100,0.902848929,18
PersonalField63,100,0.902778,0.000831,96,0.902559769,18
PersonalField64,101,0.90249,0.001018,132,0.902321801,18
PersonalField65,102,0.902482,0.001052,128,0.902277561,18
