"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"SalesField10",30,0.96024425,0.00078175,0.960653603614186,198,4597,5.33201879069356e-05
"SalesField6",26,0.96015675,0.00066125,0.9607044830336,196,4597,2.44076849253982e-06
"PropertyField34",149,0.9601405,0.000642,0.960404208164586,198,4597,0.00030271563750639
"GeographicField11A",173,0.96011525,0.00069525,0.960526123201231,199,4597,0.000180800600861231
"GeographicField13A",177,0.9600865,0.00072475,0.960580500043318,201,4597,0.000126423758774585
"SalesField3",25,0.9600795,0.00063625,0.960706923802093,198,4597,0
"GeographicField12A",175,0.9600675,0.000697,0.960427957507157,202,4597,0.000278966294935845
"GeographicField8A",168,0.960044,0.00062975,0.960458955845393,202,4597,0.000247967956699791
"GeographicField11B",174,0.9600385,0.0007145,0.960354322163012,201,4597,0.000352601639081129
"GeographicField6A",164,0.96002375,0.000737,0.960396669881944,200,4597,0.000310253920148607
"GeographicField7B",167,0.960018,0.0007795,0.960372710779806,205,4597,0.000334213022286201
"GeographicField16A",182,0.96000925,0.00075175,0.960495449479421,201,4597,0.000211474322671656
"GeographicField13B",178,0.95997675,0.00068075,0.960452389291297,206,4597,0.000254534510795823
"GeographicField12B",176,0.95997475,0.00081225,0.960319872335207,201,4597,0.000387051466885779
"GeographicField26B",199,0.959954,0.00074325,0.96031811627361,201,4597,0.000388807528482582
"GeographicField16B",183,0.95994325,0.00067975,0.960451632672344,200,4597,0.000255291129749091
"GeographicField8B",169,0.959923,0.000671,0.960432740960337,199,4597,0.000274182841755843
"CoverageField6B",18,0.95991225,0.000673,0.960366872744979,197,4597,0.000340051057113544
"CoverageField6A",17,0.95991225,0.000673,0.960366872744979,201,4597,0.000340051057113544
"GeographicField26A",198,0.95990425,0.00066775,0.960198380239784,203,4597,0.000508543562308228
"GeographicField19A",187,0.9599025,0.00072025,0.960340784718191,199,4597,0.00036613908390204
"GeographicField64",269,0.959902,0.00076925,0.96022813346798,170,4597,0.000478790334112911
"SalesField11",31,0.95989625,0.00079825,0.960429156443102,197,4597,0.000277767358990988
"GeographicField6B",165,0.95989,0.00067075,0.96036479534445,202,4597,0.000342128457642699
"GeographicField14B",179,0.9598885,0.00064475,0.96035645055748,207,4597,0.000350473244613125
"Field11",5,0.9598815,0.00068125,0.960235662544722,201,4597,0.000471261257370847
"PersonalField15",46,0.95987375,0.000649,0.960066697453921,202,4597,0.00064022634817118
"Field9",3,0.95987225,0.0007665,0.960078925395599,201,4597,0.000627998406493635
"GeographicField5B",163,0.95986925,0.000703,0.96026769782398,200,4597,0.000439225978112967
"GeographicField19B",188,0.95986875,0.00073875,0.960343031728995,202,4597,0.000363892073097838
"PropertyField35",150,0.95986725,0.00073325,0.960325249303853,200,4597,0.000381674498239337
"Field6",1,0.95986225,0.00072925,0.960236141685314,208,4597,0.000470782116778867
"GeographicField23B",193,0.9598605,0.0006995,0.960318656192422,197,4597,0.000388267609670256
"GeographicField7A",166,0.95985525,0.0007635,0.960202603771804,203,4597,0.000504320030288774
"GeographicField41B",229,0.95985375,0.00073925,0.960204164099577,199,4597,0.00050275970251612
"PersonalField11",44,0.95985075,0.00074425,0.96028214057991,198,4597,0.000424783222182423
"CoverageField9",19,0.95984975,0.0006955,0.960216319550815,204,4597,0.000490604251277227
"GeographicField24B",195,0.959847,0.000739,0.960113185899971,202,4597,0.000593737902121805
"GeographicField27B",201,0.95984625,0.00074,0.960247252821171,204,4597,0.000459670980921478
"CoverageField5B",16,0.959845,0.0006925,0.960370267842385,202,4597,0.00033665595970811
"CoverageField5A",15,0.959845,0.0006925,0.960370267842385,203,4597,0.00033665595970811
"GeographicField9A",170,0.95983825,0.000645,0.960310716561454,197,4597,0.000396207240638602
"SalesField12",32,0.959836,0.00077325,0.960487035045719,198,4597,0.000219888756373354
"GeographicField21B",191,0.9598335,0.0007595,0.960241992733717,205,4597,0.000464931068375307
"Field10",4,0.9598225,0.0006835,0.960108841534488,201,4597,0.000598082267605049
"GeographicField9B",171,0.95979475,0.0006775,0.960265745787567,200,4597,0.0004411780145257
"Field8",2,0.959792,0.00065675,0.960164156703608,204,4597,0.00054276709848422
"GeographicField45B",237,0.9597895,0.0007395,0.960378426679812,205,4597,0.000328497122280336
"PersonalField10B",43,0.95978725,0.0007615,0.960252865672934,200,4597,0.000454058129158885
"GeographicField45A",236,0.9597835,0.0006655,0.960199821083649,202,4597,0.000507102718443342
"GeographicField25B",197,0.95977925,0.00069175,0.960219702309423,202,4597,0.000487221492669887
"count_0",272,0.9597695,0.0007805,0.960267425261858,164,4597,0.000439498540234284
"GeographicField25A",196,0.95975225,0.0007245,0.960152991103525,202,4597,0.000553932698567405
"PropertyField24A",137,0.95975,0.0007945,0.960074696079768,202,4597,0.00063222772232463
"GeographicField41A",228,0.9597465,0.00073025,0.960122886749768,203,4597,0.000584037052324793
"PersonalField75",103,0.95973625,0.0007305,0.960105211373339,194,4597,0.000601712428753398
"GeographicField15A",180,0.95973275,0.00076925,0.960242304963146,206,4597,0.000464618838946218
"PropertyField32",147,0.95972575,0.00067325,0.96019487611753,199,4597,0.000512047684562256
"GeographicField43A",232,0.959724,0.0006835,0.960224973193325,201,4597,0.000481950608767656
"PersonalField31",59,0.959721,0.0006975,0.960102505754474,200,4597,0.00060441804761846
"GeographicField17B",185,0.95971975,0.00071525,0.960198848583928,202,4597,0.000508075218164428
"GeographicField20A",189,0.9597195,0.00069925,0.959890222951339,202,4597,0.000816700850754026
"GeographicField15B",181,0.959714,0.000747,0.960258012879665,198,4597,0.000448910922427936
"GeographicField27A",200,0.95970825,0.00086,0.960105665450748,204,4597,0.000601258351344836
"GeographicField24A",194,0.95969625,0.00073275,0.96017400383564,199,4597,0.000532919966452328
"GeographicField20B",190,0.95968625,0.00079675,0.959964582380497,205,4597,0.000742341421595683
"SalesField2B",24,0.9596855,0.0007135,0.960230278008922,209,4597,0.00047664579317086
"PropertyField24B",138,0.9596855,0.000801,0.960088513702062,202,4597,0.000618410100030609
"PersonalField45",73,0.959684,0.00072,0.96021185859333,194,4597,0.000495065208762524
"CoverageField3A",11,0.95968375,0.00079,0.960139817605049,210,4597,0.000567106197043588
"PropertyField25",139,0.95968325,0.00070025,0.959941061257492,205,4597,0.000765862544600426
"SalesField2A",23,0.959679,0.000755,0.960098322323549,203,4597,0.000608601478544135
"GeographicField43B",233,0.95967475,0.0006985,0.960252360890777,202,4597,0.000454562911315737
"PropertyField33",148,0.95966475,0.00071525,0.960217391532096,198,4597,0.000489532269996817
"PropertyField16A",127,0.959661,0.000671,0.96020342844694,200,4597,0.000503495355152372
"PersonalField16",47,0.95965075,0.00077975,0.959974377940209,202,4597,0.000732545861883871
"CoverageField1B",8,0.95964875,0.00081125,0.959884992072133,203,4597,0.000821931729959369
"PersonalField28",56,0.95964075,0.00063625,0.959991161356493,199,4597,0.000715762445599788
"CoverageField3B",12,0.95963825,0.0007965,0.959940129437246,210,4597,0.000766794364846612
"CoverageField2B",10,0.95963825,0.0008205,0.960114701644196,210,4597,0.000592222157896893
"GeographicField47A",240,0.959637,0.00069,0.960116179070669,206,4597,0.000590744731423731
"GeographicField40A",226,0.9596365,0.0006995,0.960014972055665,203,4597,0.000691951746427999
"PropertyField28",143,0.95963625,0.000716,0.959959796035411,203,4597,0.000747127766681621
"PersonalField9",42,0.959631,0.0007855,0.959887805462688,197,4597,0.000819118339404956
"GeographicField22B",192,0.95963,0.00075825,0.960146107307363,204,4597,0.000560816494729277
"SalesField13",33,0.9596205,0.00070075,0.959976599454044,199,4597,0.000730324348049094
"CoverageField4A",13,0.95962,0.0006925,0.960019378018741,202,4597,0.000687545783351284
