"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",11,0.95726575,0.0008625,0.957702475731711,163,185,0
"PersonalField10A",2,0.95683125,0.00093125,0.957010755144953,156,185,0.000691720586757927
"PersonalField84",10,0.9563175,0.0008415,0.956721333935783,161,185,0.000981141795927343
"PersonalField27",7,0.95552925,0.00094075,0.955629558524121,160,185,0.00207291720758962
"PersonalField12",9,0.95513375,0.000766,0.955131058357852,161,185,0.00257141737385924
"PersonalField2",8,0.95440625,0.00084225,0.954630635700807,160,185,0.00307184003090399
"SalesField1B",6,0.9513825,0.00105275,0.952162444566976,153,185,0.00554003116473467
"PersonalField1",5,0.9499135,0.00085275,0.950487677093149,161,185,0.007214798638562
"Field7",4,0.94575725,0.00103925,0.945585404179583,154,185,0.0121170715521278
"SalesField5",3,0.936511,0.00077075,0.937446993487475,159,185,0.0202554822442356
"PropertyField37",1,0.93383475,0.001109,0.934270796433178,162,185,0.0234316792985331
