"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"PropertyField34",146,0.96252225,0.00061225,0.963231630679736,225,5167,3.58791522446777e-05
"CoverageField6A",17,0.9623735,0.00052325,0.963130254102655,232,5167,0.000137255729325547
"CoverageField6B",18,0.9623735,0.00052325,0.963130254102655,232,5167,0.000137255729325547
"CoverageField5A",15,0.96233125,0.0004595,0.963029212793853,229,5167,0.000238297038127722
"CoverageField5B",16,0.96233125,0.0004595,0.963029212793853,231,5167,0.000238297038127722
"PersonalField11",41,0.9623185,0.00044775,0.963109523138561,224,5167,0.000157986693419154
"CoverageField9",19,0.96231275,0.00054775,0.963133877805213,232,5167,0.000133632026766972
"PersonalField10B",40,0.96227525,0.0005815,0.963101203318378,220,5167,0.000166306513602832
"PropertyField32",144,0.9622685,0.00046675,0.96303722766257,234,5167,0.000230282169410345
"PersonalField15",43,0.9622535,0.000444,0.962777135728206,226,5167,0.000490374103774172
"GeographicField23B",189,0.9622455,0.0005325,0.962982211516509,228,5167,0.000285298315471749
"PropertyField24A",134,0.96223575,0.00043575,0.9628142259624,223,5167,0.000453283869580212
"PropertyField35",147,0.9622325,0.000481,0.96326750983198,227,5167,0
"GeographicField22B",188,0.96221575,0.0005865,0.962851030669095,226,5167,0.00041647916288523
"Field9",3,0.96221325,0.000498,0.962879483841039,227,5167,0.000388025990940899
"PropertyField1A",109,0.962211,0.00057975,0.962747575582921,222,5167,0.000519934249059162
"PersonalField45",70,0.96220775,0.00054825,0.962823277579346,227,5167,0.00044423225263468
"GeographicField7A",163,0.96219475,0.000489,0.962898103183719,229,5167,0.000369406648261794
"GeographicField41B",225,0.96219375,0.000615,0.962980538500807,229,5167,0.000286971331173613
"GeographicField17B",181,0.9621815,0.0005705,0.962834465302508,222,5167,0.000433044529472126
"GeographicField64",265,0.9621795,0.0004825,0.962902943896633,187,5167,0.00036456593534695
"PropertyField4",113,0.96217575,0.00054075,0.9629656621518,225,5167,0.000301847680179934
"GeographicField26B",195,0.96217575,0.00046925,0.962857369967594,229,5167,0.000410139864386427
"CoverageField3B",12,0.962175,0.00052875,0.962696040423867,226,5167,0.000571469408113034
"Field10",4,0.9621725,0.00048075,0.962859278962809,238,5167,0.000408230869171522
"PersonalField23",49,0.96217175,0.000472,0.962819842621839,219,5167,0.000447667210141667
"PropertyField14",122,0.9621705,0.0005325,0.962700307430871,222,5167,0.000567202401109745
"PropertyField16A",124,0.96215725,0.0004625,0.962994924045201,227,5167,0.000272585786779467
"PersonalField31",56,0.9621565,0.000498,0.962828604132435,221,5167,0.000438905699545855
"PersonalField28",53,0.962156,0.000549,0.962692141701067,223,5167,0.000575368130912968
"PropertyField24B",135,0.96215525,0.000411,0.962939313708895,230,5167,0.000328196123085323
"GeographicField26A",194,0.96215475,0.000526,0.962951535240181,225,5167,0.000315974591798995
"GeographicField7B",164,0.9621545,0.0005995,0.962953320269034,229,5167,0.000314189562945932
"GeographicField5B",160,0.962153,0.0004785,0.962879142885346,230,5167,0.000388366946634355
"Field6",1,0.96215125,0.0004685,0.962798769256099,235,5167,0.000468740575881532
"GeographicField21B",187,0.96214825,0.0006245,0.962892151689787,227,5167,0.000375358142193138
"PropertyField28",140,0.9621435,0.0005305,0.962838412657524,225,5167,0.000429097174456383
"PropertyField1B",110,0.96214275,0.00057325,0.962848173803557,223,5167,0.000419336028423478
"PropertyField3",112,0.962141,0.00050975,0.962910446898025,226,5167,0.000357062933955432
"GeographicField19B",184,0.96214075,0.00058,0.962922543884568,227,5167,0.000344965947412068
"GeographicField6A",161,0.96213975,0.00049525,0.962783427165664,226,5167,0.000484082666316388
"GeographicField27B",197,0.96213875,0.00049475,0.962907171911107,232,5167,0.000360337920873532
"PropertyField19",128,0.96213825,0.00055175,0.962799693798382,226,5167,0.000467816033598245
"GeographicField19A",183,0.96213775,0.0006125,0.962968589097856,226,5167,0.000298920734124519
"PersonalField4B",34,0.96213675,0.00046575,0.963010707970643,229,5167,0.000256801861337363
"GeographicField1A",152,0.96213675,0.00053075,0.962773287469162,228,5167,0.000494222362818042
"GeographicField20B",186,0.96213675,0.000565,0.962839937848641,228,5167,0.000427571983339203
"GeographicField25B",193,0.96213575,0.00054425,0.962841178090641,223,5167,0.000426331741339658
"PersonalField78",103,0.96213325,0.00050775,0.962863447404023,223,5167,0.000404062427957541
"Field11",5,0.96213225,0.00054225,0.962717505883835,227,5167,0.000550003948145528
"GeographicField25A",192,0.96213175,0.000504,0.962852876379772,235,5167,0.000414633452208824
"GeographicField9A",167,0.962131,0.0004945,0.962901663312548,233,5167,0.000365846519432167
"CoverageField3A",11,0.9621305,0.00053025,0.962731604743968,231,5167,0.000535905088012711
"GeographicField15A",176,0.9621305,0.0005665,0.962959067883607,227,5167,0.000308441948373095
"PersonalField4A",33,0.96213025,0.0004305,0.962798797548577,231,5167,0.000468712283403172
"PersonalField6",36,0.96212825,0.00055425,0.96283678239383,232,5167,0.000430727438150869
"PropertyField13",121,0.96212625,0.0004575,0.962849520226697,225,5167,0.000417989605282942
"GeographicField43A",228,0.962126,0.00064325,0.96269800291934,232,5167,0.000569506912640794
"PropertyField16B",125,0.96212475,0.0004235,0.962915167114865,225,5167,0.000352342717115484
"PersonalField5",35,0.9621245,0.00043625,0.962900276740115,230,5167,0.000367233091864927
"GeographicField45A",232,0.962124,0.0004955,0.962826786376847,231,5167,0.000440723455132908
"GeographicField47A",236,0.9621225,0.0004895,0.962752529417551,225,5167,0.000514980414429211
"PersonalField75",100,0.96212175,0.00049575,0.962821406275303,226,5167,0.000446103556677291
"GeographicField13A",173,0.9621215,0.00054475,0.962822775351706,225,5167,0.0004447344802746
"GeographicField1B",153,0.962121,0.00059925,0.962835386422703,228,5167,0.000432123409277452
"GeographicField43B",229,0.9621205,0.00049375,0.962753621593974,225,5167,0.000513888238006577
"PersonalField81",106,0.96211225,0.0005005,0.962742750245306,224,5167,0.000524759586674861
"Field8",2,0.96211075,0.00052575,0.962906558971673,238,5167,0.000360950860307185
"PersonalField58",83,0.9621105,0.00044825,0.962708936492181,227,5167,0.000558573339799473
"PersonalField76",101,0.96210975,0.000502,0.962754551438084,223,5167,0.00051295839389609
"PersonalField79",104,0.9621095,0.00045025,0.962844273104621,223,5167,0.000423236727359111
"PersonalField16",44,0.96210825,0.0004865,0.962906780009673,226,5167,0.000360729822307504
"GeographicField46A",234,0.962108,0.0005795,0.962713688568183,227,5167,0.000553821263797327
"PersonalField60",85,0.96210625,0.00053075,0.962795783074173,216,5167,0.000471726757807267
"GeographicField9B",168,0.96210625,0.00055125,0.962870784699212,234,5167,0.000396725132768339
"GeographicField20A",185,0.96210475,0.00056175,0.96282970879225,227,5167,0.000437801039729901
"PropertyField36",148,0.96210275,0.000595,0.962845824612081,225,5167,0.000421685219899048
"GeographicField55A",252,0.9621025,0.00055025,0.962861704259605,232,5167,0.000405805572375018
"GeographicField45B",233,0.96210175,0.00058675,0.96274751239478,230,5167,0.000519997437200881
"PropertyField11B",119,0.9621015,0.0005815,0.962704032783918,228,5167,0.000563477048062366
"GeographicField41A",224,0.962101,0.000481,0.962916681798724,228,5167,0.000350828033255923
"GeographicField11A",170,0.9621005,0.0005015,0.962884176391981,225,5167,0.000383333439999745
"PersonalField9",39,0.96209925,0.0004785,0.962831663768768,225,5167,0.000435846063212786
"GeographicField12A",171,0.962099,0.00047,0.962905950514694,227,5167,0.000361559317286875
"PersonalField22",48,0.96209875,0.00047975,0.962719978463291,231,5167,0.000547531368689236
"SalesField11",28,0.9620985,0.000486,0.962853913609984,224,5167,0.000413596221996437
"PropertyField12",120,0.962098,0.000491,0.962802592451959,230,5167,0.00046491738002119
"PropertyField15",123,0.962098,0.000511,0.962858162397981,225,5167,0.000409347433999674
"PersonalField62",87,0.9620975,0.000472,0.962757275131361,220,5167,0.000510234700619727
"PersonalField63",88,0.96209725,0.000521,0.962755134301698,224,5167,0.000512375530282716
"PersonalField29",54,0.96209675,0.00052075,0.962789498673686,223,5167,0.000478011158294378
"PersonalField33",58,0.962096,0.0005355,0.9627702471604,226,5167,0.000497262671580678
"GeographicField8A",165,0.962096,0.000515,0.962720062087567,225,5167,0.000547447744413287
"GeographicField36A",214,0.9620955,0.00060575,0.962862407330103,231,5167,0.000405102501877419
"SalesField2A",23,0.962094,0.0004665,0.962921602424636,233,5167,0.000345907407344304
"GeographicField27A",196,0.962093,0.000513,0.962850655058731,227,5167,0.00041685477324982
"PropertyField31",143,0.96209225,0.00051325,0.963063839172506,230,5167,0.000203670659474242
