"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"SalesField6",26,0.96076575,0.0005435,0.961355719252727,204,4618,0
"GeographicField13A",176,0.960718,0.00053475,0.961293120529666,202,4618,6.25987230608027e-05
"GeographicField11B",173,0.9607155,0.0004365,0.961048133694057,203,4618,0.000307585558669832
"GeographicField16A",181,0.96070425,0.00054025,0.961196077328827,199,4618,0.000159641923900389
"PropertyField34",148,0.96070175,0.00053625,0.961061193203247,200,4618,0.000294526049480437
"GeographicField11A",172,0.96070075,0.00049825,0.961287127681482,202,4618,6.8591571245058e-05
"GeographicField12A",174,0.9606945,0.00052025,0.961158790493237,204,4618,0.000196928759490178
"SalesField3",25,0.9606585,0.00056025,0.961285354316649,198,4618,7.03649360781489e-05
"GeographicField8A",167,0.96064475,0.000531,0.96118268004504,205,4618,0.000173039207686854
"GeographicField6A",163,0.96064425,0.0004485,0.961176287969261,202,4618,0.000179431283466425
"GeographicField13B",177,0.960638,0.00049425,0.961255916016995,203,4618,9.98032357321099e-05
"GeographicField7B",166,0.96063675,0.00053125,0.96110335424966,204,4618,0.000252365003067023
"GeographicField26B",198,0.960625,0.0004945,0.960967092564754,204,4618,0.000388626687973348
"GeographicField12B",175,0.960617,0.000529,0.961013984238868,205,4618,0.000341735013859035
"GeographicField8B",168,0.960596,0.00051525,0.961089229169582,208,4618,0.00026649008314561
"GeographicField23B",192,0.9605845,0.000609,0.960990694516526,208,4618,0.000365024736201591
"GeographicField6B",164,0.96055775,0.000384,0.961163382646849,204,4618,0.000192336605878474
"GeographicField41B",228,0.96054875,0.0005305,0.960911211835256,207,4618,0.000444507417471152
"GeographicField5B",162,0.96054625,0.000521,0.961040752875686,201,4618,0.000314966377041315
"CoverageField6A",17,0.9605445,0.000551,0.961193065794527,202,4618,0.000162653458200324
"CoverageField6B",18,0.9605445,0.000551,0.961193065794527,208,4618,0.000162653458200324
"GeographicField9A",169,0.96053775,0.00049825,0.961052539753531,199,4618,0.000303179499196227
"GeographicField9B",170,0.96053775,0.0005395,0.961014642243834,200,4618,0.000341077008893409
"GeographicField64",268,0.960534,0.0005605,0.960841569634635,159,4618,0.000514149618092152
"GeographicField14B",178,0.9605325,0.00042975,0.960959026991288,203,4618,0.000396692261439124
"GeographicField16B",182,0.9605315,0.00049225,0.961147838797786,201,4618,0.000207880454941134
"GeographicField21B",190,0.960525,0.00046175,0.960949104043126,205,4618,0.00040661520960128
"Field6",1,0.96052125,0.00047725,0.960804762084233,208,4618,0.000550957168494626
"GeographicField19A",186,0.96051725,0.00044325,0.960938652213592,203,4618,0.000417067039135355
"CoverageField5A",15,0.960506,0.00048925,0.961039067569384,205,4618,0.000316651683342939
"CoverageField5B",16,0.960506,0.00048925,0.961039067569384,203,4618,0.000316651683342939
"GeographicField19B",187,0.96050525,0.00048925,0.961120451052136,206,4618,0.000235268200591388
"GeographicField7A",165,0.96050425,0.0005745,0.960904749678959,203,4618,0.00045096957376789
"Field11",5,0.960499,0.00051975,0.960764446507503,203,4618,0.000591272745223748
"GeographicField26A",197,0.9604915,0.00053325,0.960861712867074,203,4618,0.000494006385653445
"PersonalField11",43,0.96048475,0.00057525,0.960799747278589,197,4618,0.000555971974138481
"Field9",3,0.96048425,0.0004775,0.960788338613824,210,4618,0.000567380638903714
