"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",24,0.9639,0.000429,0.964370644505017,252,554,0
"PropertyField1B",23,0.96370175,0.0005025,0.964328827932783,255,554,4.18165722346764e-05
"PropertyField35",22,0.96370075,0.0004735,0.964054814990492,257,554,0.000315829514524912
"CoverageField9",18,0.96369025,0.0005685,0.964042395845643,254,554,0.000328248659373975
"CoverageField5A",19,0.96367225,0.000589,0.964052597428929,254,554,0.00031804707608829
"PersonalField11",21,0.96365175,0.00045475,0.963950605068707,257,554,0.000420039436310193
"CoverageField8",12,0.96364,0.000423,0.963969663017099,272,554,0.000400981487918561
"PropertyField34",17,0.9635045,0.0004665,0.964166613032096,257,554,0.000204031472920807
"GeographicField11B",16,0.96346525,0.0005185,0.963747857794754,254,554,0.00062278671026339
"SalesField10",13,0.963441,0.0005725,0.963920499509989,252,554,0.000450144995028379
"PersonalField10B",20,0.9632285,0.00054675,0.96370405009718,251,554,0.000666594407837562
"PersonalField13",10,0.96315325,0.000412,0.963633220190848,264,554,0.000737424314169344
"SalesField4",11,0.96312875,0.0004255,0.963528831452887,277,554,0.000841813052129825
"SalesField3",15,0.963118,0.00052275,0.963238686592491,253,554,0.0011319579125264
"PersonalField84",9,0.963074,0.00042825,0.963586241325774,251,554,0.000784403179243442
"SalesField6",14,0.96302425,0.0005165,0.963247322015994,254,554,0.00112332248902336
"PersonalField27",6,0.96219225,0.0005915,0.962731660702345,259,554,0.00163898380267247
"PersonalField12",8,0.9619615,0.00047925,0.962635105607005,256,554,0.00173553889801192
"PersonalField2",7,0.961053,0.00047575,0.961472075227058,261,554,0.00289856927795973
"SalesField1B",5,0.959954,0.000698,0.960660385759859,253,554,0.0037102587451584
"SalesField5",2,0.95878125,0.00042625,0.959866572656542,263,554,0.00450407184847568
"PersonalField1",4,0.9583395,0.0005165,0.958746603525083,260,554,0.00562404097993396
"Field7",3,0.95811925,0.000529,0.959182157072025,259,554,0.00518848743299238
"PropertyField37",1,0.94562225,0.000375,0.946667493682961,281,554,0.0177031508220559
