"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",17,0.96169125,0.000638,0.962351838469768,144,374,0
"PersonalField10A",2,0.9613055,0.000589,0.961996370855646,210,374,0.00035546761412264
"SalesField10",14,0.96111,0.0006535,0.961751845809194,146,374,0.000599992660574422
"CoverageField8",13,0.96100375,0.000645,0.961554977056749,148,374,0.000796861413019267
"SalesField4",12,0.96093825,0.0006525,0.961650020601127,211,374,0.000701817868641319
"SalesField3",16,0.960848,0.00058025,0.961398640436579,145,374,0.000953198033189162
"PersonalField84",10,0.96084325,0.0006805,0.961582124292234,205,374,0.000769714177534353
"PersonalField13",11,0.960834,0.00060775,0.961727242920628,208,374,0.00062459554914096
"SalesField6",15,0.9607265,0.000569,0.96126374676771,143,374,0.00108809170205837
"PersonalField27",7,0.960058,0.000706,0.960689107204264,207,374,0.0016627312655042
"PersonalField12",9,0.9597225,0.0007895,0.960399224832517,208,374,0.0019526136372513
"PersonalField2",8,0.95878725,0.00075775,0.95944342687962,209,374,0.00290841159014865
"SalesField1B",6,0.95693775,0.000654,0.958174094284043,200,374,0.0041777441857257
"PersonalField1",5,0.95575425,0.000724,0.956539499430401,213,374,0.00581233903936706
"SalesField5",3,0.953642,0.00114375,0.954872771840277,210,374,0.00747906662949183
"Field7",4,0.95291425,0.00067,0.953767381962702,202,374,0.00858445650706596
"PropertyField37",1,0.94182025,0.00098925,0.942792962108753,216,374,0.0195588763610151
