"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"PersonalField2",38,0.95404125,0.00096775,0.954352093311062,161,3918,0
"PersonalField9",45,0.95334475,0.000844,0.953655291356629,164,3918,0.000696801954433446
"PersonalField12",48,0.953303,0.00094175,0.953631443014483,161,3918,0.000720650296579195
"PersonalField13",49,0.95219625,0.0010425,0.952253881374643,158,3918,0.00209821193641946
"PersonalField84",117,0.9521785,0.00097425,0.952213303261066,163,3918,0.00213879004999662
"SalesField6",28,0.95194875,0.0010995,0.952237352301474,168,3918,0.00211474100958864
"SalesField10",32,0.95189,0.00100575,0.952048018650574,164,3918,0.00230407466048776
"GeographicField11B",180,0.951856,0.001017,0.951828840483654,169,3918,0.0025232528274084
"CoverageField9",20,0.95184825,0.0011265,0.952080383125109,173,3918,0.00227171018595318
"GeographicField8B",175,0.95182825,0.00110475,0.951683237268246,169,3918,0.00266885604281653
"GeographicField13A",183,0.951813,0.001049,0.951908202235063,164,3918,0.00244389107599952
"GeographicField11A",179,0.9518125,0.00104725,0.951892528346636,167,3918,0.00245956496442612
"GeographicField16A",188,0.95178525,0.0010265,0.951763163230475,168,3918,0.00258893008058669
"count_less_0",277,0.95178425,0.0010665,0.951837607633466,129,3918,0.00251448567759627
"CoverageField8",19,0.95176475,0.00102125,0.952028140798691,169,3918,0.00232395251237116
"GeographicField12A",181,0.9517645,0.0010055,0.951862827799325,164,3918,0.00248926551173756
"GeographicField13B",184,0.95174025,0.00108225,0.951829509285068,168,3918,0.00252258402599437
"GeographicField16B",189,0.95172775,0.001071,0.951812651354011,172,3918,0.00253944195705114
"GeographicField6B",171,0.951727,0.00106275,0.951760666359011,169,3918,0.00259142695205161
"GeographicField8A",174,0.95169475,0.00104025,0.951706877296777,165,3918,0.00264521601428502
"GeographicField7B",173,0.9516925,0.000981,0.951844952399412,168,3918,0.00250714091165039
"PropertyField34",155,0.951682,0.000926,0.951700791859409,167,3918,0.00265130145165327
"GeographicField6A",170,0.9516675,0.00098,0.951779820800659,166,3918,0.00257227251040326
"GeographicField14B",185,0.951658,0.00103725,0.951603757045096,166,3918,0.00274833626596604
"GeographicField26B",205,0.95164575,0.00096075,0.951742540230865,165,3918,0.00260955308019706
"GeographicField12B",182,0.95164475,0.000987,0.951714245728152,167,3918,0.00263784758290997
"CoverageField6A",17,0.95160575,0.0011085,0.951747615429142,166,3918,0.00260447788192053
"CoverageField6B",18,0.95160575,0.0011085,0.951747615429142,166,3918,0.00260447788192053
"SalesField11",33,0.95159825,0.00104325,0.9517330778669,165,3918,0.00261901544416265
"GeographicField27B",207,0.9515825,0.00098375,0.951793687247963,169,3918,0.00255840606309965
"SalesField3",26,0.95158175,0.001066,0.951898448656183,164,3918,0.00245364465487885
"GeographicField19A",193,0.95158175,0.000985,0.951754118698699,165,3918,0.00259797461236311
"GeographicField23B",199,0.95158075,0.00105,0.951746373500197,170,3918,0.00260571981086499
"GeographicField21B",197,0.95157175,0.0009225,0.951692173642745,167,3918,0.0026599196683168
"GeographicField26A",204,0.951568,0.000877,0.951592818363221,170,3918,0.00275927494784101
"PersonalField11",47,0.95156725,0.00093725,0.951602352542847,163,3918,0.00274974076821477
"GeographicField7A",172,0.951562,0.000953,0.951580178324968,167,3918,0.00277191498609464
"GeographicField24B",201,0.951547,0.00096425,0.951847200711573,170,3918,0.00250489259948872
"CoverageField5A",15,0.95154425,0.0010685,0.951733929243966,164,3918,0.00261816406709614
"CoverageField5B",16,0.95154425,0.0010685,0.951733929243966,165,3918,0.00261816406709614
"SalesField12",34,0.951536,0.000967,0.95169816340623,165,3918,0.00265392990483204
"GeographicField5B",169,0.9515325,0.0009595,0.951715449773131,164,3918,0.00263664353793158
"count_0",278,0.951531,0.00104625,0.951597715034513,120,3918,0.00275437827654901
"PropertyField35",156,0.951514,0.00099425,0.951759987532323,167,3918,0.00259210577873903
"GeographicField45A",242,0.95150925,0.0009745,0.951648850821377,166,3918,0.00270324248968568
"PropertyField24A",143,0.951506,0.00104175,0.951694958933615,169,3918,0.00265713437744708
"GeographicField15B",187,0.951499,0.0011005,0.951778851964019,171,3918,0.00257324134704362
"GeographicField19B",194,0.95149625,0.0010045,0.951709703700908,167,3918,0.00264238961015451
"GeographicField17B",191,0.9514865,0.00104025,0.951601823468682,170,3918,0.00275026984238025
"PropertyField24B",144,0.95148175,0.0010915,0.951591563035113,169,3918,0.00276053027594902
"GeographicField25A",202,0.95147775,0.00093625,0.951560834174299,169,3918,0.00279125913676326
"GeographicField15A",186,0.95147725,0.001017,0.951678451597938,167,3918,0.00267364171312434
"GeographicField41B",235,0.9514675,0.00098625,0.951629709875288,168,3918,0.00272238343577369
"Field6",1,0.951467,0.00105375,0.951440284502777,164,3918,0.00291180880828501
