"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"PropertyField1B",107,0.9639,0.000429,0.964370644505017,266,5800,0.000234623209201867
"GeographicField21B",182,0.96387975,0.0005195,0.964535209609346,258,5800,7.00581048730387e-05
"GeographicField9A",162,0.96387225,0.00052875,0.964339095837108,255,5800,0.000266171877111199
"PersonalField75",97,0.96387,0.00051575,0.964276364182778,243,5800,0.00032890353144166
"GeographicField41B",220,0.96386025,0.00046875,0.964503417442969,259,5800,0.000101850271250425
"Field9",3,0.96382925,0.00042725,0.964455111193134,255,5800,0.000150156521085187
"GeographicField13A",168,0.963829,0.00042775,0.964367328838624,274,5800,0.000237938875594867
"PersonalField28",50,0.96382475,0.000521,0.964306724518396,254,5800,0.000298543195822787
"GeographicField19B",179,0.9638205,0.0005205,0.964329583394974,270,5800,0.000275684319245517
"PropertyField1A",106,0.963819,0.00048675,0.964178297295484,268,5800,0.000426970418734962
"GeographicField9B",163,0.96381825,0.00055975,0.964282028847852,256,5800,0.000323238866366871
"GeographicField22B",183,0.96381575,0.00052675,0.964510361969152,259,5800,9.49057450667645e-05
"GeographicField7B",159,0.96381225,0.000468,0.964464093211547,260,5800,0.000141174502672481
"PersonalField22",45,0.9638115,0.000496,0.964358641071626,262,5800,0.000246626642592784
"GeographicField45A",227,0.96381,0.000538,0.964174859831659,269,5800,0.000430407882560324
"PersonalField31",53,0.9638075,0.000524,0.964455307890927,250,5800,0.000149959823292578
"GeographicField16A",173,0.963805,0.00052025,0.964395063275581,257,5800,0.00021020443863784
"GeographicField64",260,0.963804,0.00050075,0.964407834606358,250,5800,0.000197433107861134
"PropertyField3",109,0.96380175,0.00050075,0.964380604469574,246,5800,0.000224663244645429
"GeographicField23B",184,0.963801,0.000455,0.964315062605785,257,5800,0.000290205108434027
"PersonalField24",47,0.9638,0.000483,0.964417890630385,267,5800,0.000187377083833762
"GeographicField17B",176,0.9637995,0.00044325,0.964197445615932,259,5800,0.000407822098287158
"PropertyField8",113,0.9637985,0.00051425,0.964368186577884,253,5800,0.000237081136335471
"GeographicField17A",175,0.96379775,0.000541,0.964354151773464,256,5800,0.000251115940754887
"PersonalField82",104,0.96379575,0.00041075,0.964310029243746,250,5800,0.000295238470473413
"PersonalField81",103,0.963795,0.00055325,0.964349284358619,249,5800,0.000255983355599954
"PersonalField32",54,0.96379,0.000601,0.964426719570585,252,5800,0.000178548143634494
"Field12",6,0.96378725,0.00050325,0.964341628568205,257,5800,0.000263639146014238
"PersonalField4B",32,0.963787,0.000589,0.964418372373693,254,5800,0.000186895340526405
"GeographicField8A",160,0.96378675,0.0004815,0.96434511394127,260,5800,0.000260153772949523
"PersonalField78",100,0.963784,0.00051625,0.964178930526457,250,5800,0.000426337187762305
"PersonalField45",67,0.96378375,0.00050725,0.964396820397543,254,5800,0.000208447316675686
"GeographicField5B",155,0.9637825,0.00048525,0.964406082641628,265,5800,0.000199185072591201
"GeographicField16B",174,0.963782,0.00058025,0.964437883001738,259,5800,0.000167384712480789
"PersonalField83",105,0.96378125,0.000507,0.964190804739857,260,5800,0.000414462974362095
"GeographicField11A",165,0.96378075,0.000488,0.964458245103248,264,5800,0.000147022610971659
"PersonalField79",101,0.963777,0.00051925,0.964214624741326,251,5800,0.000390642972893263
