"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"PersonalField27",61,0.95105725,0.00059375,0.951262605810621,157,3786,0
"PersonalField2",38,0.9506085,0.0008525,0.950743359208561,156,3786,0.000519246602059154
"PersonalField82",116,0.9504985,0.0005435,0.950596054829568,156,3786,0.000666550981052172
"count_0",279,0.9504335,0.000625,0.950455475095522,115,3786,0.00080713071509908
"PersonalField26",60,0.95041225,0.00060125,0.950315733242981,154,3786,0.000946872567639812
"PersonalField9",45,0.95006575,0.00071775,0.950225265898534,156,3786,0.00103733991208643
"PersonalField84",118,0.950059,0.000504,0.950075622449736,157,3786,0.00118698336088485
"PersonalField12",48,0.95004625,0.00073425,0.950311226834376,155,3786,0.000951378976244532
"PersonalField83",117,0.94995625,0.00062725,0.950073511358504,155,3786,0.00118909445211646
"PersonalField25",59,0.94993375,0.0006455,0.949790019761179,155,3786,0.00147258604944178
"PersonalField81",115,0.9499285,0.0006235,0.949989831316963,155,3786,0.00127277449365804
"PersonalField28",62,0.9499005,0.00050825,0.949746022643775,155,3786,0.00151658316684555
"PersonalField22",56,0.94990025,0.0005825,0.949752568568943,157,3786,0.00151003724167764
"PersonalField24",58,0.94966875,0.0006085,0.949576594992643,155,3786,0.00168601081797803
"PersonalField80",114,0.949652,0.000603,0.94975473320863,155,3786,0.00150787260199015
"count_less_0",278,0.94962225,0.00058675,0.949515717339118,118,3786,0.00174688847150217
"PersonalField23",57,0.9492885,0.00062175,0.949294255771579,155,3786,0.00196835003904161
"PersonalField79",113,0.94926675,0.00059275,0.94936464885554,156,3786,0.00189795695508044
"PersonalField13",49,0.94879225,0.00062475,0.948741267183858,155,3786,0.00252133862676307
"SalesField6",28,0.948562,0.00077675,0.948758110173401,158,3786,0.00250449563721966
"SalesField10",32,0.9485455,0.000723,0.948462409335389,157,3786,0.00280019647523155
"PersonalField33",67,0.9485,0.00073525,0.948593488387719,156,3786,0.0026691174229021
"PersonalField47",81,0.94847475,0.000698,0.948660981854134,156,3786,0.00260162395648655
