"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"CoverageField8",19,0.959643,0.00051675,0.960021147913288,198,4466,0
"SalesField10",31,0.95959325,0.00050125,0.959774039045403,193,4466,0.000247108867884371
"CoverageField9",20,0.95955,0.00048275,0.959804716671286,197,4466,0.000216431242001103
"PropertyField34",150,0.95950425,0.00049,0.959416840432867,193,4466,0.000604307480420174
"GeographicField11A",174,0.959421,0.00046425,0.959756757835735,195,4466,0.000264390077552856
"SalesField6",27,0.959411,0.0005555,0.959758362650658,197,4466,0.000262785262629461
"GeographicField11B",175,0.959407,0.00048275,0.959672201835927,197,4466,0.000348946077360357
"GeographicField7B",168,0.9593655,0.000426,0.959641689578857,200,4466,0.000379458334430427
"GeographicField12A",176,0.9593555,0.00052875,0.959610557248986,195,4466,0.000410590664301824
"GeographicField8B",170,0.959355,0.00040725,0.959599239100872,193,4466,0.000421908812415661
"GeographicField13A",178,0.959348,0.00040325,0.959800658749072,198,4466,0.000220489164215243
"SalesField3",26,0.95933025,0.00044575,0.95975917517979,189,4466,0.000261972733497373
"GeographicField16B",184,0.95932675,0.0004145,0.959569181451393,197,4466,0.000451966461894493
"GeographicField8A",169,0.959308,0.00047775,0.959549644603401,192,4466,0.000471503309886101
"GeographicField16A",183,0.95929425,0.0004365,0.959562792894099,194,4466,0.000458355019188672
"CoverageField5B",16,0.95928125,0.0004435,0.959461749368169,195,4466,0.00055939854511855
"CoverageField5A",15,0.95928125,0.0004435,0.959461749368169,197,4466,0.00055939854511855
"SalesField11",32,0.9592755,0.000552,0.959509849232327,190,4466,0.000511298680960892
"GeographicField5B",164,0.959268,0.0004205,0.959467971448086,194,4466,0.000553176465201477
"PropertyField35",151,0.9592655,0.00042025,0.959485770019702,194,4466,0.000535377893585931
"GeographicField6A",165,0.95925675,0.00041525,0.959599319833242,194,4466,0.000421828080045539
"GeographicField13B",179,0.9592425,0.000468,0.959635129724343,200,4466,0.00038601818894457
"CoverageField6A",17,0.95924225,0.000556,0.959502195803635,189,4466,0.000518952109652138
"CoverageField6B",18,0.95924225,0.000556,0.959502195803635,194,4466,0.000518952109652138
"GeographicField6B",166,0.9592395,0.0004635,0.959488028212542,199,4466,0.000533119700745988
"GeographicField19A",188,0.95923775,0.000348,0.959633208052941,198,4466,0.000387939860346576
"GeographicField12B",177,0.95922625,0.000568,0.95954804094524,195,4466,0.000473106968047254
"GeographicField26B",200,0.95922425,0.00048675,0.959437228754322,197,4466,0.000583919158965163
"GeographicField23B",194,0.9592215,0.00050375,0.959602380433544,192,4466,0.000418767479743898
"SalesField12",33,0.959214,0.000568,0.959585579232039,196,4466,0.000435568681248499
"GeographicField21B",192,0.9592015,0.0004945,0.959385183077499,202,4466,0.000635964835788982
"PropertyField32",148,0.9591925,0.00043175,0.959416461593208,191,4466,0.000604686320079595
"count_0",273,0.9591865,0.00046975,0.959462396046504,166,4466,0.000558751866784002
"GeographicField14B",180,0.959175,0.00032675,0.959462084395455,201,4466,0.000559063517832081
"PersonalField11",45,0.95917025,0.00051525,0.959409459036115,187,4466,0.000611688877172889
"GeographicField45A",237,0.95916825,0.00043075,0.959386337960079,196,4466,0.00063480995320897
"GeographicField26A",199,0.95916275,0.00042575,0.959342996775108,198,4466,0.000678151138179706
"GeographicField41B",230,0.95916275,0.000462,0.959329575536702,193,4466,0.000691572376585903
"GeographicField24B",196,0.95915,0.0004065,0.959443864135776,198,4466,0.000577283777511206
"Field10",4,0.95914775,0.000507,0.95920918887227,192,4466,0.000811959041017496
"GeographicField27B",202,0.9591445,0.00046825,0.959384250389681,202,4466,0.00063689752360685
"GeographicField7A",167,0.95913325,0.00045675,0.959365068764118,199,4466,0.000656079149169764
"GeographicField64",270,0.9591295,0.00051175,0.959188605202578,165,4466,0.000832542710709094
"GeographicField15A",181,0.959128,0.0004765,0.959471919911666,196,4466,0.000549228001621827
"GeographicField19B",189,0.9591185,0.0003805,0.959506886667632,197,4466,0.0005142612456559
"PersonalField15",47,0.9591125,0.0004525,0.959287176486441,198,4466,0.000733971426846391
"PropertyField24A",138,0.95910925,0.000449,0.959263283946335,198,4466,0.00075786396695221
"PropertyField24B",139,0.9591085,0.00041775,0.959293520893973,197,4466,0.000727627019314059
"PersonalField10B",44,0.959103,0.00049425,0.959315006404488,194,4466,0.000706141508799663
"GeographicField25A",197,0.959103,0.000552,0.959371781937838,196,4466,0.000649365975449956
"CoverageField11B",22,0.95910225,0.00055375,0.959247838470268,199,4466,0.000773309443019343
