"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",18,0.96213875,0.0007315,0.96279511210383,157,396,0
"GeographicField11B",17,0.961702,0.00074975,0.962345399304123,155,396,0.000449712799707069
"PersonalField10A",2,0.96169375,0.00066725,0.962356593678669,212,396,0.000438518425161294
"SalesField10",14,0.96154775,0.0006325,0.962184393991235,157,396,0.000610718112595277
"CoverageField8",13,0.96141175,0.00079475,0.961991331613398,156,396,0.000803780490431949
"PersonalField13",11,0.96137175,0.0006695,0.962145494002393,224,396,0.000649618101436933
"SalesField4",12,0.96134425,0.000679,0.962022897970131,224,396,0.000772214133698768
"PersonalField84",10,0.96131,0.0007405,0.962027609704047,221,396,0.000767502399782516
"SalesField3",16,0.9612785,0.0007335,0.961783554688684,158,396,0.00101155741514547
"SalesField6",15,0.9612285,0.0006375,0.96179475706417,158,396,0.00100035503966034
"PersonalField27",7,0.96039775,0.0008255,0.960996290836227,215,396,0.00179882126760311
"PersonalField12",9,0.960161,0.000773,0.960843337167458,218,396,0.00195177493637178
"PersonalField2",8,0.9592795,0.00065125,0.959939007425995,215,396,0.00285610467783448
"SalesField1B",6,0.9575935,0.0007585,0.958750903162424,212,396,0.00404420894140611
"PersonalField1",5,0.956272,0.00054725,0.956808617966726,217,396,0.00598649413710417
"Field7",4,0.95489375,0.00086125,0.955821356223354,214,396,0.00697375588047555
"SalesField5",3,0.95430625,0.00078275,0.955564130601421,216,396,0.00723098150240897
"PropertyField37",1,0.9423585,0.00061375,0.943318412186136,223,396,0.0194766999176942
