"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",19,0.96252225,0.00061225,0.963231630679736,170,418,0
"PersonalField10A",2,0.96216725,0.000672,0.962669266485222,226,418,0.000562364194513276
"GeographicField11B",17,0.962097,0.00057275,0.962752210440342,167,418,0.000479420239393957
"SalesField10",14,0.962058,0.00063025,0.96261316669386,168,418,0.000618463985875284
"PropertyField34",18,0.961983,0.0005285,0.962829703297629,169,418,0.000401927382106315
"CoverageField8",13,0.96194625,0.00050225,0.962332740564878,170,418,0.000898890114857331
"PersonalField13",11,0.96181525,0.0004635,0.962530291276908,225,418,0.000701339402827239
"SalesField3",16,0.961764,0.00062375,0.962132576774969,170,418,0.00109905390476706
"SalesField4",12,0.96175725,0.0005295,0.962306639428117,218,418,0.000924991251618712
"PersonalField84",10,0.961698,0.000568,0.962359270764063,222,418,0.000872359915672583
"SalesField6",15,0.9616275,0.000531,0.962181738932522,169,418,0.00104989174721326
"PersonalField27",7,0.96088825,0.00068025,0.961312949315548,225,418,0.00191868136418749
"PersonalField12",9,0.960556,0.00069875,0.961313139313759,227,418,0.00191849136597666
"PersonalField2",8,0.95962375,0.0006595,0.960290860639856,222,418,0.00294077003987947
"SalesField1B",6,0.958064,0.000691,0.959181930780396,224,418,0.00404969989933945
"PersonalField1",5,0.956849,0.000577,0.957570050304439,226,418,0.00566158037529663
"Field7",4,0.956046,0.0008015,0.957081359675426,231,418,0.00615027100430954
"SalesField5",3,0.95548925,0.00076025,0.956825684596984,222,418,0.00640594608275158
"PropertyField37",1,0.942866,0.00087775,0.943987879220398,235,418,0.0192437514593377
