"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",22,0.96324225,0.00057625,0.963773127123011,213,490,8.32465448625808e-05
"PersonalField10A",2,0.96323425,0.000566,0.963856373667874,252,490,0
"CoverageField9",19,0.9631115,0.00068925,0.963596466478092,211,490,0.000259907189781972
"CoverageField5A",20,0.9630675,0.00064025,0.963593369680769,211,490,0.000263003987104438
"CoverageField8",13,0.963031,0.00056725,0.963467929459156,206,490,0.000388444208717642
"PersonalField10B",21,0.96300575,0.000674,0.963585163030499,210,490,0.000271210637374675
"GeographicField11B",17,0.96286475,0.0005565,0.963299116289807,212,490,0.000557257378066667
"PropertyField34",18,0.96283275,0.00056675,0.963661774097511,212,490,0.000194599570362941
"SalesField10",14,0.962739,0.00060425,0.96339166387849,214,490,0.000464709789383511
"PersonalField13",11,0.96251425,0.00062075,0.963194044676491,226,490,0.000662328991382521
"SalesField3",16,0.96247675,0.00057925,0.962909490737572,214,490,0.000946882930302206
"SalesField6",15,0.962435,0.000503,0.962907948146821,215,490,0.000948425521052676
"SalesField4",12,0.962421,0.0006075,0.963017673077556,259,490,0.000838700590317543
"PersonalField84",10,0.962375,0.0006255,0.96297681526849,256,490,0.000879558399383584
"PersonalField27",7,0.96152225,0.00052475,0.962150183420436,248,490,0.00170619024743768
"PersonalField12",9,0.96139325,0.0006805,0.962266036347753,254,490,0.00159033732012059
"PersonalField2",8,0.96048375,0.000627,0.960936393538768,238,490,0.0029199801291061
"SalesField1B",6,0.95890675,0.0005245,0.959803703443892,241,490,0.00405267022398181
"SalesField5",3,0.95799875,0.0007025,0.958805869712301,249,490,0.00505050395557305
"PersonalField1",5,0.95759275,0.00071425,0.958442376722203,246,490,0.00541399694567091
"Field7",4,0.95713575,0.00084,0.958049550842417,247,490,0.00580682282545653
"PropertyField37",1,0.94409775,0.00088525,0.945092224637995,259,490,0.0187641490298786
