"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",15,0.96024425,0.00078175,0.960653603614186,125,339,0
"PersonalField10A",2,0.95987025,7e-04,0.96021671820003,194,339,0.000436885414156207
"CoverageField8",13,0.9596065,0.00076225,0.959782090014745,127,339,0.000871513599441043
"SalesField10",14,0.95957275,0.00074725,0.959942712535702,126,339,0.000710891078483433
"PersonalField13",11,0.95943625,0.0009115,0.960017750213167,199,339,0.000635853401018904
"SalesField4",12,0.95934325,0.000751,0.959737973317036,198,339,0.000915630297149583
"PersonalField84",10,0.95934225,0.00072025,0.959879710632775,197,339,0.000773892981410729
"PersonalField27",7,0.95858975,0.0007775,0.958946806355721,191,339,0.00170679725846434
"PersonalField12",9,0.95816275,0.00067075,0.958604205360671,191,339,0.00204939825351425
"PersonalField2",8,0.957204,0.0008395,0.957593332556025,195,339,0.00306027105816065
"SalesField1B",6,0.95499775,0.00092375,0.95596627400889,183,339,0.00468732960529561
"PersonalField1",5,0.95399,0.00078425,0.954656456852889,194,339,0.00599714676129715
"SalesField5",3,0.9513045,0.000839,0.95239494521372,196,339,0.0082586584004658
"Field7",4,0.9504415,0.00077875,0.950638184113216,188,339,0.0100154195009693
"PropertyField37",1,0.93862675,0.00091975,0.939115021182049,201,339,0.0215385824321364
