"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"GeographicField11B",171,0.96213875,0.0007315,0.96279511210383,217,4936,0.000241046662159294
"PropertyField34",146,0.9621305,0.000818,0.962748806763616,213,4936,0.000287352002373287
"GeographicField11A",170,0.962119,0.00075025,0.962916848902681,216,4936,0.000119309863308104
"GeographicField12A",172,0.96207275,0.000701,0.96285859126761,216,4936,0.000177567498378717
"GeographicField13A",174,0.9620635,0.0007025,0.963036158765989,217,4936,0
"GeographicField16A",179,0.9620625,0.0007745,0.962834259928998,222,4936,0.000201898836990844
"GeographicField6A",161,0.9620595,0.00075525,0.962847736210011,216,4936,0.00018842255597773
"GeographicField8A",165,0.96205375,0.000795,0.962840379298061,218,4936,0.000195779467928037
"GeographicField19A",184,0.96203325,0.00071,0.962725092991487,216,4936,0.000311065774502572
"GeographicField13B",175,0.96202725,0.00071125,0.962850412186842,218,4936,0.00018574657914705
"GeographicField16B",180,0.9620265,0.000761,0.962837754411566,225,4936,0.000198404354422865
"GeographicField6B",162,0.9620255,0.000803,0.962659680251292,214,4936,0.000376478514697243
"GeographicField8B",166,0.961999,0.000842,0.962785334040148,223,4936,0.000250824725841148
"GeographicField19B",185,0.961993,0.00083725,0.962726633702498,215,4936,0.000309525063490912
"GeographicField14B",176,0.961992,0.00076175,0.962701872482089,216,4936,0.000334286283899643
"GeographicField12B",173,0.9619885,0.000702,0.962811732705817,217,4936,0.000224426060171701
"GeographicField21B",188,0.961985,0.000723,0.962553589530373,217,4936,0.000482569235615959
"GeographicField41B",226,0.961984,0.00067,0.962627298569918,224,4936,0.000408860196071337
"Field6",1,0.9619835,0.00075,0.96259191865701,220,4936,0.0004442401089787
"Field11",5,0.961973,0.000806,0.962563321901943,220,4936,0.000472836864045756
"GeographicField5B",160,0.96196225,0.0007335,0.96270737274232,213,4936,0.000328786023669481
"GeographicField9B",168,0.96196125,0.0007655,0.962625760172431,226,4936,0.000410398593558403
"PersonalField15",43,0.96196075,0.000668,0.962428027029343,216,4936,0.000608131736645867
"GeographicField64",266,0.96195475,0.00070675,0.96252585957587,169,4936,0.000510299190119023
"PropertyField35",147,0.9619505,0.00079025,0.962668950833705,219,4936,0.000367207932284397
