"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",7,0.9477005,0.00065475,0.947671859024787,126,149,0
"SalesField1B",6,0.9418855,0.0008665,0.942062694924042,116,149,0.00560916410074486
"PersonalField1",5,0.941647,0.00074025,0.941970925499011,124,149,0.0057009335257765
"Field7",4,0.93453725,0.00097725,0.934009837891043,117,149,0.0136620211337437
"PropertyField37",1,0.92368375,0.001156,0.923629925812738,127,149,0.0240419332120495
"SalesField5",3,0.91092475,0.00056375,0.911394322416358,123,149,0.0362775366084291
"PersonalField10A",2,0.88350625,0.00148875,0.883002935460983,120,149,0.0646689235638043
