"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",25,0.96418025,0.0009585,0.964698431568028,133,676,0
"CoverageField5A",19,0.96403325,0.00110525,0.964395358298171,266,676,0.000303073269856569
"CoverageField8",12,0.964024,0.000957,0.964341235269016,275,676,0.000357196299011098
"PropertyField35",22,0.96397975,0.001016,0.964296490834956,267,676,0.000401940733071204
"CoverageField9",18,0.963951,0.001058,0.96435911095812,261,676,0.000339320609907601
"PersonalField11",21,0.96390075,0.00092075,0.964264297127459,268,676,0.000434134440568501
"PropertyField24A",24,0.96386625,0.0010935,0.964387586301342,262,676,0.000310845266685567
"PropertyField34",17,0.96378475,0.00097075,0.964365225989324,266,676,0.000333205578703311
"PropertyField1B",23,0.9637795,0.00104625,0.964412625289303,265,676,0.000285806278724876
"GeographicField11B",16,0.9637775,0.0010305,0.964068007768341,266,676,0.000630423799686919
"SalesField10",13,0.9637055,0.000982,0.964294399649676,260,676,0.000404031918351366
"PersonalField10B",20,0.9635705,0.0010115,0.963986295668694,267,676,0.000712135899333721
"SalesField3",15,0.9634805,0.001062,0.963623303412085,271,676,0.00107512815594291
"PersonalField13",10,0.96344025,0.0009955,0.963949924169487,270,676,0.000748507398540266
"PersonalField84",9,0.963431,0.000984,0.963699248087604,268,676,0.000999183480423493
"SalesField6",14,0.963357,0.00106575,0.963628905563796,257,676,0.00106952600423171
"SalesField4",11,0.9633055,0.00094125,0.963868819466455,263,676,0.000829612101572841
"PersonalField27",6,0.962449,0.00100175,0.962813095709218,270,676,0.00188533585880968
"PersonalField12",8,0.962251,0.000985,0.962978982318099,269,676,0.00171944924992862
"PersonalField2",7,0.961443,0.00109975,0.961671892470256,272,676,0.00302653909777162
"SalesField1B",5,0.9599295,0.00118275,0.96059893849729,265,676,0.00409949307073809
"SalesField5",2,0.95908275,0.00098425,0.960071404078804,265,676,0.00462702748922328
"PersonalField1",4,0.9586745,0.00111625,0.959049067229397,271,676,0.00564936433863106
"Field7",3,0.95844175,0.0012975,0.959180296612629,283,676,0.00551813495539866
"PropertyField37",1,0.94591,0.00080475,0.946777094888327,287,676,0.0179213366797006
