"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",23,0.96362025,0.00078125,0.964278434064352,230,512,0
"CoverageField5A",19,0.963489,0.0007705,0.964251123628983,231,512,2.73104353687437e-05
"CoverageField8",12,0.9634015,0.00067625,0.964017319262907,249,512,0.000261114801444196
"PropertyField35",22,0.96339825,0.00078225,0.963890616579819,228,512,0.000387817484532871
"PersonalField11",21,0.96339225,0.00075875,0.964085635813911,233,512,0.000192798250440496
"CoverageField9",18,0.963371,0.00078875,0.963972615363727,233,512,0.000305818700624849
"GeographicField11B",16,0.96325925,0.000732,0.963812905383643,230,512,0.00046552868070826
"SalesField10",13,0.9631995,0.00075775,0.963944157564733,228,512,0.000334276499618369
"PropertyField34",17,0.96319275,0.0006465,0.964205780618621,231,512,7.26534457303751e-05
"PersonalField10B",20,0.96304125,0.0006005,0.963759100271333,230,512,0.000519333793018828
"PersonalField13",10,0.9628985,0.000649,0.963727667520648,253,512,0.000550766543704007
"SalesField4",11,0.96288775,0.000759,0.963618166037834,248,512,0.000660268026517974
"SalesField3",15,0.9628565,0.0007525,0.963208292710765,232,512,0.00107014135358674
"PersonalField84",9,0.96282725,0.00077025,0.963593141750394,251,512,0.00068529231395742
"SalesField6",14,0.96276425,0.00066025,0.963277641816733,233,512,0.00100079224761829
"PersonalField27",6,0.96191125,0.0008425,0.962795336660315,247,512,0.00148309740403663
"PersonalField12",8,0.96175425,0.00056775,0.962465362786339,247,512,0.00181307127801211
"PersonalField2",7,0.960776,0.000678,0.96126667202682,250,512,0.00301176203753106
"SalesField1B",5,0.95942525,0.000804,0.960412882387825,260,512,0.00386555167652614
"SalesField5",2,0.9586415,0.00085075,0.959606011751454,259,512,0.00467242231289722
"PersonalField1",4,0.95810175,0.00061625,0.958958125130415,240,512,0.00532030893393676
"Field7",3,0.957946,0.00086575,0.958997983352242,256,512,0.00528045071210936
"PropertyField37",1,0.94510875,0.00078075,0.946179136972671,266,512,0.0180992970916805
