"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",16,0.96076575,0.0005435,0.961355719252727,139,358,0
"PersonalField10A",2,0.960377,0.00066725,0.960845536317221,194,358,0.000510182935505976
"SalesField6",15,0.96017475,0.00054,0.960639070871786,135,358,0.000716648380940765
"SalesField10",14,0.960137,0.0006205,0.960718659685999,138,358,0.000637059566728326
"CoverageField8",13,0.96011825,0.00053925,0.960693187538748,137,358,0.000662531713978898
"SalesField4",12,0.960048,0.00052625,0.960666593332049,206,358,0.000689125920678602
"PersonalField13",11,0.95998825,0.00054075,0.960629499145583,196,358,0.000726220107143849
"PersonalField84",10,0.95987925,0.0005415,0.960528604456405,203,358,0.000827114796322137
"PersonalField27",7,0.9591895,0.00062225,0.959673928882069,202,358,0.00168179037065808
"PersonalField12",9,0.95875525,0.0005245,0.959296374578415,202,358,0.0020593446743119
"PersonalField2",8,0.9579175,0.00058625,0.958426799905414,201,358,0.0029289193473131
"SalesField1B",6,0.9554695,0.00064625,0.956543393188763,193,358,0.0048123260639642
"PersonalField1",5,0.9545695,0.00069775,0.955298596823324,204,358,0.00605712242940337
"SalesField5",3,0.952172,0.00061475,0.953165607309776,206,358,0.00819011194295116
"Field7",4,0.95195475,0.00075125,0.952519219949098,196,358,0.00883649930362873
"PropertyField37",1,0.940115,0.0007195,0.940880623320558,208,358,0.0204750959321692
