"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",21,0.96304675,0.000805,0.963545230775883,194,462,0
"CoverageField9",19,0.962835,0.0008795,0.963450585013148,196,462,9.46457627356567e-05
"CoverageField5A",20,0.962789,0.000815,0.963382022264564,195,462,0.000163208511319568
"CoverageField8",13,0.96277975,0.00082075,0.963323401936308,199,462,0.000221828839575555
"PropertyField34",18,0.96272375,0.00085725,0.96320380934101,196,462,0.000341421434873701
"PersonalField10A",2,0.962686,0.00075,0.963153265286271,243,462,0.000391965489612622
"GeographicField11B",17,0.962637,0.000696,0.963041516648057,196,462,0.000503714127825905
"SalesField10",14,0.96250475,0.0008875,0.96311650925999,199,462,0.000428721515893349
"SalesField3",16,0.9622785,0.00079625,0.962491143017954,198,462,0.00105408775792915
"PersonalField13",11,0.9622665,0.00084075,0.96296013702118,237,462,0.000585093754702948
"PersonalField84",10,0.96223,0.0007915,0.962824756981955,237,462,0.0007204737939287
"SalesField6",15,0.9622025,0.00089225,0.962614428817947,195,462,0.000930801957936267
"SalesField4",12,0.9621975,0.000833,0.96272063454032,239,462,0.000824596235563635
"PersonalField27",7,0.961409,0.000761,0.961910372180433,236,462,0.00163485859545009
"PersonalField12",9,0.9611705,0.00086975,0.961772510982431,237,462,0.00177271979345262
"PersonalField2",8,0.96019125,0.00089675,0.960918003138631,235,462,0.00262722763725243
"SalesField1B",6,0.9586815,0.000873,0.959693227870809,246,462,0.00385200290507437
"SalesField5",3,0.95781375,0.00092025,0.958878123062864,246,462,0.00466710771301915
"PersonalField1",5,0.9574185,0.00086675,0.958093654478351,234,462,0.0054515762975319
"Field7",4,0.95684275,0.001025,0.957838898110183,246,462,0.00570633266570075
"PropertyField37",1,0.943694,0.00098575,0.944736181872008,253,462,0.0188090489038752
