"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",12,0.95804475,0.000534,0.958209566159554,178,196,0
"PersonalField10A",2,0.957592,0.00056875,0.957638808112069,171,196,0.000570758047485409
"PersonalField13",11,0.95717775,0.0006225,0.957686204038157,175,196,0.000523362121397031
"PersonalField84",10,0.95707825,0.00062675,0.957348948730973,174,196,0.000860617428581456
"PersonalField27",7,0.956323,0.00043225,0.956380037672232,176,196,0.00182952848732221
"PersonalField12",9,0.95584725,0.000492,0.95600049619551,175,196,0.00220906996404424
"PersonalField2",8,0.95533475,0.00042225,0.955500791646873,177,196,0.00270877451268137
"SalesField1B",6,0.952178,0.0004025,0.952887504634308,165,196,0.0053220615252465
"PersonalField1",5,0.9513455,0.00032325,0.951818447359807,176,196,0.00639111879974696
"Field7",4,0.946695,0.00091525,0.946448907151768,167,196,0.011760659007786
"SalesField5",3,0.93796225,0.00091725,0.93856224495661,173,196,0.0196473212029442
"PropertyField37",1,0.93538275,0.0007495,0.935709410976034,177,196,0.0225001551835209
