"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"PersonalField10A",2,0.96358275,0.0008015,0.96389460581927,241,508,7.99490974761063e-05
"",23,0.96356075,0.00088375,0.963974554916746,229,508,0
"CoverageField8",13,0.96336875,0.00079725,0.963757585250084,226,508,0.00021696966666207
"CoverageField9",19,0.9633635,0.0007985,0.963893542320913,226,508,8.101259583293e-05
"CoverageField5A",20,0.96334725,0.00085,0.963866593132777,227,508,0.000107961783969213
"PersonalField11",22,0.96334575,0.0007685,0.963793962774095,231,508,0.000180592142651648
"PersonalField10B",21,0.963292,0.00077175,0.96384968700329,228,508,0.000124867913455895
"GeographicField11B",17,0.96317025,0.00085525,0.963541709784179,226,508,0.000432845132567472
"PropertyField34",18,0.963119,0.00079075,0.963790286728041,227,508,0.000184268188705317
"SalesField10",14,0.963097,0.000857,0.963524372857125,230,508,0.000450182059620996
"SalesField3",16,0.96286625,0.00082825,0.963113317029776,228,508,0.000861237886970123
"SalesField6",15,0.96286525,0.00082675,0.962962480380646,224,508,0.0010120745361003
"PersonalField84",10,0.962798,0.00088675,0.963231891867028,254,508,0.000742663049718706
"PersonalField13",11,0.96277,0.00091325,0.963584030078205,255,508,0.000390524838541517
"SalesField4",12,0.96275325,0.0008075,0.96330773604882,255,508,0.000666818867925745
"PersonalField27",7,0.961905,0.0008655,0.96221193568267,256,508,0.00176261923407606
"PersonalField12",9,0.96168875,0.0007635,0.962439913870732,257,508,0.0015346410460142
"PersonalField2",8,0.9607485,0.000725,0.961297753844737,256,508,0.00267680107200896
"SalesField1B",6,0.95917525,0.00082525,0.959980981269707,258,508,0.00399357364703934
"SalesField5",3,0.95831225,0.0008205,0.959374068423156,248,508,0.00460048649359035
"PersonalField1",5,0.95797525,0.00084625,0.958704525910152,249,508,0.00527002900659401
"Field7",4,0.95741975,0.0009445,0.958259471536898,240,508,0.00571508337984816
"PropertyField37",1,0.9443695,0.00085075,0.945302704675255,255,508,0.0186718502414908
