"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",8,0.95105725,0.00059375,0.951262605810621,135,158,0
"PersonalField27",7,0.947647,0.000778,0.947667007660019,134,158,0.00359559815060151
"PersonalField1",5,0.945288,0.0005375,0.946051438895607,133,158,0.00521116691501344
"SalesField1B",6,0.944894,0.00053775,0.945430058519133,125,158,0.00583254729148786
"Field7",4,0.93829675,0.00084725,0.937697477546813,127,158,0.0135651282638072
"PropertyField37",1,0.92692125,0.00090075,0.927175303994843,135,158,0.0240873018157775
"SalesField5",3,0.91967,0.00104225,0.920607079919661,133,158,0.0306555258909601
"PersonalField10A",2,0.8893515,0.00146275,0.889443313007937,130,158,0.0618192928026834
