"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"PersonalField11",38,0.96356075,0.00088375,0.963974554916746,247,5744,0.000222334007319858
"PropertyField35",143,0.9635195,0.00077675,0.964045747275271,264,5744,0.000151141648794817
"PropertyField1B",107,0.9634775,0.0007645,0.963765431231503,261,5744,0.00043145769256292
"PropertyField1A",106,0.96346875,0.00086275,0.963678873406305,263,5744,0.000518015517761317
"GeographicField21B",183,0.96344725,0.000737,0.963874206315779,252,5744,0.000322682608286828
"GeographicField30A",198,0.9634395,0.0007465,0.963857560457814,259,5744,0.000339328466251732
"PropertyField32",141,0.963439,0.0007075,0.964196888924066,264,5744,0
"GeographicField41B",221,0.9634385,0.0007185,0.96414710119909,257,5744,4.97877249759915e-05
"GeographicField36A",210,0.96342175,0.00078475,0.963819089675991,263,5744,0.000377799248074684
"PersonalField45",67,0.963418,0.000816,0.963947767964525,256,5744,0.000249120959540883
"PersonalField28",50,0.9634175,0.00076975,0.963969135485283,245,5744,0.000227753438783007
"GeographicField7A",159,0.963399,0.00078625,0.963953665283421,251,5744,0.000243223640644774
"GeographicField38B",215,0.96339825,0.000788,0.963839356537403,265,5744,0.00035753238666314
"GeographicField5B",156,0.96339625,0.000773,0.963979525090644,265,5744,0.00021736383342208
"GeographicField9B",164,0.9633955,0.00083325,0.963973392515211,262,5744,0.000223496408854884
"Field9",3,0.96339425,0.00072175,0.963932803412392,254,5744,0.000264085511674006
"GeographicField22B",184,0.96339225,0.000771,0.963948612738407,253,5744,0.000248276185659146
"PersonalField31",53,0.9633915,0.00074625,0.96373580900664,253,5744,0.000461079917425722
"GeographicField41A",220,0.96339,0.00083075,0.963943603909368,254,5744,0.000253285014697791
"PropertyField30",139,0.9633875,0.00078275,0.963770197140455,257,5744,0.000426691783611322
"PropertyField28",137,0.96338375,0.000845,0.963706725061843,256,5744,0.00049016386222267
"PersonalField75",97,0.96338275,0.00079375,0.96396053596961,244,5744,0.000236352954455787
"Field10",4,0.96338225,0.00076325,0.963883183658944,246,5744,0.000313705265121755
"GeographicField13A",169,0.96338175,0.00075975,0.963932367168403,247,5744,0.000264521755663494
"PropertyField12",117,0.96338075,0.0007265,0.963892918199444,265,5744,0.000303970724622182
"Field12",6,0.96337875,0.00080675,0.963907009733415,270,5744,0.00028987919065071
"Field6",1,0.9633785,0.0007915,0.963906622507229,252,5744,0.000290266416836937
"PersonalField62",84,0.9633785,0.00077875,0.963773781754087,259,5744,0.000423107169979287
"PropertyField11B",116,0.9633785,0.000767,0.963744632837806,261,5744,0.000452256086259983
"PersonalField47",69,0.96337825,0.00076275,0.963640089334687,257,5744,0.000556799589378931
"GeographicField26B",191,0.963378,0.0007785,0.963874308255459,266,5744,0.000322580668607464
"PersonalField36",58,0.96337725,0.00078625,0.963855814999872,258,5744,0.000341073924193802
"PersonalField41",63,0.96337675,0.00083975,0.963750252244555,243,5744,0.000446636679510837
"GeographicField34B",207,0.963376,0.00076575,0.963989258281587,251,5744,0.00020763064247864
"Field11",5,0.96337525,0.00079125,0.963733262201602,255,5744,0.000463626722464139
"GeographicField9A",163,0.9633735,0.00075875,0.963931505621467,262,5744,0.000265383302598732
"PersonalField32",54,0.96337075,0.000812,0.963994604403239,256,5744,0.000202284520827378
"PropertyField4",110,0.9633705,0.00079525,0.964047564838065,250,5744,0.000149324086001545
"GeographicField64",261,0.9633705,0.0007485,0.963895045870935,194,5744,0.000301843053130635
"PropertyField3",109,0.96337,0.00076575,0.963933296626926,251,5744,0.000263592297140347
"PropertyField24A",131,0.96337,0.0009565,0.963876073619352,265,5744,0.000320815304713729
"GeographicField13B",170,0.96336975,0.00067825,0.964017608549884,251,5744,0.000179280374182245
"PersonalField51",73,0.9633695,0.00084675,0.963767767553998,241,5744,0.00042912137006812
"GeographicField19B",180,0.9633695,0.0008535,0.96386805797946,265,5744,0.000328830944606118
"GeographicField7B",160,0.96336875,0.0007505,0.963907808285003,252,5744,0.000289080639063299
"PersonalField50",72,0.96336775,0.00079925,0.963794063412416,260,5744,0.000402825511649829
"GeographicField11A",166,0.96336775,0.000733,0.963798330371221,263,5744,0.000398558552845096
"PersonalField5",33,0.9633655,0.00081425,0.963728105740773,265,5744,0.000468783183293575
"PersonalField49",71,0.96336525,0.0007935,0.963818486376244,258,5744,0.000378402547822287
"CoverageField6B",17,0.963365,0.00067925,0.963952847066875,259,5744,0.000244041857191513
"CoverageField6A",16,0.963365,0.00067925,0.963952847066875,266,5744,0.000244041857191513
"PersonalField52",74,0.96336425,0.000827,0.963787540574296,247,5744,0.0004093483497698
"PersonalField38",60,0.963363,0.00077625,0.963747501078174,261,5744,0.000449387845892324
"PersonalField61",83,0.963362,0.00075025,0.963826892182426,256,5744,0.000369996741639622
"PersonalField55",77,0.96336125,0.000757,0.963804562331816,250,5744,0.000392326592249748
"PersonalField53",75,0.96336025,0.00083375,0.963753888671499,245,5744,0.000443000252566716
"PropertyField14",119,0.96335825,0.00074475,0.963918684549911,262,5744,0.000278204374155266
"PersonalField59",81,0.963358,0.000769,0.963836839422597,261,5744,0.000360049501468729
"GeographicField19A",179,0.963358,0.00079325,0.963873575783919,269,5744,0.00032331314014733
"PersonalField67",89,0.96335725,0.00075175,0.963757343293966,250,5744,0.00043954563010018
"PropertyField16A",121,0.9633565,0.000758,0.963941765814044,245,5744,0.000255123110022182
"GeographicField17B",177,0.963355,0.00079425,0.963846972756906,264,5744,0.000349916167159736
"PersonalField44",66,0.96335325,0.0007395,0.963781013494714,256,5744,0.000415875429351731
"PersonalField56",78,0.9633525,0.00079525,0.963786133613928,253,5744,0.000410755310138344
"CoverageField3A",11,0.96335225,0.00084525,0.963634775505984,263,5744,0.000562113418082211
"GeographicField16B",175,0.96335225,0.00079825,0.963943919368092,259,5744,0.000252969555973759
"GeographicField1B",149,0.963352,0.000724,0.963847892238354,257,5744,0.000348996685711644
"GeographicField36B",211,0.963352,0.0007595,0.963929513532159,263,5744,0.00026737539190691
"PropertyField10",115,0.96335075,0.0007955,0.963850675890478,258,5744,0.000346213033588505
"GeographicField12A",167,0.96335075,0.0007705,0.963863731158205,265,5744,0.000333157765860959
"PersonalField15",40,0.96334925,0.0007305,0.963888419309794,253,5744,0.000308469614271889
"PropertyField36",144,0.96334825,0.00083575,0.963739227480284,263,5744,0.000457661443781676
"PersonalField22",45,0.963348,0.000762,0.963774871520588,265,5744,0.000422017403478248
"PropertyField13",118,0.9633475,0.00079075,0.963872239289655,263,5744,0.000324649634411367
"CoverageField5B",15,0.96334575,0.0007685,0.963793962774095,254,5744,0.000402926149971505
"PersonalField8",36,0.96334575,0.0007685,0.963793962774095,262,5744,0.000402926149971505
"PersonalField64",86,0.96334575,0.0007685,0.963793962774095,246,5744,0.000402926149971505
"PersonalField65",87,0.96334575,0.0007685,0.963793962774095,246,5744,0.000402926149971505
"PersonalField66",88,0.96334575,0.0007685,0.963761474140404,248,5744,0.000435414783661603
"PersonalField68",90,0.96334575,0.0007685,0.963761474140404,257,5744,0.000435414783661603
"PersonalField69",91,0.96334575,0.0007685,0.963793962774095,254,5744,0.000402926149971505
"PersonalField70",92,0.96334575,0.0007685,0.963793962774095,255,5744,0.000402926149971505
"PersonalField72",94,0.96334575,0.0007685,0.963793962774095,258,5744,0.000402926149971505
"PersonalField71",93,0.96334575,0.0007685,0.963793962774095,259,5744,0.000402926149971505
"PersonalField73",95,0.96334575,0.0007685,0.963793962774095,258,5744,0.000402926149971505
"PropertyField5",111,0.96334575,0.0007685,0.963793962774095,249,5744,0.000402926149971505
"PropertyField9",114,0.96334575,0.0007685,0.963793962774095,258,5744,0.000402926149971505
"PropertyField20",126,0.96334575,0.0007685,0.963793962774095,258,5744,0.000402926149971505
"GeographicField10B",165,0.96334575,0.0007685,0.963793962774095,262,5744,0.000402926149971505
"PersonalField34",56,0.9633455,0.00080975,0.963746394249429,256,5744,0.000450494674637536
"PersonalField43",65,0.96334525,0.00081325,0.963793669245656,253,5744,0.00040321967840995
"GeographicField43B",225,0.96334525,0.00080475,0.963788422605564,265,5744,0.000408466318501777
"PersonalField39",61,0.9633435,0.00073925,0.963884378208832,243,5744,0.00031251071523386
"PersonalField23",46,0.963343,0.00071575,0.963761168465962,260,5744,0.000435720458104361
"PersonalField54",76,0.963343,0.00075325,0.963718750136329,248,5744,0.000478138787736837
"PropertyField22",129,0.96334275,0.00081225,0.963831186758932,262,5744,0.000365702165134429
"PropertyField31",140,0.963342,0.0008455,0.963967924403334,264,5744,0.0002289645207324
"PropertyField8",113,0.96334175,0.000799,0.963969532061965,254,5744,0.000227356862101513
"GeographicField63",260,0.9633405,0.00074925,0.963901300051007,212,5744,0.000295588873059027
"PropertyField19",125,0.96333975,0.00065875,0.963885658841116,255,5744,0.000311230082950198
"PersonalField63",85,0.96333825,0.000772,0.963757414242055,242,5744,0.000439474682011332
"GeographicField6A",157,0.96333775,0.00076775,0.963975242467349,248,5744,0.000221646456716629
"GeographicField34A",206,0.96333775,0.000771,0.963931375196516,252,5744,0.000265513727550126
"PropertyField25",133,0.9633375,0.000727,0.963712572880952,253,5744,0.000484316043114164
"GeographicField24A",186,0.96333725,0.00075825,0.963846945380198,261,5744,0.00034994354386797
"PersonalField40",62,0.9633365,0.000841,0.963913108087963,247,5744,0.000283780836103253
"GeographicField12B",168,0.96333625,0.00071825,0.963840207528882,268,5744,0.000356681395183966
"PersonalField7",35,0.96333575,0.00078925,0.963779921029101,263,5744,0.000416967894964815
"SalesField2B",22,0.96333525,0.00079,0.963914460825098,269,5744,0.000282428098968279
"GeographicField23B",185,0.963334,0.000748,0.963950380126635,258,5744,0.000246508797431488
"PersonalField42",64,0.96333375,0.0007385,0.96383600250506,249,5744,0.000360886419006334
"PersonalField25",48,0.96333325,0.00081875,0.963823025463384,264,5744,0.000373863460682133
"PersonalField60",82,0.963332,0.00077475,0.963878026667932,257,5744,0.000318862256133867
"GeographicField30B",199,0.9633305,0.00068975,0.963887107782317,261,5744,0.000309781141749177
"SalesField13",28,0.96332925,0.00076675,0.963807724052424,250,5744,0.000389164871642089
"PersonalField29",51,0.96332925,0.00076925,0.963988691082464,250,5744,0.000208197841602198
"PropertyField38",145,0.96332775,0.0007745,0.963728778349862,249,5744,0.000468110574203595
"GeographicField1A",148,0.96332775,0.00085325,0.963934625216647,252,5744,0.000262263707418886
"PersonalField30",52,0.9633275,0.0007715,0.963874847644088,248,5744,0.000322041279977925
"GeographicField20B",182,0.96332675,0.00088375,0.963928869070952,252,5744,0.000268019853113644
"PersonalField9",37,0.9633265,0.00070675,0.963845129311556,242,5744,0.000351759612509883
"PersonalField14",39,0.96332625,0.00072825,0.963810884375277,257,5744,0.000386004548788899
"PersonalField6",34,0.96332525,0.00080925,0.963966117058608,262,5744,0.000230771865458501
"GeographicField17A",176,0.96332525,0.00086275,0.963796753559585,262,5744,0.000400135364480803
"PropertyField17",123,0.96332375,0.00073825,0.963840334917332,250,5744,0.000356554006733623
"GeographicField8B",162,0.96332375,0.00079925,0.963832563161496,262,5744,0.000364325762570394
"PersonalField83",105,0.963322,0.000876,0.963775650937398,260,5744,0.0004212379866676
"PersonalField46",68,0.96332125,0.000687,0.963999927775231,259,5744,0.00019696114883494
"GeographicField16A",174,0.96332125,0.0008525,0.963917992757846,260,5744,0.000278896166220233
"GeographicField14B",171,0.9633205,0.00068575,0.963827597470052,252,5744,0.000369291454014209
"GeographicField45A",228,0.96331825,0.000698,0.963889958478456,263,5744,0.000306930445609921
"PropertyField24B",132,0.9633175,0.00085625,0.963778612875514,265,5744,0.000418276048552046
"GeographicField26A",190,0.96331675,0.00080975,0.963815903952566,248,5744,0.00038098497150052
"CoverageField4B",14,0.96331575,0.0009005,0.963810963999084,256,5744,0.000385924924982572
"PersonalField58",80,0.96331575,0.000781,0.963895585548756,259,5744,0.000301303375310424
"PropertyField39B",147,0.96331475,0.000691,0.963827391373565,254,5744,0.000369497550500641
"PersonalField79",101,0.96331425,0.0008005,0.96377886779701,253,5744,0.000418021127056023
"GeographicField46B",231,0.963314,0.00074525,0.963846339525934,253,5744,0.000350549398132394
"PropertyField23",130,0.96331325,0.000731,0.963749721531643,265,5744,0.000447167392423009
"PropertyField33",142,0.96331275,0.00075375,0.963966415599683,262,5744,0.000230473324383418
"PersonalField24",47,0.963312,0.00076625,0.963740751129052,264,5744,0.000456137795014189
"GeographicField55B",249,0.96331125,0.000691,0.963825602392441,260,5744,0.000371286531624881
"GeographicField46A",230,0.963311,0.00073475,0.963817389813764,270,5744,0.000379499110302106
"GeographicField25B",189,0.96330925,0.000801,0.963965955786661,263,5744,0.000230933137405076
"PropertyField29",138,0.9633065,0.000693,0.963864678016362,260,5744,0.000332210907704522
"Field8",2,0.96330625,0.000824,0.963910047776852,256,5744,0.000286841147214334
"PersonalField57",79,0.963306,0.00077425,0.963889328187588,250,5744,0.000307560736478307
"PropertyField27",136,0.9633005,0.0007665,0.963872889679268,254,5744,0.000323999244797646
"CoverageField2A",9,0.9632995,0.00083975,0.963827104689304,269,5744,0.000369784234761972
"GeographicField43A",224,0.96329825,0.00081875,0.963582352917438,247,5744,0.000614536006628197
"PropertyField18",124,0.963298,0.00075025,0.963847708650535,255,5744,0.000349180273531369
"GeographicField38A",214,0.96329775,0.000886,0.963744578036191,265,5744,0.000452310887874785
"SalesField9",25,0.96329725,0.000833,0.963875459812347,247,5744,0.000321429111719174
"PropertyField39A",146,0.96329575,0.00081225,0.963899555219644,249,5744,0.000297333704421643
"GeographicField2A",150,0.96329525,0.00069575,0.963989066692828,262,5744,0.00020782223123772
