"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",10,0.956306,0.00050225,0.956745789867337,153,173,0
"PersonalField10A",2,0.9558355,0.0005315,0.956055205172978,147,173,0.000690584694359342
"PersonalField12",9,0.9539825,0.00051125,0.954340858883621,151,173,0.00240493098371575
"PersonalField2",8,0.95333525,0.00050425,0.953612727033952,150,173,0.00313306283338499
"PersonalField27",7,0.953134,0.00064125,0.953439176826511,149,173,0.00330661304082625
"SalesField1B",6,0.95037025,0.00064425,0.951200938425822,138,173,0.00554485144151518
"PersonalField1",5,0.94883775,0.0005195,0.949505709079735,150,173,0.00724008078760174
"Field7",4,0.9445655,0.000706,0.944396866274737,142,173,0.0123489235925999
"SalesField5",3,0.9343795,0.00112475,0.935105705975988,148,173,0.0216400838913492
"PropertyField37",1,0.93315,0.00046375,0.933512545770222,153,173,0.0232332440971149
