"DroppedVar","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"",6,0.9417705,0.00069925,0.942057691637823,110,133,0
"PersonalField1",5,0.93349125,0.00071025,0.934342291236851,108,133,0.00771540040097252
"Field7",4,0.920908,0.00098025,0.920471652115791,100,133,0.0215860395220324
"PropertyField37",1,0.91374975,0.001066,0.913980518489204,110,133,0.0280771731486189
"SalesField5",3,0.89671125,0.0017905,0.897219983686844,107,133,0.044837707950979
"PersonalField10A",2,0.87325425,0.001626,0.873260328279414,107,133,0.0687973633584094
