"SelectedVars","N","test_auc_mean","test_auc_std","val_auc","time_secs","TimeTaken","Max_Diff"
"CoverageField9",19,0.96280575,0.00079875,0.963395672252718,237,5245,0.000214658214557129
"PersonalField11",41,0.96277375,0.00087125,0.963330979404273,227,5245,0.000279351063002142
"CoverageField5A",15,0.962771,0.0008145,0.963453273810761,234,5245,0.000157056656514887
"CoverageField5B",16,0.962771,0.0008145,0.963453273810761,234,5245,0.000157056656514887
"PropertyField32",144,0.96275725,0.0008845,0.963393797478389,240,5245,0.000216532988886686
"PersonalField10B",40,0.9627525,0.000898,0.963271547751846,227,5245,0.00033878271542942
"GeographicField26B",194,0.96271125,0.0008685,0.963254254396173,227,5245,0.000356076071102329
"PropertyField35",146,0.9627085,0.0008745,0.963610330467276,227,5245,0
"GeographicField22B",187,0.9626985,0.00089425,0.963328606547369,234,5245,0.000281723919906773
"GeographicField41B",224,0.962677,0.00078725,0.963334408867159,234,5245,0.000275921600116136
"PropertyField19",128,0.962674,0.000888,0.963255272298815,231,5245,0.000355058168460265
"CoverageField6A",17,0.96267175,0.00093225,0.963468751917165,236,5245,0.000141578550110655
"CoverageField6B",18,0.96267175,0.00093225,0.963468751917165,235,5245,0.000141578550110655
"GeographicField16B",178,0.96266375,0.000835,0.963193879452273,236,5245,0.000416451015002095
"PersonalField15",43,0.96265975,0.00091225,0.963368161408278,232,5245,0.000242169058997432
"PropertyField24A",134,0.96265825,0.00089775,0.963236957232824,230,5245,0.00037337323445108
"PersonalField45",70,0.96265775,0.0008445,0.963248744881844,229,5245,0.00036158558543109
"PersonalField75",100,0.96265175,0.0008495,0.963273868313454,226,5245,0.000336462153821215
"PropertyField28",140,0.96265175,0.00091875,0.963350034075172,233,5245,0.000260296392103787
"GeographicField41A",223,0.96265125,0.00078375,0.963155185849109,232,5245,0.000455144618166758
"PropertyField13",121,0.96265025,0.00084225,0.963165727761508,226,5245,0.000444602705767183
"GeographicField15A",175,0.96264875,0.00086625,0.963294624292533,232,5245,0.000315706174742636
"PersonalField31",56,0.9626485,0.00085075,0.963190299080103,229,5245,0.000420031387172282
"GeographicField26A",193,0.96264675,0.00088725,0.96319546821712,228,5245,0.000414862250155745
"GeographicField6A",160,0.9626455,0.00083,0.963294836847609,231,5245,0.00031549361966654
"GeographicField36A",213,0.96264525,0.0008565,0.963193240485688,234,5245,0.000417089981587959
"GeographicField7B",163,0.96264325,0.0008685,0.963325714786167,233,5245,0.00028461568110838
"PropertyField1B",110,0.962638,0.000832,0.963110877659038,228,5245,0.000499452808237488
"GeographicField13A",172,0.9626375,0.0009425,0.963387878229207,231,5245,0.000222452238068493
"PropertyField3",112,0.962633,0.0008735,0.96327190895088,229,5245,0.000338421516395404
"GeographicField1A",151,0.96262975,0.00086125,0.963272090610763,232,5245,0.000338239856512934
"GeographicField1B",152,0.96262525,0.000859,0.963146942471635,237,5245,0.000463387995640607
"GeographicField27B",196,0.96262325,0.000943,0.963249074366311,234,5245,0.000361256100964047
"CoverageField3A",11,0.96262175,0.00090925,0.963083629255049,229,5245,0.000526701212226866
"Field9",3,0.96262175,0.00077075,0.963361342246211,245,5245,0.000248988221064894
"PersonalField23",49,0.9626215,0.000859,0.963046793990549,222,5245,0.000563536476726356
"Field10",4,0.96262025,0.000893,0.963177424219099,236,5245,0.000432906248176601
"PersonalField6",36,0.96261975,0.0008125,0.963244030448816,237,5245,0.000366300018459498
"PersonalField5",35,0.9626195,0.00073825,0.963312557000379,233,5245,0.000297773466896523
"PropertyField25",136,0.9626195,0.0008595,0.96310378959793,235,5245,0.000506540869345429
"GeographicField11A",169,0.9626175,0.0008885,0.963271210700225,224,5245,0.000339119767050033
"PropertyField33",145,0.96261725,0.00096825,0.963214152579481,222,5245,0.000396177887794669
"GeographicField27A",195,0.962616,0.00087625,0.963107808768606,233,5245,0.000502521698669045
"PropertyField38",148,0.9626145,0.0008655,0.963057262207549,230,5245,0.00055306825972623
"GeographicField30A",201,0.962614,0.00099125,0.963079756607599,232,5245,0.000530573859676253
"GeographicField9B",167,0.9626105,0.000856,0.963242204017512,237,5245,0.000368126449763917
"Field6",1,0.96261025,0.00083575,0.963076628625893,241,5245,0.000533701841382905
"GeographicField64",264,0.96261025,0.00089225,0.96333250493278,197,5245,0.000277825534495846
"GeographicField12A",170,0.96260875,0.000882,0.963245855289572,226,5245,0.000364475177703327
"GeographicField24B",190,0.9626085,0.00090375,0.963202445421839,240,5245,0.000407885045436651
"GeographicField17B",180,0.962605,0.0009025,0.963243107882668,239,5245,0.000367222584607196
"GeographicField43A",227,0.962605,0.00081325,0.963069553867551,239,5245,0.000540776599724291
"GeographicField8A",164,0.962602,0.0007955,0.963209226314353,230,5245,0.000401104152922716
"PropertyField12",120,0.96260175,0.000859,0.963080373161915,235,5245,0.000529957305360318
"PersonalField24",50,0.9626015,0.00085875,0.963026559181093,226,5245,0.000583771286182033
"GeographicField48B",238,0.96259825,0.000954,0.963339709007509,234,5245,0.000270621459766973
