eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,N,best_nrounds,test_auc_mean,test_auc_std,val_auc,time_secs
0.1,5,5,0.6,0.6,350,1,291,0.963158,0.000588,0.964321421,189
0.1,5,5,0.6,0.7,350,2,243,0.963392,0.000417,0.964147661,194
0.1,5,5,0.6,0.8,350,3,249,0.963222,0.000401,0.96406207,217
0.1,5,5,0.6,0.9,350,4,238,0.963203,0.000355,0.964087918,236
0.1,5,5,0.6,1,350,5,292,0.963163,0.000373,0.964202357,287
0.1,5,5,0.7,0.6,350,6,273,0.963605,0.000314,0.964689251,194
0.1,5,5,0.7,0.7,350,7,238,0.96341,0.000455,0.964498135,197
0.1,5,5,0.7,0.8,350,8,244,0.963444,0.000443,0.964560204,226
0.1,5,5,0.7,0.9,350,9,283,0.963531,0.000346,0.964736025,267
0.1,5,5,0.7,1,350,10,312,0.963508,0.000432,0.964686075,313
0.1,5,5,0.8,0.6,350,11,273,0.963465,0.000268,0.964575532,199
0.1,5,5,0.8,0.7,350,12,295,0.963741,0.000145,0.964830877,226
0.1,5,5,0.8,0.8,350,13,231,0.963474,0.00039,0.964640578,230
0.1,5,5,0.8,0.9,350,14,234,0.963541,0.000326,0.964639746,251
0.1,5,5,0.8,1,350,15,273,0.963745,0.000217,0.964896388,291
0.1,5,5,0.9,0.6,350,16,302,0.963697,0.000279,0.964883167,221
0.1,5,5,0.9,0.7,350,17,292,0.963745,0.000209,0.96482831,240
0.1,5,5,0.9,0.8,350,18,324,0.963571,0.000428,0.964862186,284
0.1,5,5,0.9,0.9,350,19,278,0.963781,0.000336,0.964795248,282
0.1,5,5,0.9,1,350,20,296,0.963764,0.000502,0.964948059,321
0.1,5,5,1,0.6,350,21,316,0.963814,0.000242,0.965112492,229
0.1,5,5,1,0.7,350,22,297,0.963703,3.80E-05,0.964764562,241
0.1,5,5,1,0.8,350,23,331,0.963736,0.000337,0.964921372,283
0.1,5,5,1,0.9,350,24,264,0.963724,0.000365,0.964780671,283
0.1,5,5,1,1,350,25,298,0.963624,0.000421,0.964881866,310
0.1,5,10,0.6,0.6,350,26,296,0.963098,0.000367,0.96449214,254
0.1,5,10,0.6,0.7,350,27,273,0.963066,0.000452,0.964222622,258
0.1,5,10,0.6,0.8,350,28,263,0.963114,0.000294,0.964063769,290
0.1,5,10,0.6,0.9,350,29,274,0.963153,0.000366,0.964330758,317
0.1,5,10,0.6,1,350,30,258,0.963204,0.000318,0.964177822,331
0.1,5,10,0.7,0.6,350,31,275,0.963453,0.000286,0.964670851,250
0.1,5,10,0.7,0.7,350,32,276,0.963459,0.000382,0.964742279,272
0.1,5,10,0.7,0.8,350,33,264,0.963403,8.30E-05,0.964435467,290
0.1,5,10,0.7,0.9,350,34,314,0.9635,0.000461,0.964539182,331
0.1,5,10,0.7,1,350,35,224,0.963504,0.00042,0.964360642,316
0.1,5,10,0.8,0.6,350,36,275,0.963467,0.00047,0.964773044,255
0.1,5,10,0.8,0.7,350,37,275,0.963503,0.000342,0.964705431,278
0.1,5,10,0.8,0.8,350,38,282,0.963542,0.00034,0.964530061,320
0.1,5,10,0.8,0.9,350,39,258,0.963534,0.000388,0.964787536,311
0.1,5,10,0.8,1,350,40,233,0.963692,0.000289,0.964627888,338
0.1,5,10,0.9,0.6,350,41,292,0.963767,0.000363,0.964947434,276
0.1,5,10,0.9,0.7,350,42,273,0.963758,0.000436,0.964864963,273
0.1,5,10,0.9,0.8,350,43,274,0.963724,0.000274,0.964673863,294
0.1,5,10,0.9,0.9,350,44,281,0.963555,0.000268,0.964760975,322
