eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,8,10,1,0.9,1100,823,0.963987,863,0.96367,0.965272285,0.965302035,661
0.02,8,10,1,1,1100,863,0.963914,934,0.963661,0.965091866,0.965140505,735
0.02,8,20,0.6,0.6,1100,907,0.96386,905,0.963728,0.964883334,0.964880578,522
0.02,8,20,0.6,0.7,1100,888,0.963661,872,0.963408,0.964843639,0.964849633,583
0.02,8,20,0.6,0.8,1100,951,0.963784,914,0.96359,0.964923223,0.964902615,661
0.02,8,20,0.6,0.9,1100,863,0.963718,813,0.96357,0.964831326,0.964840018,709
0.02,8,20,0.6,1,1100,826,0.96369,1016,0.963568,0.964953152,0.965001768,811
0.02,8,20,0.7,0.6,1100,938,0.964,819,0.963808,0.965127382,0.965073181,525
0.02,8,20,0.7,0.7,1100,824,0.963846,821,0.963727,0.965043025,0.965043961,571
0.02,8,20,0.7,0.8,1100,853,0.963878,695,0.963636,0.965098998,0.964977953,639
0.02,8,20,0.7,0.9,1100,797,0.963943,894,0.96388,0.965088099,0.965118887,713
0.02,8,20,0.7,1,1100,800,0.963929,797,0.963834,0.965050176,0.965045093,756
0.02,8,20,0.8,0.6,1100,946,0.964074,945,0.963838,0.965302041,0.965302553,518
0.02,8,20,0.8,0.7,1100,996,0.964011,991,0.963691,0.965319564,0.96532111,592
0.02,8,20,0.8,0.8,1100,970,0.964073,834,0.963853,0.965268143,0.965241365,653
0.02,8,20,0.8,0.9,1100,843,0.964003,1024,0.963848,0.965236578,0.965274758,730
0.02,8,20,0.8,1,1100,843,0.963988,816,0.963765,0.965255354,0.96524217,755
0.02,8,20,0.9,0.6,1100,841,0.964222,841,0.963866,0.965367761,0.965367761,495
0.02,8,20,0.9,0.7,1100,846,0.964153,811,0.963791,0.965267994,0.965258553,555
0.02,8,20,0.9,0.8,1100,838,0.96409,839,0.96375,0.965339012,0.965339854,617
0.02,8,20,0.9,0.9,1100,821,0.964103,1010,0.963769,0.965243709,0.96533076,714
0.02,8,20,0.9,1,1100,934,0.96412,904,0.963912,0.965370422,0.965359455,763
0.02,8,20,1,0.6,1100,776,0.964188,807,0.963901,0.965243222,0.965268279,472
0.02,8,20,1,0.7,1100,913,0.964165,910,0.96382,0.965314454,0.9653114,547
0.02,8,20,1,0.8,1100,802,0.964032,974,0.963746,0.965088622,0.965179623,619
0.02,8,20,1,0.9,1100,876,0.963882,901,0.963578,0.965146638,0.965163236,668
0.02,8,20,1,1,1100,829,0.963868,829,0.963608,0.965104111,0.965104111,713
