eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,5,10,0.7,0.9,2000,1591,0.96421,1436,0.963829,0.96529089,0.965276024,861
0.02,5,10,0.7,1,2000,1595,0.964233,1694,0.963907,0.965230021,0.965239643,953
0.02,5,10,0.8,0.6,2000,1887,0.964248,1658,0.963877,0.965369597,0.96534894,657
0.02,5,10,0.8,0.7,2000,1764,0.964283,1764,0.963927,0.965327412,0.965327412,718
0.02,5,10,0.8,0.8,2000,1762,0.964284,1517,0.963985,0.965320118,0.96526096,793
0.02,5,10,0.8,0.9,2000,1631,0.964289,1622,0.964017,0.965353289,0.965357874,850
0.02,5,10,0.8,1,2000,1711,0.964204,1411,0.963855,0.965351749,0.965299669,937
0.02,5,10,0.9,0.6,2000,1725,0.964453,1476,0.964157,0.965510543,0.965420784,630
0.02,5,10,0.9,0.7,2000,1565,0.964396,1483,0.96419,0.96530791,0.96526832,684
0.02,5,10,0.9,0.8,2000,1820,0.964399,1437,0.964103,0.9654446,0.965283164,785
0.02,5,10,0.9,0.9,2000,1519,0.964326,1435,0.964045,0.965387444,0.965361896,819
0.02,5,10,0.9,1,2000,1510,0.964359,1500,0.964066,0.965336694,0.965333758,890
0.02,5,10,1,0.6,2000,1790,0.964242,1790,0.963961,0.965371547,0.965371547,609
0.02,5,10,1,0.7,2000,1597,0.964209,1542,0.963954,0.965159684,0.9651504,658
0.02,5,10,1,0.8,2000,1619,0.964164,1601,0.963979,0.965224343,0.965219069,728
0.02,5,10,1,0.9,2000,1689,0.964089,1629,0.963856,0.96518472,0.965141725,807
0.02,5,10,1,1,2000,1445,0.963961,1469,0.96374,0.964971923,0.96497072,845
0.02,5,20,0.6,0.6,2000,1654,0.963705,1450,0.963556,0.964971422,0.964914019,657
0.02,5,20,0.6,0.7,2000,1635,0.963751,1635,0.963517,0.964967496,0.964967496,729
0.02,5,20,0.6,0.8,2000,1476,0.963751,1450,0.963507,0.964921779,0.964907964,785
0.02,5,20,0.6,0.9,2000,1459,0.963879,1451,0.963702,0.964948175,0.964929973,857
0.02,5,20,0.6,1,2000,1658,0.963896,1480,0.963568,0.964995648,0.964927916,962
0.02,5,20,0.7,0.6,2000,1773,0.96398,1914,0.963754,0.965207721,0.965196732,669
0.02,5,20,0.7,0.7,2000,1716,0.963961,1684,0.963796,0.965083573,0.965077462,725
0.02,5,20,0.7,0.8,2000,1734,0.963967,1712,0.96371,0.965131793,0.965120542,803
0.02,5,20,0.7,0.9,2000,1621,0.963949,1625,0.963719,0.965096975,0.965101384,864
0.02,5,20,0.7,1,2000,1622,0.964008,1695,0.963804,0.965107246,0.965125499,951
0.02,5,20,0.8,0.6,2000,1887,0.964063,1669,0.963807,0.965230761,0.96521423,654
0.02,5,20,0.8,0.7,2000,1664,0.964051,1669,0.963878,0.965207283,0.965206929,705
0.02,5,20,0.8,0.8,2000,1673,0.964045,1547,0.963852,0.965129619,0.965090572,780
0.02,5,20,0.8,0.9,2000,1628,0.964124,1622,0.963996,0.965178816,0.96517888,847
0.02,5,20,0.8,1,2000,1672,0.964129,1595,0.963867,0.965195341,0.96521233,929
0.02,5,20,0.9,0.6,2000,1926,0.964168,1471,0.963935,0.96535712,0.965245531,646
0.02,5,20,0.9,0.7,2000,1821,0.964204,1501,0.96396,0.965352097,0.965267517,708
0.02,5,20,0.9,0.8,2000,1565,0.964116,1514,0.963913,0.965249464,0.965239637,752
0.02,5,20,0.9,0.9,2000,1787,0.964125,1497,0.963914,0.965291054,0.965195014,851
0.02,5,20,0.9,1,2000,1570,0.964153,1523,0.963969,0.965304256,0.965292597,895
0.02,5,20,1,0.6,2000,1665,0.964049,1666,0.963802,0.965264537,0.965264781,596
0.02,5,20,1,0.7,2000,1699,0.963963,1622,0.963692,0.965126707,0.965113116,666
0.02,5,20,1,0.8,2000,1590,0.9639,1591,0.963641,0.965017892,0.965018153,725
0.02,5,20,1,0.9,2000,1589,0.963923,1829,0.963637,0.96502772,0.965068895,823
0.02,5,20,1,1,2000,1832,0.96383,1778,0.963601,0.965082467,0.965071136,897
