eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,5,5,0.6,0.6,2000,1867,0.96413,1787,0.963823,0.965206074,0.965208772,449
0.02,5,5,0.6,0.7,2000,1452,0.964142,1452,0.963777,0.965206457,0.965206457,470
0.02,5,5,0.6,0.8,2000,1461,0.964092,1442,0.963734,0.965171007,0.965151275,501
0.02,5,5,0.6,0.9,2000,1515,0.964195,1477,0.963791,0.96518232,0.965166865,545
0.02,5,5,0.6,1,2000,1644,0.964193,1484,0.963893,0.965173647,0.965160828,576
0.02,5,5,0.7,0.6,2000,1635,0.964276,1444,0.964052,0.965316371,0.965265385,430
0.02,5,5,0.7,0.7,2000,1627,0.96424,1453,0.963917,0.965206998,0.965154765,467
0.02,5,5,0.7,0.8,2000,1424,0.964248,1408,0.963928,0.965209031,0.965198903,532
0.02,5,5,0.7,0.9,2000,1607,0.964299,1632,0.964015,0.965292763,0.965300168,523
0.02,5,5,0.7,1,2000,1592,0.964281,1438,0.963946,0.965316962,0.965286572,579
0.02,5,5,0.8,0.6,2000,1820,0.964403,1820,0.964113,0.965439721,0.965439721,443
0.02,5,5,0.8,0.7,2000,1710,0.964285,1389,0.963958,0.965297084,0.965218093,465
0.02,5,5,0.8,0.8,2000,1710,0.964327,1642,0.963976,0.965338738,0.965331367,507
0.02,5,5,0.8,0.9,2000,1627,0.964323,1538,0.964085,0.965395393,0.965390744,539
0.02,5,5,0.8,1,2000,1772,0.964211,1390,0.963911,0.965423898,0.965315497,570
0.02,5,5,0.9,0.6,2000,1786,0.964415,1437,0.964194,0.965489437,0.965389538,441
0.02,5,5,0.9,0.7,2000,1514,0.964419,1413,0.964194,0.965365963,0.965333766,451
0.02,5,5,0.9,0.8,2000,1814,0.964432,1483,0.964221,0.965451512,0.965306694,494
0.02,5,5,0.9,0.9,2000,1782,0.964388,1782,0.96424,0.965482929,0.965482929,526
0.02,5,5,0.9,1,2000,1460,0.964352,1460,0.964114,0.965401513,0.965401513,542
0.02,5,5,1,0.6,2000,1638,0.964189,1638,0.963969,0.965263212,0.965263212,416
0.02,5,5,1,0.7,2000,1643,0.96419,1606,0.963908,0.965142747,0.965134447,662
0.02,5,5,1,0.8,2000,1682,0.964064,1692,0.963824,0.96517716,0.965185882,737
0.02,5,5,1,0.9,2000,1564,0.963913,1964,0.963774,0.965176275,0.965303223,839
0.02,5,5,1,1,2000,1553,0.963893,1630,0.963659,0.965036928,0.96503945,868
0.02,5,10,0.6,0.6,2000,1661,0.964081,1452,0.963801,0.965098873,0.965067263,658
0.02,5,10,0.6,0.7,2000,1636,0.964063,1449,0.963783,0.965182626,0.965124036,731
0.02,5,10,0.6,0.8,2000,1660,0.964064,1455,0.96373,0.965130268,0.965072189,809
0.02,5,10,0.6,0.9,2000,1511,0.964052,1455,0.963773,0.965133991,0.965086766,865
0.02,5,10,0.6,1,2000,1659,0.964124,1455,0.963764,0.965141686,0.965088532,964
0.02,5,10,0.7,0.6,2000,1771,0.964243,2000,0.963925,0.965339594,0.965284971,680
0.02,5,10,0.7,0.7,2000,1627,0.964227,1444,0.963939,0.965237934,0.965175178,717
0.02,5,10,0.7,0.8,2000,1692,0.964216,1697,0.963953,0.965253635,0.965254396,800
