eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,7,5,0.6,0.6,1400,927,0.964052,873,0.963791,0.965030553,0.964994918,371
0.02,7,5,0.6,0.7,1400,1040,0.963963,933,0.963564,0.965078655,0.965023929,418
0.02,7,5,0.6,0.8,1400,939,0.963989,927,0.963696,0.96511191,0.965109715,445
0.02,7,5,0.6,0.9,1400,874,0.963962,797,0.963534,0.965019796,0.964969323,469
0.02,7,5,0.6,1,1400,932,0.964104,873,0.963855,0.96518934,0.965169236,554
0.02,7,5,0.7,0.6,1400,1027,0.964187,886,0.963863,0.96518661,0.965085696,369
0.02,7,5,0.7,0.7,1400,950,0.964127,856,0.963722,0.965128358,0.965063701,398
0.02,7,5,0.7,0.8,1400,971,0.96421,992,0.96389,0.965193661,0.965195636,449
0.02,7,5,0.7,0.9,1400,1080,0.964202,808,0.963941,0.965257421,0.965110222,479
0.02,7,5,0.7,1,1400,955,0.964176,897,0.963861,0.965160865,0.965163166,505
0.02,7,5,0.8,0.6,1400,929,0.964272,908,0.963853,0.965312956,0.965303267,370
0.02,7,5,0.8,0.7,1400,953,0.964217,904,0.963875,0.965216418,0.965207448,399
0.02,7,5,0.8,0.8,1400,957,0.964203,871,0.963859,0.96521983,0.965181065,428
0.02,7,5,0.8,0.9,1400,965,0.964248,956,0.963931,0.965400901,0.965385597,472
0.02,7,5,0.8,1,1400,1016,0.964289,843,0.963979,0.965386329,0.965221535,511
0.02,7,5,0.9,0.6,1400,1077,0.964377,1075,0.964112,0.965389857,0.965383695,375
0.02,7,5,0.9,0.7,1400,1195,0.964256,1155,0.963919,0.965453248,0.965465464,403
0.02,7,5,0.9,0.8,1400,1095,0.964395,1135,0.963945,0.96544165,0.96544538,443
0.02,7,5,0.9,0.9,1400,1012,0.964328,834,0.963973,0.965329031,0.965152147,466
0.02,7,5,0.9,1,1400,1097,0.964333,1135,0.964057,0.965353,0.965354865,510
0.02,7,5,1,0.6,1400,929,0.964211,926,0.963944,0.965191572,0.965195153,355
0.02,7,5,1,0.7,1400,1047,0.964096,936,0.963935,0.965266642,0.965183951,390
0.02,7,5,1,0.8,1400,1017,0.963992,1017,0.963814,0.965173933,0.965173933,410
0.02,7,5,1,0.9,1400,889,0.963917,890,0.963675,0.965109647,0.965110373,432
0.02,7,5,1,1,1400,964,0.96386,962,0.963761,0.965176242,0.965171532,478
0.02,7,10,0.6,0.6,1400,950,0.964102,982,0.963867,0.96513287,0.965167596,380
0.02,7,10,0.6,0.7,1400,997,0.963981,820,0.963565,0.965120658,0.964999411,416
0.02,7,10,0.6,0.8,1400,951,0.964025,932,0.963784,0.965017502,0.96500426,437
0.02,7,10,0.6,0.9,1400,878,0.963986,983,0.963725,0.965006409,0.965095252,473
0.02,7,10,0.6,1,1400,871,0.964107,871,0.963863,0.965093861,0.965093861,489
0.02,7,10,0.7,0.6,1400,951,0.964201,891,0.963795,0.965212514,0.965145324,372
0.02,7,10,0.7,0.7,1400,1008,0.964108,853,0.963755,0.965185989,0.96506321,410
0.02,7,10,0.7,0.8,1400,1024,0.964177,1045,0.963742,0.965199305,0.965192104,441
0.02,7,10,0.7,0.9,1400,1023,0.964068,873,0.963765,0.965173736,0.965156968,474
0.02,7,10,0.7,1,1400,904,0.964175,884,0.963907,0.965255579,0.965259432,499
0.02,7,10,0.8,0.6,1400,987,0.964313,919,0.963942,0.965430076,0.965371712,373
0.02,7,10,0.8,0.7,1400,919,0.964287,914,0.963906,0.965271435,0.965267597,400
0.02,7,10,0.8,0.8,1400,940,0.96426,1027,0.963902,0.965267797,0.965333074,436
0.02,7,10,0.8,0.9,1400,967,0.964221,866,0.96396,0.965326235,0.965284028,457
0.02,7,10,0.8,1,1400,959,0.964214,956,0.963976,0.965365688,0.965364513,491
0.02,7,10,0.9,0.6,1400,1144,0.964425,1144,0.964052,0.965495479,0.965495479,569
