eta,max_depth,min_child_weight,subsample,colsample_bytree,nrounds,nrounds_auc_mean,test_auc_mean,nrounds_auc_mean_sd,test_auc_mean_sd,val_auc_mean,val_auc_mean_sd,time_secs
0.02,7,10,0.9,0.7,1400,1107,0.964281,1135,0.963906,0.965486426,0.965502521,636
0.02,7,10,0.9,0.8,1400,957,0.964348,1136,0.963971,0.965333412,0.965433338,706
0.02,7,10,0.9,0.9,1400,1033,0.964331,1035,0.963962,0.965382256,0.965382074,759
0.02,7,10,0.9,1,1400,930,0.964295,1022,0.963999,0.965235256,0.965341366,824
0.02,7,10,1,0.6,1400,993,0.964271,1016,0.963982,0.965334171,0.965330134,531
0.02,7,10,1,0.7,1400,964,0.964202,964,0.963847,0.96523676,0.96523676,588
0.02,7,10,1,0.8,1400,936,0.964035,967,0.963707,0.965219272,0.965220828,653
0.02,7,10,1,0.9,1400,1106,0.964041,1107,0.963718,0.965221419,0.965221987,742
0.02,7,10,1,1,1400,924,0.963975,1031,0.963712,0.965070614,0.965126496,794
0.02,7,20,0.6,0.6,1400,937,0.963775,934,0.963613,0.964914113,0.964914558,567
0.02,7,20,0.6,0.7,1400,933,0.963677,871,0.963508,0.964820628,0.964793976,634
0.02,7,20,0.6,0.8,1400,951,0.963751,951,0.963481,0.964836759,0.964836759,708
0.02,7,20,0.6,0.9,1400,997,0.963744,990,0.963554,0.964846488,0.964847319,785
0.02,7,20,0.6,1,1400,1047,0.963817,1017,0.963688,0.965004305,0.964988284,868
0.02,7,20,0.7,0.6,1400,1005,0.963949,903,0.963633,0.965157269,0.965085434,569
0.02,7,20,0.7,0.7,1400,1034,0.963868,879,0.963739,0.96502874,0.964897123,643
0.02,7,20,0.7,0.8,1400,985,0.963818,879,0.963673,0.964995591,0.9649486,707
0.02,7,20,0.7,0.9,1400,1030,0.963838,951,0.963769,0.964933338,0.964897305,785
0.02,7,20,0.7,1,1400,953,0.963916,890,0.963826,0.965050032,0.965066581,840
0.02,7,20,0.8,0.6,1400,1088,0.964089,1145,0.963835,0.96536879,0.965382241,580
0.02,7,20,0.8,0.7,1400,1101,0.964033,1101,0.96376,0.96518898,0.96518898,643
0.02,7,20,0.8,0.8,1400,1204,0.964036,1145,0.963841,0.965193447,0.965194231,731
0.02,7,20,0.8,0.9,1400,1136,0.964008,1152,0.963935,0.965251523,0.965254377,795
0.02,7,20,0.8,1,1400,1095,0.963988,1136,0.96378,0.96523891,0.965225773,863
0.02,7,20,0.9,0.6,1400,1148,0.964239,1148,0.963908,0.965439551,0.965439551,570
0.02,7,20,0.9,0.7,1400,1097,0.964171,1120,0.963852,0.965356496,0.965360662,634
0.02,7,20,0.9,0.8,1400,1198,0.964118,1198,0.963875,0.965353943,0.965353943,717
0.02,7,20,0.9,0.9,1400,1142,0.964122,1142,0.963957,0.965354677,0.965354677,777
0.02,7,20,0.9,1,1400,1165,0.964122,1138,0.963978,0.965216127,0.965212578,851
0.02,7,20,1,0.6,1400,1119,0.964188,1106,0.963905,0.965312853,0.965322239,544
0.02,7,20,1,0.7,1400,1167,0.964047,1002,0.963783,0.965291366,0.965234518,616
0.02,7,20,1,0.8,1400,1141,0.963955,1122,0.963669,0.965280792,0.965276181,681
0.02,7,20,1,0.9,1400,935,0.963868,935,0.963646,0.965129711,0.965129711,712
0.02,7,20,1,1,1400,987,0.963825,873,0.9635,0.965154428,0.965037335,786
