"DroppedVar","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"",1,0.963149,0.000182,131,0.964224259029091,65
"Field6",2,0.963216,4.8e-05,95,0.964010256264983,61
"Field7",3,0.959684,0.000569,144,0.960433202845891,66
"Field8",4,0.963106,0.000166,117,0.964274490854401,63
"Field9",5,0.96311,0.000231,128,0.96400914076052,65
"Field10",6,0.963209,0.000147,129,0.964137256428781,65
"Field11",7,0.96308,0.000324,120,0.964189133941283,64
"Field12",8,0.963075,5.6e-05,121,0.964145002494855,64
"CoverageField1A",9,0.96292,4.4e-05,142,0.964456048363406,67
"CoverageField1B",10,0.963242,0.000321,127,0.964319837865232,64
"CoverageField2A",11,0.963099,0.000189,132,0.964156455212985,65
"CoverageField2B",12,0.963236,2.7e-05,121,0.964428961424157,64
"CoverageField3A",13,0.963294,0.000215,136,0.964408704202431,65
"CoverageField3B",14,0.963204,0.000125,107,0.964143458988334,62
"CoverageField4A",15,0.963156,0.000167,126,0.963956765069046,64
"CoverageField4B",16,0.963449,0.000276,112,0.964147245456991,63
"CoverageField5A",17,0.963216,0.000221,116,0.964193068089929,63
"CoverageField5B",18,0.963216,0.000221,116,0.964193068089929,63
"CoverageField6A",19,0.963343,0.000404,147,0.964147639141767,67
"CoverageField6B",20,0.963343,0.000404,147,0.964147639141767,67
"CoverageField8",21,0.963266,0.00039,148,0.964047443088831,67
"CoverageField9",22,0.963051,0.000196,99,0.963864875726321,61
"CoverageField11A",23,0.963181,0.000158,130,0.964336842656905,65
"CoverageField11B",24,0.963152,1.1e-05,144,0.964293169673942,66
"SalesField1A",25,0.963127,0.000446,132,0.964083850640463,65
"SalesField1B",26,0.963181,0.000303,139,0.96407446370704,66
"SalesField2A",27,0.963163,0.00036,117,0.96436574185712,63
"SalesField2B",28,0.963118,0.000137,146,0.964278670429452,67
"SalesField3",29,0.96269,0.000176,115,0.963643572828013,63
"SalesField4",30,0.962398,0.000332,128,0.963746189213307,65
"SalesField5",31,0.957733,0.000722,119,0.959686580825335,64
"SalesField6",32,0.962931,0.000313,138,0.963780737269512,66
"SalesField7",33,0.963193,0.000346,116,0.964198667205139,63
"SalesField8",34,0.963157,0.000168,114,0.964168359454007,63
"SalesField9",35,0.963143,0.000106,142,0.964280497921122,66
"SalesField10",36,0.962955,0.000565,118,0.964180292035706,64
"SalesField11",37,0.963278,0.000409,138,0.964583701712327,66
"SalesField12",38,0.963083,0.00064,115,0.964280995714506,63
"SalesField13",39,0.963098,0.000394,101,0.964181443978182,62
"SalesField14",40,0.96328,0.000411,148,0.964299118324166,67
"SalesField15",41,0.963126,0.000621,134,0.964274920398808,66
"PersonalField1",42,0.957784,0.000462,131,0.959287564917588,65
"PersonalField2",43,0.960285,0.000602,116,0.961494655854099,63
"PersonalField4A",44,0.963198,9.9e-05,141,0.964403571840817,66
"PersonalField4B",45,0.963043,0.000318,128,0.964283260462333,64
"PersonalField5",46,0.963215,0.000313,141,0.964338473113393,66
"PersonalField6",47,0.963125,0.00021,139,0.964131399933955,66
"PersonalField7",48,0.963129,0.00037,102,0.964117903795189,62
"PersonalField8",49,0.963129,0.00037,102,0.964117903795189,62
"PersonalField9",50,0.962973,0.000493,102,0.96410819933051,62
"PersonalField10A",51,0.963253,0.000313,114,0.964326525108197,63
"PersonalField10B",52,0.962976,0.000299,119,0.96402687257731,63
"PersonalField11",53,0.963219,0.000516,138,0.964226248660279,66
"PersonalField12",54,0.963442,0.000267,137,0.964333982176484,66
