"DroppedVar","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"PersonalField13",55,0.962764,1.7e-05,117,0.963666080723623,63
"PersonalField14",56,0.963319,0.000401,149,0.964387979263141,67
"PersonalField15",57,0.96334,0.000385,121,0.96407134719656,64
"PersonalField16",58,0.963177,0.00031,133,0.964053154024398,65
"PersonalField17",59,0.96336,0.000301,116,0.964167110150703,63
"PersonalField18",60,0.963407,0.000392,148,0.964285690627171,67
"PersonalField19",61,0.963339,0.000157,132,0.964332885565806,65
"PersonalField22",62,0.96343,0.000285,121,0.963995648477628,64
"PersonalField23",63,0.963131,0.000292,119,0.964401558688795,64
"PersonalField24",64,0.963352,0.000468,121,0.964268763916954,64
"PersonalField25",65,0.963446,0.000504,150,0.964180349873822,67
"PersonalField26",66,0.963312,0.000331,121,0.964304984265885,64
"PersonalField27",67,0.963355,0.000296,143,0.964434971768371,66
"PersonalField28",68,0.963267,0.000465,133,0.964522334121762,65
"PersonalField29",69,0.963401,0.000456,144,0.964517902372525,66
"PersonalField30",70,0.963602,0.000486,126,0.964479382380106,64
"PersonalField31",71,0.963284,0.000726,127,0.964414732669255,65
"PersonalField32",72,0.963365,0.000445,133,0.964407948643843,65
"PersonalField33",73,0.963184,0.000637,133,0.964430244273568,65
"PersonalField34",74,0.963107,0.000461,141,0.964417168425111,66
"PersonalField35",75,0.963107,0.000461,141,0.964417168425111,67
"PersonalField36",76,0.963203,0.000567,117,0.96437100821037,64
"PersonalField37",77,0.963203,0.000567,117,0.96437100821037,64
"PersonalField38",78,0.963203,0.000567,117,0.96437100821037,64
"PersonalField39",79,0.963203,0.000567,117,0.964284744973975,64
"PersonalField40",80,0.963203,0.000567,117,0.964284744973975,63
"PersonalField41",81,0.963203,0.000567,117,0.964284744973975,64
"PersonalField42",82,0.963203,0.000567,117,0.964284744973975,64
"PersonalField43",83,0.963203,0.000567,117,0.964228358209161,63
"PersonalField44",84,0.963203,0.000567,117,0.964284744973975,64
"PersonalField45",85,0.963327,0.000391,146,0.964461051553228,67
"PersonalField46",86,0.963188,0.000738,131,0.96431996992893,65
"PersonalField47",87,0.963386,0.000389,134,0.964377398165418,65
"PersonalField48",88,0.963315,0.000462,135,0.964362660242303,65
"PersonalField49",89,0.963315,0.000462,135,0.964362660242303,66
"PersonalField50",90,0.963315,0.000462,135,0.964362660242303,66
"PersonalField51",91,0.963315,0.000462,135,0.964362660242303,66
"PersonalField52",92,0.963315,0.000462,135,0.964362660242303,66
"PersonalField53",93,0.963315,0.000462,135,0.964362660242303,66
"PersonalField54",94,0.963407,0.000235,129,0.964042188881585,65
"PersonalField55",95,0.963358,0.000387,123,0.964489535475771,64
"PersonalField56",96,0.963358,0.000387,123,0.964489535475771,65
"PersonalField57",97,0.963358,0.000387,123,0.964345715023889,64
"PersonalField58",98,0.963354,0.000502,114,0.964289626318166,63
"PersonalField59",99,0.963335,0.000335,119,0.964415558790345,64
"PersonalField60",100,0.963361,0.000398,115,0.964253484629074,63
"PersonalField61",101,0.963361,0.000398,115,0.964253484629074,63
"PersonalField62",102,0.963361,0.000398,115,0.964253484629074,63
"PersonalField63",103,0.9633,0.000292,115,0.964253484629074,63
"PersonalField64",104,0.963318,0.000478,112,0.964260877111465,63
"PersonalField65",105,0.963318,0.000478,112,0.964260877111465,63
"PersonalField66",106,0.963318,0.000478,112,0.964260877111465,63
"PersonalField67",107,0.963318,0.000478,112,0.964260877111465,63
"PersonalField68",108,0.963318,0.000478,112,0.964260877111465,63
"PersonalField69",109,0.963318,0.000478,112,0.964260877111465,63
"PersonalField70",110,0.963318,0.000478,112,0.964260877111465,63
"PersonalField71",111,0.963318,0.000478,112,0.964260877111465,63
"PersonalField72",112,0.963318,0.000478,112,0.964260877111465,63
"PersonalField73",113,0.963318,0.000478,112,0.964260877111465,63
"PersonalField74",114,0.963318,0.000478,112,0.964260877111465,63
"PersonalField75",115,0.963148,0.000403,138,0.964306188069871,66
"PersonalField76",116,0.963334,0.000273,134,0.964515360580124,65
"PersonalField77",117,0.96337,0.000287,117,0.964407793059311,64
"PersonalField78",118,0.963347,0.000318,120,0.964467078284909,64
"PersonalField79",119,0.963321,0.000366,119,0.964473446839854,64
"PersonalField80",120,0.963315,0.000471,134,0.964645457203856,66
"PersonalField81",121,0.963217,0.000266,146,0.964675657761679,67
"PersonalField82",122,0.963267,0.000312,137,0.964494246583107,66
"PersonalField83",123,0.963061,0.000354,142,0.964556692276153,66
"PersonalField84",124,0.962447,0.000406,111,0.963675947520615,63
"PropertyField1A",125,0.963231,0.000165,124,0.964089321547849,64
"PropertyField1B",126,0.96312,0.000192,130,0.963992464489346,65
"PropertyField2A",127,0.963282,0.000256,147,0.964355284532965,67
"PropertyField2B",128,0.963209,0.000184,134,0.964335560964256,65
"PropertyField3",129,0.96304,0.000162,112,0.963902502312644,63
"PropertyField4",130,0.963043,8.9e-05,125,0.964406608727491,64
"PropertyField5",131,0.963247,0.000284,127,0.964284822284257,65
"PropertyField7",132,0.963168,0.000117,139,0.964458570876435,66
"PropertyField8",133,0.963084,0.000183,120,0.96467809428871,64
"PropertyField9",134,0.963146,0.000453,140,0.964419472502856,66
"PropertyField10",135,0.963146,0.000453,140,0.964419472502856,66
"PropertyField11A",136,0.963146,0.000453,140,0.964419472502856,66
"PropertyField11B",137,0.962983,0.00014,127,0.964508397449346,65
"PropertyField12",138,0.963175,0.000145,150,0.964636091284948,67
"PropertyField13",139,0.963246,0.000351,110,0.964222403389538,63
"PropertyField14",140,0.963339,0.000446,133,0.964259897912163,65
"PropertyField15",141,0.963251,0.000525,112,0.964357544075361,63
"PropertyField16A",142,0.963207,0.000143,132,0.964355709450323,65
"PropertyField16B",143,0.963,0.000276,130,0.964484394824026,65
"PropertyField17",144,0.963153,0.000113,141,0.964802828740713,66
"PropertyField18",145,0.963137,0.000392,147,0.964160601434723,67
"PropertyField19",146,0.963013,0.000468,137,0.964247667271373,66
"PropertyField20",147,0.963104,0.000234,148,0.964270035777124,67
"PropertyField21A",148,0.962924,0.000565,129,0.964217243844009,65
"PropertyField21B",149,0.963079,0.000244,121,0.96443372053713,64
"PropertyField22",150,0.963227,0.000337,116,0.964324122127273,63
"PropertyField23",151,0.963045,0.00032,137,0.964382095198813,66
"PropertyField24A",152,0.963209,0.000144,119,0.964450671346561,64
"PropertyField24B",153,0.963166,0.000387,137,0.964152417534112,66
"PropertyField25",154,0.96311,0.000242,137,0.964361802888631,66
"PropertyField26A",155,0.963231,0.000381,126,0.964504113572892,65
"PropertyField26B",156,0.96332,0.000105,120,0.964543762565335,64
"PropertyField27",157,0.963164,0.000363,131,0.964466640643165,65
"PropertyField28",158,0.963292,7.2e-05,138,0.964584220520227,66
"PropertyField29",159,0.963222,0.000351,133,0.964443238377488,66
"PropertyField30",160,0.963309,2e-04,135,0.964540961850968,66
"PropertyField31",161,0.963292,0.000493,148,0.9643894387116,67
"PropertyField32",162,0.962995,0.000239,150,0.964353228773531,67
"PropertyField33",163,0.963134,0.000302,135,0.964376018533559,65
"PropertyField34",164,0.962765,0.000368,132,0.964252625733052,65
"PropertyField35",165,0.963042,0.000185,140,0.964414480687864,66
"PropertyField36",166,0.96329,0.000291,137,0.964470659621047,66
"PropertyField37",167,0.949545,0.000281,150,0.950701174448521,67
"PropertyField38",168,0.963252,0.000379,150,0.964667192960618,68
"PropertyField39A",169,0.963316,0.000268,120,0.964243285070122,64
"PropertyField39B",170,0.963362,0.00016,135,0.964359910618271,66
"GeographicField1A",171,0.963326,0.000375,116,0.964402050891161,63
"GeographicField1B",172,0.963173,0.000233,136,0.964544939570995,66
"GeographicField2A",173,0.963425,0.00016,143,0.96457335003913,66
"GeographicField2B",174,0.963437,2e-04,128,0.964635336497535,65
"GeographicField3A",175,0.963488,0.000435,138,0.964443643051506,66
"GeographicField3B",176,0.96332,0.000321,125,0.964181773269855,64
"GeographicField4A",177,0.963127,0.000273,140,0.96436719879926,66
"GeographicField4B",178,0.963136,0.000417,114,0.964351259771271,63
"GeographicField5A",179,0.963079,9e-05,124,0.964610191955013,64
"GeographicField5B",180,0.963045,0.000284,122,0.964372812952381,64
"GeographicField6A",181,0.963185,0.000159,126,0.964439421640218,65
"GeographicField6B",182,0.963216,0.000109,150,0.964694553088568,67
"GeographicField7A",183,0.963088,0.000158,114,0.96431902196221,63
"GeographicField7B",184,0.963381,0.000326,127,0.964390932670135,65
"GeographicField8A",185,0.963278,0.000238,103,0.964037794148743,62
"GeographicField8B",186,0.96347,0.00019,137,0.964569456184372,66
"GeographicField9A",187,0.963148,9.7e-05,147,0.964561977523187,67
"GeographicField9B",188,0.963125,0.000424,121,0.964307339048378,64
"GeographicField10B",189,0.96318,0.000371,107,0.96418758098787,63
"GeographicField11A",190,0.963233,0.00028,135,0.964444907585514,66
"GeographicField11B",191,0.963174,0.00011,149,0.964405216178453,67
"GeographicField12A",192,0.963312,0.000164,134,0.964478245861127,65
"GeographicField12B",193,0.963132,0.000122,121,0.964368904638093,64
"GeographicField13A",194,0.963296,0.00012,116,0.964336804869336,64
"GeographicField13B",195,0.963347,0.000184,129,0.96431259152048,65
"GeographicField14A",196,0.963329,0.000357,117,0.964477980769763,64
"GeographicField14B",197,0.963516,0.000323,139,0.964575822232999,66
"GeographicField15A",198,0.963304,0.000369,143,0.964199377457203,66
"GeographicField15B",199,0.963329,0.000247,126,0.964444916646819,65
"GeographicField16A",200,0.96333,9e-05,128,0.964430728185805,65
"GeographicField16B",201,0.963251,0.000225,125,0.964370843178946,65
"GeographicField17A",202,0.963231,0.000383,119,0.964471042316581,64
"GeographicField17B",203,0.963104,9e-05,117,0.964255866402688,64
"GeographicField18A",204,0.963226,0.000119,103,0.964011010666808,62
"GeographicField18B",205,0.963284,0.000158,149,0.964277587699922,67
"GeographicField19A",206,0.963154,1.2e-05,141,0.964379330536872,66
"GeographicField19B",207,0.963371,0.000101,116,0.964348264335246,64
"GeographicField20A",208,0.963287,0.000335,112,0.964338176789446,63
"GeographicField20B",209,0.963209,0.000133,116,0.964182903812228,64
"GeographicField21A",210,0.963172,0.000375,111,0.964089768058104,63
"GeographicField21B",211,0.963237,0.000227,139,0.964375277434501,66
"GeographicField22A",212,0.963169,0.000214,104,0.96444210340086,62
"GeographicField22B",213,0.963349,0.000381,119,0.964404182804115,64
"GeographicField23A",214,0.963425,0.000542,132,0.964402212259505,66
"GeographicField23B",215,0.963208,5.1e-05,128,0.96425539849233,65
"GeographicField24A",216,0.963134,0.000165,119,0.964091198973092,65
"GeographicField24B",217,0.963441,0.00044,132,0.964315682196602,65
"GeographicField25A",218,0.963206,0.000282,113,0.964303364991432,63
"GeographicField25B",219,0.963271,0.000311,128,0.9642653611078,65
"GeographicField26A",220,0.963393,0.000407,133,0.964132665431932,65
"GeographicField26B",221,0.963226,0.000197,112,0.96424146316947,63
"GeographicField27A",222,0.963252,0.000196,119,0.964253478459675,64
"GeographicField27B",223,0.963115,0.000162,133,0.964363069736164,65
"GeographicField28A",224,0.96329,5.5e-05,127,0.964176389312436,65
"GeographicField28B",225,0.96335,0.000221,117,0.964225976242753,64
"GeographicField29A",226,0.963133,0.000276,141,0.964439367272389,66
"GeographicField29B",227,0.963481,0.000265,126,0.964147997930879,65
"GeographicField30A",228,0.963257,0.000279,101,0.964238460021697,62
"GeographicField30B",229,0.963318,0.00041,146,0.964364585673182,67
"GeographicField31A",230,0.963129,0.000189,150,0.964152867707447,67
"GeographicField31B",231,0.963312,0.000271,132,0.964294220399715,65
"GeographicField32A",232,0.963245,0.000136,113,0.964203272468724,63
"GeographicField32B",233,0.963251,5.2e-05,106,0.964265159831157,63
"GeographicField33A",234,0.963384,9.7e-05,134,0.964264914019164,66
"GeographicField33B",235,0.963457,0.000286,129,0.964237343553266,65
"GeographicField34A",236,0.963414,9.4e-05,121,0.964403429559052,64
"GeographicField34B",237,0.963371,0.000452,121,0.964083033773472,64
"GeographicField35A",238,0.963243,0.000163,117,0.964315076631528,64
"GeographicField35B",239,0.963299,0.00026,124,0.963983608702621,64
"GeographicField36A",240,0.963101,0.000218,104,0.963959862878536,62
"GeographicField36B",241,0.963467,0.000158,133,0.964534547603911,65
"GeographicField37A",242,0.963259,0.000254,130,0.9642459810975,65
"GeographicField37B",243,0.963417,3.4e-05,150,0.964660514200577,67
"GeographicField38A",244,0.963265,0.000294,115,0.964131131950685,63
"GeographicField38B",245,0.963431,0.000162,121,0.964249117465733,64
"GeographicField39A",246,0.963388,9.8e-05,127,0.964358025095692,65
"GeographicField39B",247,0.963326,0.000188,104,0.963771315247633,62
"GeographicField40A",248,0.963355,0.000191,121,0.964334047147968,64
"GeographicField40B",249,0.963089,0.000199,114,0.964348387144846,63
"GeographicField41A",250,0.963049,0.00036,148,0.964150234530822,67
"GeographicField41B",251,0.963017,0.000353,150,0.964435520266504,67
"GeographicField42A",252,0.963199,0.000604,132,0.964364938678483,66
"GeographicField42B",253,0.963146,0.000368,137,0.96431470511803,66
"GeographicField43A",254,0.963025,0.000397,123,0.964349186082021,64
"GeographicField43B",255,0.963282,0.000237,131,0.964425468194748,65
"GeographicField44A",256,0.963312,0.000224,137,0.964586132455546,66
"GeographicField44B",257,0.963434,5.3e-05,138,0.964459579573178,66
"GeographicField45A",258,0.963113,0.000175,128,0.964249324526188,65
"GeographicField45B",259,0.963172,0.000249,120,0.964288050422301,64
"GeographicField46A",260,0.963118,0.000239,137,0.964284409127315,66
"GeographicField46B",261,0.96326,0.000319,117,0.964256748819543,64
"GeographicField47A",262,0.963317,0.000433,119,0.963991166023643,64
"GeographicField47B",263,0.963288,0.000286,127,0.964168984491247,65
"GeographicField48A",264,0.963062,0.00028,118,0.964397711297323,64
"GeographicField48B",265,0.963156,0.000143,140,0.964448041833017,66
"GeographicField49A",266,0.963078,0.000382,124,0.964346149580934,65
"GeographicField49B",267,0.963237,0.000251,133,0.964370791317435,65
"GeographicField50A",268,0.963209,0.000159,134,0.964298019014376,66
"GeographicField50B",269,0.963116,0.000255,128,0.964230848332846,65
"GeographicField51A",270,0.963272,0.000524,118,0.964014535321594,64
"GeographicField51B",271,0.963223,0.000231,144,0.964469780096098,67
"GeographicField52A",272,0.963243,0.000135,127,0.964341220616694,65
"GeographicField52B",273,0.963352,0.000559,133,0.964160384156201,66
"GeographicField53A",274,0.963143,0.000605,127,0.964146547350932,65
"GeographicField53B",275,0.963279,3e-04,137,0.964448099285545,66
"GeographicField54A",276,0.96319,0.000213,120,0.964331605608301,64
"GeographicField54B",277,0.96333,0.000229,138,0.964505450404545,66
"GeographicField55A",278,0.963086,0.000145,128,0.964162231120036,65
"GeographicField55B",279,0.963265,0.000244,137,0.964177469728442,66
"GeographicField56A",280,0.963148,0.000423,119,0.964348324679681,64
"GeographicField56B",281,0.963391,0.000378,132,0.964443189986265,65
"GeographicField57A",282,0.963206,0.000341,111,0.964237756903001,63
"GeographicField57B",283,0.963238,0.000322,131,0.964151243613152,65
"GeographicField58A",284,0.963239,0.000177,127,0.964286862041812,65
"GeographicField58B",285,0.963095,0.000196,150,0.964527100946484,68
"GeographicField59A",286,0.96345,0.000348,120,0.964230228501037,64
"GeographicField59B",287,0.96327,0.00034,141,0.96436202672214,66
"GeographicField60A",288,0.96325,0.000316,134,0.964100378074885,66
"GeographicField60B",289,0.96325,0.000567,132,0.964334192321639,66
"GeographicField61A",290,0.963294,0.000205,133,0.96408110872818,66
"GeographicField61B",291,0.963341,0.000269,123,0.964290415808449,64
"GeographicField62A",292,0.963297,0.000205,115,0.964164108930867,64
"GeographicField62B",293,0.963389,0.000333,116,0.964103304297964,64
"GeographicField63",294,0.963175,0.000141,119,0.964171703653871,64
"GeographicField64",295,0.963224,0.000214,111,0.964200701371676,63
"year",296,0.963316,0.000251,119,0.96432254584582,64
"month",297,0.963341,0.000446,132,0.964365297467596,66
"day",298,0.963299,0.000128,147,0.964594335249942,67
